Speed (CAS), Climb Angle
 118.168687,   -1.996496
 119.390497,   -1.602459
 120.612306,   -1.305991
 121.834116,   -1.158011
 123.055926,   -1.008187
 124.277736,   -0.892125
 125.499546,   -0.811831
 126.721356,   -0.730422
 127.943166,   -0.648834
 129.164976,   -0.593886
 130.386786,   -0.538147
 131.608596,   -0.481616
 132.830405,   -0.426625
 134.052215,   -0.387028
 135.274025,   -0.346813
 136.495835,   -0.305981
 137.717645,   -0.264530
 138.939455,   -0.232590
 140.161265,   -0.206591
 141.383075,   -0.180124
 142.604885,   -0.153188
 143.826694,   -0.125785
 145.048504,   -0.104325
 146.270314,   -0.088365
 147.492124,   -0.072072
 148.713934,   -0.055445
 149.935744,   -0.038485
 151.157554,   -0.021191
 152.379364,   -0.011080
 153.601174,   -0.008516
 154.822984,   -0.005744
 156.044793,   -0.002765
 157.266603,    0.000423
 158.488413,    0.003818
 159.710223,    0.007421
 160.932033,    0.004105
 162.153843,   -0.006681
 163.375653,   -0.015444
 164.597463,   -0.023462
 165.819273,   -0.031386
 167.041083,   -0.039217
 168.262892,   -0.046954
 169.484702,   -0.054599
 170.706512,   -0.063431
 171.928322,   -0.084982
 173.150132,   -0.106541
 174.371942,   -0.128110
 175.593752,   -0.149689
 176.815562,   -0.171276
 178.037372,   -0.192873
 179.259181,   -0.214479
 180.480991,   -0.235361
 181.702801,   -0.254454
 182.924611,   -0.273555
 184.146421,   -0.301736
 185.368231,   -0.332450
 186.590041,   -0.363251
 187.811851,   -0.394139
 189.033661,   -0.425115
 190.255471,   -0.456178
 191.477280,   -0.487329
 192.699090,   -0.518568
 193.920900,   -0.549893
 195.142710,   -0.581307
 196.364520,   -0.612808
 197.586330,   -0.644396
 198.808140,   -0.674557
 200.029950,   -0.712113
 201.251760,   -0.752852
 202.473570,   -0.793744
 203.695379,   -0.834791
 204.917189,   -0.875992
 206.138999,   -0.917348
 207.360809,   -0.958857
 208.582619,   -1.000521
 209.804429,   -1.042339
 211.026239,   -1.084311
 212.248049,   -1.126438
 213.469859,   -1.168719
 214.691668,   -1.211155
 215.913478,   -1.253282
 217.135288,   -1.294790
 218.357098,   -1.336451
 219.578908,   -1.378268
 220.800718,   -1.423678
 222.022528,   -1.475270
 223.244338,   -1.527070
 224.466148,   -1.579079
 225.687958,   -1.631296
 226.909767,   -1.683721
 228.131577,   -1.736354
 229.353387,   -1.789195
 230.575197,   -1.842245
 231.797007,   -1.895504
 233.018817,   -1.948971
 234.240627,   -2.002552
 235.462437,   -2.056333
 236.684247,   -2.110323
 237.906057,   -2.164521
 239.127866,   -2.218929
