Speed (TAS), Efficiency
 124.979743,    8.162823
 126.745628,    8.812282
 128.511513,    9.366230
 130.277398,    9.811874
 132.043283,   10.183751
 133.809168,   10.497662
 135.575053,   10.783809
 137.340938,   11.071201
 139.106824,   11.320071
 140.872709,   11.583789
 142.638594,   11.835805
 144.404479,   12.071178
 146.170364,   12.319178
 147.936249,   12.558581
 149.702134,   12.773506
 151.468019,   12.998601
 153.233904,   13.234556
 154.999789,   13.430474
 156.765674,   13.628218
 158.531560,   13.834214
 160.297445,   14.048949
 162.063330,   14.213752
 163.829215,   14.378761
 165.595100,   14.549497
 167.360985,   14.726235
 169.126870,   14.884734
 170.892755,   14.997690
 172.658640,   15.113575
 174.424525,   15.232484
 176.190410,   15.354517
 177.956296,   15.479781
 179.722181,   15.541887
 181.488066,   15.602785
 183.253951,   15.664763
 185.019836,   15.727844
 186.785721,   15.792046
 188.551606,   15.857393
 190.317491,   15.888131
 192.083376,   15.892476
 193.849261,   15.896864
 195.615146,   15.901294
 197.381031,   15.905767
 199.146917,   15.910283
 200.912802,   15.914842
 202.678687,   15.919443
 204.444572,   15.877731
 206.210457,   15.822302
 207.976342,   15.766786
 209.742227,   15.711189
 211.508112,   15.655519
 213.273997,   15.599780
 215.039882,   15.543977
 216.805767,   15.488118
 218.571653,   15.432206
 220.337538,   15.376248
 222.103423,   15.263553
 223.869308,   15.149424
 225.635193,   15.036106
 227.401078,   14.923599
 229.166963,   14.811906
 230.932848,   14.701028
 232.698733,   14.590965
 234.464618,   14.481718
 236.230503,   14.373288
 237.996389,   14.265674
 239.762274,   14.158875
 241.528159,   14.052892
 243.294044,   13.943888
 245.059929,   13.802245
 246.825814,   13.662458
 248.591699,   13.524500
 250.357584,   13.388347
 252.123469,   13.253972
 253.889354,   13.121351
 255.655239,   12.990460
 257.421124,   12.861274
 259.187010,   12.733769
 260.952895,   12.607922
 262.718780,   12.483708
 264.484665,   12.361104
 266.250550,   12.240087
 268.016435,   12.120635
 269.782320,   12.002726
 271.548205,   11.886336
 273.314090,   11.771444
 275.079975,   11.653911
 276.845860,   11.520680
 278.611746,   11.389638
 280.377631,   11.260738
 282.143516,   11.133935
 283.909401,   11.009187
 285.675286,   10.886451
 287.441171,   10.765685
 289.207056,   10.646849
 290.972941,   10.529904
 292.738826,   10.414812
 294.504711,   10.301534
 296.270596,   10.190034
 298.036482,   10.080277
 299.802367,    9.972228
