Speed (TAS), Rate of Climb
 125.864720,  696.074449
 127.621666,  809.114825
 129.378612,  880.712586
 131.135558,  931.188954
 132.892504,  970.966336
 134.649450, 1001.977988
 136.406396, 1036.552101
 138.163342, 1062.049544
 139.920288, 1088.045541
 141.677233, 1114.713589
 143.434179, 1136.295734
 145.191125, 1157.977605
 146.948071, 1180.141441
 148.705017, 1199.987667
 150.461963, 1217.289595
 152.218909, 1234.899905
 153.975855, 1252.826748
 155.732801, 1267.945936
 157.489747, 1280.909123
 159.246693, 1295.386653
 161.003639, 1310.051592
 162.760585, 1324.876481
 164.517530, 1334.083453
 166.274476, 1343.307389
 168.031422, 1352.552277
 169.788368, 1361.822103
 171.545314, 1371.120855
 173.302260, 1376.558516
 175.059206, 1379.861496
 176.816152, 1383.023009
 178.573098, 1386.045212
 180.330044, 1389.293138
 182.086990, 1393.242161
 183.843936, 1395.568371
 185.600882, 1393.210815
 187.357827, 1390.574467
 189.114773, 1387.659845
 190.871719, 1384.467463
 192.628665, 1380.997839
 194.385611, 1377.251488
 196.142557, 1373.228927
 197.899503, 1366.878211
 199.656449, 1356.930801
 201.413395, 1346.566714
 203.170341, 1336.264285
 204.927287, 1326.007003
 206.684233, 1315.346931
 208.441179, 1304.283337
 210.198124, 1292.815486
 211.955070, 1280.942645
 213.712016, 1268.664081
 215.468962, 1253.787615
 217.225908, 1235.290989
 218.982854, 1216.255208
 220.739800, 1196.678476
 222.496746, 1176.558998
 224.253692, 1155.894980
 226.010638, 1136.550039
 227.767584, 1117.404257
 229.524530, 1097.748633
 231.281476, 1077.581373
 233.038421, 1056.900681
 234.795367, 1035.704763
 236.552313, 1013.991823
 238.309259,  990.869395
 240.066205,  962.848730
 241.823151,  934.189708
 243.580097,  904.889687
 245.337043,  874.946023
 247.093989,  844.356072
 248.850935,  815.073986
 250.607881,  785.311581
 252.364827,  754.924604
 254.121773,  723.910410
 255.878719,  692.266357
 257.635664,  659.989801
 259.392610,  627.078098
 261.149556,  593.528604
 262.906502,  559.338677
 264.663448,  524.505672
 266.420394,  489.026946
 268.177340,  452.899855
 269.934286,  416.356874
 271.691232,  378.538395
 273.448178,  336.695966
 275.205124,  294.111026
 276.962070,  250.780254
 278.719016,  206.700329
 280.475961,  161.867932
 282.232907,  116.279741
 283.989853,   69.932437
 285.746799,   22.822699
 287.503745,  -25.052794
 289.260691,  -73.697361
 291.017637, -123.114323
 292.774583, -173.111246
 294.531529, -223.517681
 296.288475, -274.699743
 298.045421, -326.660751
 299.802367, -379.404027
