Speed (TAS), Efficiency
  68.291028,    8.274572
  69.127971,    9.120540
  69.964915,    9.536769
  70.801858,    9.932251
  71.638801,   10.193021
  72.475745,   10.471171
  73.312688,   10.706569
  74.149632,   10.929679
  74.986575,   11.164982
  75.823518,   11.385084
  76.660462,   11.597828
  77.497405,   11.821144
  78.334348,   12.048442
  79.171292,   12.240917
  80.008235,   12.441788
  80.845179,   12.651582
  81.682122,   12.858751
  82.519065,   13.033662
  83.356009,   13.215254
  84.192952,   13.403889
  85.029896,   13.599954
  85.866839,   13.761573
  86.703782,   13.916587
  87.540726,   14.076690
  88.377669,   14.242111
  89.214612,   14.413097
  90.051556,   14.549652
  90.888499,   14.668091
  91.725443,   14.789598
  92.562386,   14.914276
  93.399329,   15.042235
  94.236273,   15.173591
  95.073216,   15.265618
  95.910159,   15.336116
  96.747103,   15.407893
  97.584046,   15.480979
  98.420990,   15.555399
  99.257933,   15.631184
 100.094876,   15.708361
 100.931820,   15.757758
 101.768763,   15.778290
 102.605706,   15.799046
 103.442650,   15.820027
 104.279593,   15.841236
 105.116537,   15.862672
 105.953480,   15.884339
 106.790423,   15.906238
 107.627367,   15.928370
 108.464310,   15.908244
 109.301254,   15.875972
 110.138197,   15.843584
 110.975140,   15.811082
 111.812084,   15.778468
 112.649027,   15.745746
 113.485970,   15.712916
 114.322914,   15.679981
 115.159857,   15.646944
 115.996801,   15.613806
 116.833744,   15.580570
 117.670687,   15.502987
 118.507631,   15.415878
 119.344574,   15.329134
 120.181517,   15.242762
 121.018461,   15.156763
 121.855404,   15.071143
 122.692348,   14.985905
 123.529291,   14.901051
 124.366234,   14.816586
 125.203178,   14.732513
 126.040121,   14.648834
 126.877065,   14.565552
 127.714008,   14.482670
 128.550951,   14.400190
 129.387895,   14.300003
 130.224838,   14.179539
 131.061781,   14.060330
 131.898725,   13.942364
 132.735668,   13.825629
 133.572612,   13.710112
 134.409555,   13.595802
 135.246498,   13.482686
 136.083442,   13.370751
 136.920385,   13.259987
 137.757328,   13.150379
 138.594272,   13.041918
 139.431215,   12.934590
 140.268159,   12.828384
 141.105102,   12.723287
 141.942045,   12.619289
 142.778989,   12.516377
 143.615932,   12.414539
 144.452875,   12.313764
 145.289819,   12.214041
 146.126762,   12.104560
 146.963706,   11.985201
 147.800649,   11.867512
 148.637592,   11.751462
 149.474536,   11.637024
 150.311479,   11.524169
 151.148423,   11.412870
