Vfailure/VsTO, Distance
   0.500000,  274.080114
   0.500551,  274.691258
   0.501101,  275.302402
   0.501652,  275.913546
   0.502202,  276.524690
   0.502753,  277.135835
   0.503303,  277.746979
   0.503854,  278.358123
   0.504404,  278.969267
   0.504955,  279.580411
   0.505506,  280.191555
   0.506056,  280.802699
   0.506607,  281.413843
   0.507157,  282.024987
   0.507708,  282.636132
   0.508258,  283.247276
   0.508809,  283.858420
   0.509359,  284.469564
   0.509910,  285.080708
   0.510460,  285.691852
   0.511011,  286.302996
   0.511562,  286.914140
   0.512112,  287.525285
   0.512663,  288.136429
   0.513213,  288.747573
   0.513764,  289.358717
   0.514314,  289.969861
   0.514865,  290.581005
   0.515415,  291.192149
   0.515966,  291.803293
   0.516517,  292.414438
   0.517067,  293.025582
   0.517618,  293.636726
   0.518168,  294.247870
   0.518719,  294.859014
   0.519269,  295.470158
   0.519820,  296.081302
   0.520370,  296.692446
   0.520921,  297.303590
   0.521471,  297.914735
   0.522022,  298.525879
   0.522573,  299.137023
   0.523123,  299.748167
   0.523674,  300.359311
   0.524224,  300.970455
   0.524775,  301.581599
   0.525325,  302.192743
   0.525876,  302.803888
   0.526426,  303.415032
   0.526977,  304.026176
   0.527528,  304.637320
   0.528078,  305.248464
   0.528629,  305.859608
   0.529179,  306.470752
   0.529730,  307.081896
   0.530280,  307.693040
   0.530831,  308.304185
   0.531381,  308.915329
   0.531932,  309.526473
   0.532482,  310.137617
   0.533033,  310.748761
   0.533584,  311.359905
   0.534134,  311.971049
   0.534685,  312.582193
   0.535235,  313.193338
   0.535786,  313.804482
   0.536336,  314.415626
   0.536887,  315.026770
   0.537437,  315.637914
   0.537988,  316.249058
   0.538539,  316.860202
   0.539089,  317.471346
   0.539640,  318.082490
   0.540190,  318.693635
   0.540741,  319.304779
   0.541291,  319.915923
   0.541842,  320.527067
   0.542392,  321.138211
   0.542943,  321.749355
   0.543493,  322.360499
   0.544044,  322.971643
   0.544595,  323.582788
   0.545145,  324.193932
   0.545696,  324.805076
   0.546246,  325.416220
   0.546797,  326.027364
   0.547347,  326.638508
   0.547898,  327.249652
   0.548448,  327.860796
   0.548999,  328.471941
   0.549550,  329.083085
   0.550100,  329.694229
   0.550651,  330.305373
   0.551201,  330.916517
   0.551752,  331.527661
   0.552302,  332.138805
   0.552853,  332.749949
   0.553403,  333.361093
   0.553954,  333.972238
   0.554505,  334.583382
   0.555055,  335.194526
   0.555606,  335.805670
   0.556156,  336.416814
   0.556707,  337.027958
   0.557257,  337.639102
   0.557808,  338.250246
   0.558358,  338.861391
   0.558909,  339.472535
   0.559459,  340.083679
   0.560010,  340.694823
   0.560561,  341.305967
   0.561111,  341.917111
   0.561662,  342.528255
   0.562212,  343.139399
   0.562763,  343.750543
   0.563313,  344.361688
   0.563864,  344.972832
   0.564414,  345.583976
   0.564965,  346.195120
   0.565516,  346.806264
   0.566066,  347.417408
   0.566617,  348.028552
   0.567167,  348.639696
   0.567718,  349.250841
   0.568268,  349.861985
   0.568819,  350.473129
   0.569369,  351.084273
   0.569920,  351.695417
   0.570470,  352.306561
   0.571021,  352.917705
