Time, Speed
   0.000100,    0.000281
   0.000584,    0.001639
   0.002073,    0.005817
   0.007621,    0.021384
   0.022321,    0.062622
   0.049722,    0.139480
   0.081356,    0.228184
   0.113166,    0.317356
   0.145277,    0.407344
   0.177393,    0.497319
   0.209532,    0.587330
   0.241854,    0.677825
   0.274280,    0.768587
   0.306882,    0.859810
   0.339730,    0.951694
   0.372575,    1.043540
   0.405964,    1.136878
   0.439430,    1.230403
   0.472825,    1.323699
   0.506325,    1.417258
   0.540098,    1.511550
   0.574229,    1.606809
   0.609346,    1.704788
   0.644354,    1.802432
   0.679669,    1.900897
   0.715179,    1.999874
   0.750675,    2.098777
   0.785860,    2.196782
   0.821893,    2.297112
   0.857909,    2.397362
   0.894515,    2.499219
   0.931043,    2.600821
   0.968537,    2.705076
   1.005886,    2.808888
   1.044333,    2.915713
   1.082764,    3.022455
   1.121413,    3.129764
   1.161278,    3.240405
   1.200983,    3.350562
   1.241003,    3.461548
   1.281467,    3.573722
   1.322069,    3.686234
   1.362716,    3.798828
   1.404287,    3.913936
   1.445182,    4.027126
   1.487010,    4.142851
   1.528752,    4.258291
   1.571489,    4.376437
   1.614202,    4.494467
   1.657967,    4.615351
   1.701698,    4.736091
   1.745542,    4.857094
   1.789414,    4.978120
   1.834346,    5.102017
   1.879129,    5.225449
   1.924414,    5.350209
   1.970399,    5.476843
   2.017542,    5.606605
   2.064104,    5.734709
   2.111435,    5.864869
   2.158594,    5.994497
   2.206390,    6.125814
   2.254473,    6.257860
   2.302484,    6.389644
   2.351116,    6.523068
   2.399608,    6.656045
   2.448748,    6.790737
   2.498052,    6.925810
   2.547871,    7.062228
   2.598380,    7.200468
   2.649071,    7.339135
   2.700299,    7.479202
   2.750985,    7.617716
   2.802877,    7.759457
   2.854696,    7.900924
   2.907415,    8.044772
   2.959664,    8.187265
   3.012867,    8.332284
   3.066210,    8.477608
   3.119630,    8.623063
   3.173988,    8.770994
   3.227889,    8.917601
   3.282497,    9.066051
   3.336984,    9.214093
   3.392637,    9.365219
   3.447887,    9.515168
   3.503542,    9.666130
   3.559556,    9.817983
   3.616151,    9.971325
   3.672641,   10.124295
   3.729920,   10.279314
   3.787722,   10.435657
   3.845655,   10.592263
   3.903844,   10.749472
   3.962158,   10.906922
   4.020726,   11.064967
   4.079826,   11.224352
