V/VsTO, Thrust - Yawing Moment
   0.325930, 147531.777907
   0.329159, 147426.559305
   0.332388, 147321.340703
   0.335618, 147216.122101
   0.338847, 147110.903499
   0.342076, 147005.684897
   0.345305, 146900.466296
   0.348534, 146795.247694
   0.351764, 146690.029092
   0.354993, 146584.810490
   0.358222, 146479.591888
   0.361451, 146374.373286
   0.364680, 146269.154685
   0.367910, 146163.936083
   0.371139, 146058.717481
   0.374368, 145953.498879
   0.377597, 145848.280277
   0.380826, 145743.061675
   0.384056, 145637.843074
   0.387285, 145532.624472
   0.390514, 145427.405870
   0.393743, 145322.187268
   0.396972, 145216.968666
   0.400201, 145111.750065
   0.403431, 145006.531463
   0.406660, 144901.312861
   0.409889, 144796.094259
   0.413118, 144690.875657
   0.416347, 144585.657055
   0.419577, 144480.438454
   0.422806, 144375.219852
   0.426035, 144270.001250
   0.429264, 144164.782648
   0.432493, 144059.564046
   0.435723, 143954.345444
   0.438952, 143849.126843
   0.442181, 143743.908241
   0.445410, 143638.689639
   0.448639, 143533.471037
   0.451869, 143406.266639
   0.455098, 143270.314623
   0.458327, 143134.362606
   0.461556, 142998.410590
   0.464785, 142862.458574
   0.468015, 142726.506558
   0.471244, 142590.554542
   0.474473, 142454.602526
   0.477702, 142318.650510
   0.480931, 142182.698494
   0.484161, 142046.746478
   0.487390, 141910.794462
   0.490619, 141774.842445
   0.493848, 141638.890429
   0.497077, 141502.938413
   0.500307, 141366.986397
   0.503536, 141231.034381
   0.506765, 141095.082365
   0.509994, 140959.130349
   0.513223, 140823.178333
   0.516453, 140687.226317
   0.519682, 140551.274301
   0.522911, 140415.322284
   0.526140, 140279.370268
   0.529369, 140143.418252
   0.532599, 140007.466236
   0.535828, 139871.514220
   0.539057, 139735.562204
   0.542286, 139599.610188
   0.545515, 139463.658172
   0.548745, 139327.706156
   0.551974, 139191.754140
   0.555203, 139055.802123
   0.558432, 138919.850107
   0.561661, 138783.898091
   0.564891, 138647.946075
   0.568120, 138511.994059
   0.571349, 138376.042043
   0.574578, 138240.090027
   0.577807, 138104.138011
   0.581037, 137968.185995
   0.584266, 137832.233979
   0.587495, 137696.281962
   0.590724, 137560.329946
   0.593953, 137424.377930
   0.597183, 137288.425914
   0.600412, 137152.473898
   0.603641, 137016.521882
   0.606870, 136880.569866
   0.610099, 136744.617850
   0.613328, 136608.665834
   0.616558, 136472.713818
   0.619787, 136336.761801
   0.623016, 136200.809785
   0.626245, 136064.857769
   0.629474, 135928.905753
   0.632704, 135792.953737
   0.635933, 135657.001721
   0.639162, 135521.049705
   0.642391, 135385.097689
   0.645620, 135249.145673
   0.648850, 135113.193656
   0.652079, 134977.241640
   0.655308, 134841.289624
   0.658537, 134705.337608
   0.661766, 134569.385592
   0.664996, 134433.433576
   0.668225, 134297.481560
   0.671454, 134161.529544
   0.674683, 134020.935790
   0.677912, 133841.581442
   0.681142, 133662.227094
   0.684371, 133482.872746
   0.687600, 133303.518399
   0.690829, 133124.164051
   0.694058, 132944.809703
   0.697288, 132765.455355
   0.700517, 132586.101007
   0.703746, 132406.746660
   0.706975, 132227.392312
   0.710204, 132048.037964
   0.713434, 131868.683616
   0.716663, 131689.329268
   0.719892, 131509.974920
   0.723121, 131330.620573
   0.726350, 131151.266225
   0.729580, 130971.911877
   0.732809, 130792.557529
   0.736038, 130613.203181
   0.739267, 130433.848834
   0.742496, 130254.494486
   0.745726, 130075.140138
   0.748955, 129895.785790
   0.752184, 129716.431442
   0.755413, 129537.077094
   0.758642, 129357.722747
   0.761872, 129178.368399
   0.765101, 128999.014051
   0.768330, 128819.659703
   0.771559, 128640.305355
   0.774788, 128460.951008
   0.778018, 128281.596660
   0.781247, 128102.242312
   0.784476, 127922.887964
   0.787705, 127743.533616
   0.790934, 127564.179269
   0.794164, 127384.824921
   0.797393, 127205.470573
   0.800622, 127026.116225
   0.803851, 126846.761877
   0.807080, 126667.407529
   0.810310, 126488.053182
   0.813539, 126308.698834
   0.816768, 126129.344486
   0.819997, 125949.990138
   0.823226, 125770.635790
   0.826455, 125591.281443
   0.829685, 125411.927095
   0.832914, 125232.572747
   0.836143, 125053.218399
   0.839372, 124873.864051
   0.842601, 124694.509704
   0.845831, 124515.155356
   0.849060, 124335.801008
   0.852289, 124156.446660
   0.855518, 123977.092312
   0.858747, 123797.737964
   0.861977, 123618.383617
   0.865206, 123439.029269
   0.868435, 123259.674921
   0.871664, 123080.320573
   0.874893, 122900.966225
   0.878123, 122721.611878
   0.881352, 122542.257530
   0.884581, 122362.903182
   0.887810, 122183.548834
   0.891039, 122004.194486
   0.894269, 121824.840139
   0.897498, 121645.485791
   0.900727, 121465.082445
   0.903956, 121283.623947
   0.907185, 121102.165448
   0.910415, 120920.706950
   0.913644, 120739.248451
   0.916873, 120557.789953
   0.920102, 120376.331454
   0.923331, 120194.872956
   0.926561, 120013.414458
   0.929790, 119831.955959
   0.933019, 119650.497461
   0.936248, 119469.038962
   0.939477, 119287.580464
   0.942707, 119106.121965
   0.945936, 118924.663467
   0.949165, 118743.204969
   0.952394, 118561.746470
   0.955623, 118380.287972
   0.958853, 118198.829473
   0.962082, 118017.370975
   0.965311, 117835.912476
   0.968540, 117654.453978
   0.971769, 117472.995480
   0.974999, 117291.536981
   0.978228, 117110.078483
   0.981457, 116928.619984
   0.984686, 116747.161486
   0.987915, 116565.702987
   0.991145, 116384.244489
   0.994374, 116202.785991
   0.997603, 116021.327492
   1.000832, 115839.868994
   1.004061, 115658.410495
   1.007291, 115476.951997
   1.010520, 115295.493498
   1.013749, 115114.035000
   1.016978, 114932.576501
   1.020207, 114751.118003
   1.023437, 114569.659505
   1.026666, 114388.201006
   1.029895, 114206.742508
   1.033124, 114025.284009
   1.036353, 113843.825511
   1.039582, 113662.367012
   1.042812, 113480.908514
   1.046041, 113299.450016
   1.049270, 113117.991517
   1.052499, 112936.533019
   1.055728, 112755.074520
   1.058958, 112573.616022
   1.062187, 112392.157523
   1.065416, 112210.699025
   1.068645, 112029.240527
   1.071874, 111847.782028
   1.075104, 111666.323530
   1.078333, 111484.865031
   1.081562, 111303.406533
   1.084791, 111121.948034
   1.088020, 110940.489536
   1.091250, 110759.031038
   1.094479, 110577.572539
   1.097708, 110396.114041
   1.100937, 110214.655542
   1.104166, 110033.197044
   1.107396, 109851.738545
   1.110625, 109670.280047
   1.113854, 109488.821548
   1.117083, 109307.363050
   1.120312, 109125.904552
   1.123542, 108944.446053
   1.126771, 108775.676108
   1.130000, 108608.472601
