Speed (CAS), Rate of Climb
 118.422665, -207.940326
 120.069617, -102.151395
 121.716568,  -39.100397
 123.363520,    4.373852
 125.010471,   35.462493
 126.657423,   59.528944
 128.304374,   83.478446
 129.951326,  100.459286
 131.598277,  118.200293
 133.245229,  135.861841
 134.892180,  148.917926
 136.539132,  162.539168
 138.186083,  176.736002
 139.833035,  187.060812
 141.479987,  196.465095
 143.126938,  206.263652
 144.773890,  216.464389
 146.420841,  221.808575
 148.067793,  226.937539
 149.714744,  232.774916
 151.361696,  239.792041
 153.008647,  244.316470
 154.655599,  245.880839
 156.302550,  247.529708
 157.949502,  249.266585
 159.596453,  251.094978
 161.243405,  251.577191
 162.890356,  247.550125
 164.537308,  243.437608
 166.184260,  239.241217
 167.831211,  234.962529
 169.478163,  230.603118
 171.125114,  227.037252
 172.772066,  217.866401
 174.419017,  208.344985
 176.065969,  198.594457
 177.712920,  188.614661
 179.359872,  178.405442
 181.006823,  167.966644
 182.653775,  157.298111
 184.300726,  144.855144
 185.947678,  128.313607
 187.594630,  111.395352
 189.241581,   94.098903
 190.888533,   76.422787
 192.535484,   59.571450
 194.182436,   42.361179
 195.829387,   24.787826
 197.476339,    6.849914
 199.123290,  -11.454031
 200.770242,  -32.999827
 202.417193,  -57.513189
 204.064145,  -82.532615
 205.711096, -108.060700
 207.358048, -134.100040
 209.004999, -160.653229
 210.651951, -187.722863
 212.298903, -214.786276
 213.945854, -241.265873
 215.592806, -268.244295
 217.239757, -295.724138
 218.886709, -323.707998
 220.533660, -352.198469
 222.180612, -384.298860
 223.827563, -419.179033
 225.474515, -454.693683
 227.121466, -490.846298
 228.768418, -527.640372
 230.415369, -565.079394
 232.062321, -603.166857
 233.709273, -641.376473
 235.356224, -679.950633
 237.003176, -719.172124
 238.650127, -759.044437
 240.297079, -799.571062
 241.944030, -840.755492
 243.590982, -882.601218
 245.237933, -925.111730
 246.884885, -968.290520
 248.531836, -1012.141078
 250.178788, -1056.666897
 251.825739, -1103.055675
 253.472691, -1154.438279
 255.119643, -1206.286849
 256.766594, -1258.923259
 258.413546, -1312.358076
 260.060497, -1366.595505
 261.707449, -1421.639754
 263.354400, -1477.495026
 265.001352, -1534.165529
 266.648303, -1591.655467
 268.295255, -1649.969047
 269.942206, -1709.110473
 271.589158, -1769.083952
 273.236109, -1829.893689
 274.883061, -1891.569223
 276.530012, -1954.146839
 278.176964, -2017.574324
 279.823916, -2081.855885
 281.470867, -2146.995728
