Speed (CAS), Efficiency
  75.863188,    8.852502
  76.647854,    9.257327
  77.432520,    9.705738
  78.217186,    9.938660
  79.001853,   10.182105
  79.786519,   10.440394
  80.571185,   10.637827
  81.355851,   10.824726
  82.140518,   11.020219
  82.925184,   11.224885
  83.709850,   11.402262
  84.494516,   11.578091
  85.279182,   11.761146
  86.063849,   11.951858
  86.848515,   12.137467
  87.633181,   12.297792
  88.417847,   12.463911
  89.202514,   12.636120
  89.987180,   12.814742
  90.771846,   12.993540
  91.556512,   13.136255
  92.341179,   13.283410
  93.125845,   13.435199
  93.910511,   13.591825
  94.695177,   13.753508
  95.479844,   13.911418
  96.264510,   14.030101
  97.049176,   14.151822
  97.833842,   14.276688
  98.618508,   14.404810
  99.403175,   14.536303
 100.187841,   14.671291
 100.972507,   14.800293
 101.757173,   14.884452
 102.541840,   14.970236
 103.326506,   15.057686
 104.111172,   15.146841
 104.895838,   15.237745
 105.680505,   15.330442
 106.465171,   15.424977
 107.249837,   15.521398
 108.034503,   15.570416
 108.819169,   15.606205
 109.603836,   15.642419
 110.388502,   15.679063
 111.173168,   15.716143
 111.957834,   15.753663
 112.742501,   15.791628
 113.527167,   15.830044
 114.311833,   15.868916
 115.096499,   15.908249
 115.881166,   15.921140
 116.665832,   15.905858
 117.450498,   15.890503
 118.235164,   15.875074
 119.019831,   15.859573
 119.804497,   15.844000
 120.589163,   15.828355
 121.373829,   15.812639
 122.158495,   15.796853
 122.943162,   15.780997
 123.727828,   15.765072
 124.512494,   15.749078
 125.297160,   15.733015
 126.081827,   15.696013
 126.866493,   15.632211
 127.651159,   15.568535
 128.435825,   15.504988
 129.220492,   15.441573
 130.005158,   15.378293
 130.789824,   15.315152
 131.574490,   15.252151
 132.359156,   15.189294
 133.143823,   15.126584
 133.928489,   15.064024
 134.713155,   15.001616
 135.497821,   14.939363
 136.282488,   14.877267
 137.067154,   14.815331
 137.851820,   14.753558
 138.636486,   14.691949
 139.421153,   14.625770
 140.205819,   14.528164
 140.990485,   14.431315
 141.775151,   14.335219
 142.559817,   14.239872
 143.344484,   14.145268
 144.129150,   14.051405
 144.913816,   13.958276
 145.698482,   13.865879
 146.483149,   13.774207
 147.267815,   13.683257
 148.052481,   13.593023
 148.837147,   13.503502
 149.621814,   13.414688
 150.406480,   13.326577
 151.191146,   13.239165
 151.975812,   13.152445
 152.760479,   13.066414
 153.545145,   12.981066
