Time, Acceleration
   0.000100,    2.821337
   0.000834,    2.821317
   0.002967,    2.821260
   0.009792,    2.821077
   0.025473,    2.820656
   0.054691,    2.819872
   0.086584,    2.819016
   0.118497,    2.818159
   0.150477,    2.817300
   0.182575,    2.816437
   0.214598,    2.815577
   0.246645,    2.814716
   0.278807,    2.813851
   0.311205,    2.812980
   0.343744,    2.812105
   0.376610,    2.811221
   0.409437,    2.810338
   0.442098,    2.809459
   0.475380,    2.808563
   0.508802,    2.807663
   0.542691,    2.806750
   0.576872,    2.805829
   0.611190,    2.804905
   0.645661,    2.803976
   0.681073,    2.803021
   0.716023,    2.802079
   0.751346,    2.801126
   0.787223,    2.800158
   0.823036,    2.799192
   0.859491,    2.798208
   0.896032,    2.797221
   0.932923,    2.796225
   0.970558,    2.795209
   1.008334,    2.794188
   1.046211,    2.793165
   1.084504,    2.792130
   1.123228,    2.791083
   1.162176,    2.790029
   1.201593,    2.788963
   1.240834,    2.787901
   1.280330,    2.786832
   1.321312,    2.785723
   1.361860,    2.784625
   1.402979,    2.783511
   1.444087,    2.782397
   1.485289,    2.781281
   1.527210,    2.780144
   1.569012,    2.779011
   1.611618,    2.777855
   1.654627,    2.776689
   1.698050,    2.775510
   1.741272,    2.774337
   1.785347,    2.773140
   1.830086,    2.771925
   1.874700,    2.770713
   1.919726,    2.769490
   1.965505,    2.768246
   2.011398,    2.766998
   2.057207,    2.765752
   2.103784,    2.764485
   2.151352,    2.763191
   2.198282,    2.761913
   2.245707,    2.760622
   2.293950,    2.759308
   2.342116,    2.757996
   2.390565,    2.756676
   2.439966,    2.755329
   2.489123,    2.753989
   2.538329,    2.752647
   2.588472,    2.751279
   2.638665,    2.749909
   2.689337,    2.748526
   2.740583,    2.747127
   2.791988,    2.745723
   2.844375,    2.744291
   2.896152,    2.742876
   2.948815,    2.741437
   3.001783,    2.739988
   3.055601,    2.738516
   3.109170,    2.737051
   3.162847,    2.735582
   3.216731,    2.734106
   3.270720,    2.732628
   3.325604,    2.731125
   3.380484,    2.729621
   3.435999,    2.728099
   3.491440,    2.726579
   3.547244,    2.725049
   3.603226,    2.723513
   3.659747,    2.721962
   3.716274,    2.720410
   3.773259,    2.718846
   3.830391,    2.717277
   3.888771,    2.715673
   3.947212,    2.714067
   4.005739,    2.712458
   4.064076,    2.710854
   4.123513,    2.709219
   4.183044,    2.707581
   4.242538,    2.705944
   4.244958,    2.705877
   4.245298,    2.705868
   4.245381,    2.705866
   4.245535,    2.705862
   4.245579,    2.705860
   4.245604,    2.705860
   4.245621,    2.705859
   4.245632,    2.705859
   4.245636,    2.705859
   4.245641,    2.705859
   4.245684,    2.705857
   4.246116,    2.705842
   4.248393,    2.705761
   4.257353,    2.705444
   4.282135,    2.704566
   4.340283,    2.702506
   4.394126,    2.700598
   4.448309,    2.698679
   4.503118,    2.696738
   4.557931,    2.694797
   4.612914,    2.692850
   4.667921,    2.690902
