Speed (CAS), Climb Angle
  62.747630,    2.010584
  63.451737,    1.996721
  64.155844,    1.982248
  64.859951,    1.965374
  65.564058,    1.946212
  66.268164,    1.924877
  66.972271,    1.901494
  67.676378,    1.882381
  68.380485,    1.863037
  69.084591,    1.841186
  69.788698,    1.817699
  70.492805,    1.792719
  71.196912,    1.765909
  71.901019,    1.737085
  72.605125,    1.707095
  73.309232,    1.675346
  74.013339,    1.641881
  74.717446,    1.607606
  75.421552,    1.570937
  76.125659,    1.533599
  76.829766,    1.494467
  77.533873,    1.454295
  78.237980,    1.412693
  78.942086,    1.369929
  79.646193,    1.325855
  80.350300,    1.280757
  81.054407,    1.234214
  81.758513,    1.187051
  82.462620,    1.138047
  83.166727,    1.088920
  83.870834,    1.041331
  84.574941,    0.995901
  85.279047,    0.949354
  85.983154,    0.901472
  86.687261,    0.853430
  87.391368,    0.803487
  88.095474,    0.752997
  88.799581,    0.702303
  89.503688,    0.649394
  90.207795,    0.596292
  90.911902,    0.542996
  91.616008,    0.487495
  92.320115,    0.431780
  93.024222,    0.375855
  93.728329,    0.318251
  94.432435,    0.259930
  95.136542,    0.201385
  95.840649,    0.142165
  96.544756,    0.081252
  97.248863,    0.020100
  97.952969,   -0.041291
  98.657076,   -0.103703
  99.361183,   -0.167439
 100.065290,   -0.229823
 100.769396,   -0.290030
 101.473503,   -0.350959
 102.177610,   -0.413482
 102.881717,   -0.476270
 103.585824,   -0.539325
 104.289930,   -0.602646
 104.994037,   -0.667449
 105.698144,   -0.733060
 106.402251,   -0.798949
 107.106357,   -0.865117
 107.810464,   -0.931564
 108.514571,   -0.999401
 109.218678,   -1.068103
 109.922785,   -1.137095
 110.626891,   -1.206378
 111.330998,   -1.275952
 112.035105,   -1.345914
 112.739212,   -1.417699
 113.443318,   -1.489786
 114.147425,   -1.562174
 114.851532,   -1.634864
 115.555639,   -1.707856
 116.259745,   -1.780346
 116.963852,   -1.851134
 117.667959,   -1.922564
 118.372066,   -1.994306
 119.076173,   -2.066360
 119.780279,   -2.138725
 120.484386,   -2.211404
 121.188493,   -2.284394
 121.892600,   -2.358745
 122.596706,   -2.433870
 123.300813,   -2.509316
 124.004920,   -2.585085
 124.709027,   -2.661176
 125.413134,   -2.737590
 126.117240,   -2.814326
 126.821347,   -2.891386
 127.525454,   -2.969616
 128.229561,   -3.048761
 128.933667,   -3.128238
 129.637774,   -3.208047
 130.341881,   -3.288188
 131.045988,   -3.368662
 131.750095,   -3.449468
 132.454201,   -3.530608
