Speed, Forces
  72.162904, 15082.652304
  72.764488, 14992.098965
  73.366073, 14898.177872
  73.967657, 14807.827970
  74.569242, 14723.911254
  75.170826, 14643.949097
  75.772411, 14566.711067
  76.373995, 14496.568824
  76.975580, 14428.761743
  77.577164, 14365.238830
  78.178749, 14306.341224
  78.780333, 14249.473023
  79.381918, 14198.935094
  79.983503, 14149.158103
  80.585087, 14105.991173
  81.186672, 14063.436100
  81.788256, 14026.919515
  82.389841, 13990.959456
  82.991425, 13961.092408
  83.593010, 13931.072133
  84.194594, 13907.844372
  84.796179, 13884.450050
  85.397763, 13866.472162
  85.999348, 13849.746588
  86.600932, 13836.234768
  87.202517, 13826.147235
  87.804102, 13816.353413
  88.405686, 13812.863773
  89.007271, 13809.350306
  89.608855, 13809.070216
  90.210440, 13812.149483
  90.812024, 13815.249354
  91.413609, 13823.514211
  92.015193, 13833.189069
  92.616778, 13842.927388
  93.218362, 13858.711755
  93.819947, 13874.994725
  94.421531, 13891.382440
  95.023116, 13913.604233
  95.624701, 13936.493674
  96.226285, 13959.527569
  96.827870, 13987.048053
  97.429454, 14016.528161
  98.031039, 14046.190860
  98.632623, 14077.814653
  99.234208, 14113.855462
  99.835792, 14150.115425
 100.437377, 14186.594542
 101.038961, 14227.147876
 101.640546, 14269.959402
 102.242130, 14313.025070
 102.843715, 14356.344881
 103.445299, 14404.295954
 104.046884, 14453.886736
 104.648469, 14503.765077
 105.250053, 14553.930976
 105.851638, 14607.653567
 106.453222, 14664.013264
 107.054807, 14720.692361
 107.656391, 14777.690859
 108.257976, 14835.464333
 108.859560, 14898.563720
 109.461145, 14962.012775
 110.062729, 15025.811499
 110.664314, 15089.959892
 111.265898, 15155.611774
 111.867483, 15225.781105
 112.469068, 15296.328800
 113.070652, 15367.254858
 113.672237, 15438.559280
 114.273821, 15510.242066
 114.875406, 15587.127601
 115.476990, 15664.759612
 116.078575, 15742.797109
 116.680159, 15821.240091
 117.281744, 15900.088557
 117.883328, 15980.189046
 118.484913, 16064.867448
 119.086497, 16149.976883
 119.688082, 16235.517351
 120.289667, 16321.488852
 120.891251, 16407.891385
 121.492836, 16494.724951
 122.094420, 16586.096774
 122.696005, 16678.670051
 123.297589, 16771.698334
 123.899174, 16865.181624
 124.500758, 16959.119921
 125.102343, 17053.513225
 125.703927, 17148.361535
 126.305512, 17247.736352
 126.907096, 17348.208971
 127.508681, 17449.158997
 128.110265, 17550.586430
 128.711850, 17652.491271
 129.313435, 17754.873519
 129.915019, 17857.733174
 130.516604, 17961.578279
 131.118188, 18069.921662
 131.719773, 18178.763280
