Speed (TAS), Efficiency
  82.444313,   13.806337
  83.097506,   13.892440
  83.750699,   13.983600
  84.403892,   14.072882
  85.057085,   14.156872
  85.710278,   14.239508
  86.363471,   14.318877
  87.016664,   14.394466
  87.669857,   14.469136
  88.323050,   14.537707
  88.976243,   14.605863
  89.629436,   14.668948
  90.282629,   14.730599
  90.935822,   14.788026
  91.589015,   14.843434
  92.242208,   14.894899
  92.895401,   14.944416
  93.548594,   14.989652
  94.201787,   15.033713
  94.854980,   15.072495
  95.508173,   15.111615
  96.161366,   15.143759
  96.814559,   15.176261
  97.467752,   15.203896
  98.120945,   15.229517
  98.774138,   15.253468
  99.427331,   15.272121
 100.080524,   15.290943
 100.733716,   15.304781
 101.386909,   15.316512
 102.040102,   15.328303
 102.693295,   15.332948
 103.346488,   15.337625
 103.999681,   15.341176
 104.652874,   15.338762
 105.306067,   15.336333
 105.959260,   15.332774
 106.612453,   15.323309
 107.265646,   15.313797
 107.918839,   15.304240
 108.572032,   15.287938
 109.225225,   15.271437
 109.878418,   15.254872
 110.531611,   15.234224
 111.184804,   15.210890
 111.837997,   15.187490
 112.491190,   15.163928
 113.144383,   15.133974
 113.797576,   15.103965
 114.450769,   15.073904
 115.103962,   15.042641
 115.757155,   15.006296
 116.410348,   14.969922
 117.063541,   14.933520
 117.716734,   14.896568
 118.369927,   14.854200
 119.023120,   14.811839
 119.676313,   14.769488
 120.329506,   14.727149
 120.982699,   14.680927
 121.635892,   14.633013
 122.289085,   14.585155
 122.942277,   14.537356
 123.595470,   14.489617
 124.248663,   14.436858
 124.901856,   14.383972
 125.555049,   14.331197
 126.208242,   14.278536
 126.861435,   14.225990
 127.514628,   14.169397
 128.167821,   14.112149
 128.821014,   14.055072
 129.474207,   13.998169
 130.127400,   13.941440
 130.780593,   13.883606
 131.433786,   13.822620
 132.086979,   13.761867
 132.740172,   13.701349
 133.393365,   13.641066
 134.046558,   13.581019
 134.699751,   13.520311
 135.352944,   13.456498
 136.006137,   13.392980
 136.659330,   13.329757
 137.312523,   13.266830
 137.965716,   13.204199
 138.618909,   13.141863
 139.272102,   13.077663
 139.925295,   13.012084
 140.578488,   12.946858
 141.231681,   12.881982
 141.884874,   12.817458
 142.538067,   12.753283
 143.191260,   12.689458
 143.844453,   12.625233
 144.497646,   12.558646
 145.150838,   12.492461
 145.804031,   12.426676
 146.457224,   12.361290
 147.110417,   12.296300
