Speed (CAS), Efficiency
  61.799249,   13.949141
  62.579831,   14.057414
  63.360414,   14.163795
  64.140996,   14.261965
  64.921579,   14.351965
  65.702161,   14.433554
  66.482744,   14.506261
  67.263326,   14.570832
  68.043909,   14.627548
  68.824491,   14.676753
  69.605073,   14.718847
  70.385656,   14.752750
  71.166238,   14.777954
  71.946821,   14.797007
  72.727403,   14.810500
  73.507986,   14.813746
  74.288568,   14.812063
  75.069151,   14.804991
  75.849733,   14.788980
  76.630316,   14.769744
  77.410898,   14.742287
  78.191480,   14.710771
  78.972063,   14.673312
  79.752645,   14.630809
  80.533228,   14.583635
  81.313810,   14.531554
  82.094393,   14.475047
  82.874975,   14.414882
  83.655558,   14.349498
  84.436140,   14.282794
  85.216722,   14.209052
  85.997305,   14.135399
  86.777887,   14.055837
  87.558470,   13.974510
  88.339052,   13.892008
  89.119635,   13.803611
  89.900217,   13.715569
  90.680800,   13.624855
  91.461382,   13.530505
  92.241964,   13.436661
  93.022547,   13.340295
  93.803129,   13.240911
  94.583712,   13.142186
  95.364294,   13.042613
  96.144877,   12.939101
  96.925459,   12.836396
  97.706042,   12.734497
  98.486624,   12.629123
  99.267207,   12.523298
 100.047789,   12.418416
 100.828371,   12.314476
 101.608954,   12.206585
 102.389536,   12.099511
 103.170119,   11.993501
 103.950701,   11.888549
 104.731284,   11.781043
 105.511866,   11.673667
 106.292449,   11.567455
 107.073031,   11.462396
 107.853613,   11.357767
 108.634196,   11.250904
 109.414778,   11.145285
 110.195361,   11.040896
 110.975943,   10.937722
 111.756526,   10.835554
 112.537108,   10.731189
 113.317691,   10.628109
 114.098273,   10.526298
 114.878856,   10.425740
 115.659438,   10.326420
 116.440020,   10.227320
 117.220603,   10.127368
 118.001185,   10.028702
 118.781768,    9.931305
 119.562350,    9.835157
 120.342933,    9.740241
 121.123515,    9.646540
 121.904098,    9.551847
 122.684680,    9.457986
 123.465262,    9.365370
 124.245845,    9.273979
 125.026427,    9.183796
 125.807010,    9.094801
 126.587592,    9.006976
 127.368175,    8.919379
 128.148757,    8.831719
 128.929340,    8.745246
 129.709922,    8.659939
 130.490504,    8.575780
 131.271087,    8.492751
 132.051669,    8.410834
 132.832252,    8.330010
 133.612834,    8.250261
 134.393417,    8.170113
 135.173999,    8.090782
 135.954582,    8.012532
 136.735164,    7.935342
 137.515747,    7.859196
 138.296329,    7.784077
 139.076911,    7.709967
