Mach, Efficiency
   0.251702,   13.949141
   0.253200,   13.996691
   0.254698,   14.051279
   0.256196,   14.101449
   0.257694,   14.152240
   0.259192,   14.198774
   0.260690,   14.245593
   0.262188,   14.288725
   0.263686,   14.331414
   0.265184,   14.371416
   0.266682,   14.409836
   0.268180,   14.447019
   0.269678,   14.481050
   0.271176,   14.515433
   0.272674,   14.545301
   0.274172,   14.575125
   0.275669,   14.602889
   0.277167,   14.628079
   0.278665,   14.653493
   0.280163,   14.674665
   0.281661,   14.695329
   0.283159,   14.715304
   0.284657,   14.731185
   0.286155,   14.747184
   0.287653,   14.761543
   0.289151,   14.772701
   0.290649,   14.783933
   0.292147,   14.793252
   0.293645,   14.799613
   0.295143,   14.806012
   0.296641,   14.810937
   0.298139,   14.812464
   0.299637,   14.813999
   0.301135,   14.815233
   0.302633,   14.811924
   0.304131,   14.808599
   0.305629,   14.805260
   0.307127,   14.798783
   0.308625,   14.790636
   0.310123,   14.782459
   0.311620,   14.773935
   0.313118,   14.761033
   0.314616,   14.748092
   0.316114,   14.735112
   0.317612,   14.720800
   0.319110,   14.703196
   0.320608,   14.685551
   0.322106,   14.667866
   0.323604,   14.648875
   0.325102,   14.626696
   0.326600,   14.604482
   0.328098,   14.582234
   0.329596,   14.559723
   0.331094,   14.533135
   0.332592,   14.506525
   0.334090,   14.479892
   0.335588,   14.453238
   0.337086,   14.424252
   0.338584,   14.393449
   0.340082,   14.362642
   0.341580,   14.331831
   0.343078,   14.301017
   0.344576,   14.267116
   0.346074,   14.232369
   0.347571,   14.197640
   0.349069,   14.162933
   0.350567,   14.128246
   0.352065,   14.091007
   0.353563,   14.052618
   0.355061,   14.014276
   0.356559,   13.975982
   0.358057,   13.937737
   0.359555,   13.898722
   0.361053,   13.857016
   0.362551,   13.815388
   0.364049,   13.773838
   0.365547,   13.732367
   0.367045,   13.690977
   0.368543,   13.648405
   0.370041,   13.603829
   0.371539,   13.559364
   0.373037,   13.515011
   0.374535,   13.470770
   0.376033,   13.426643
   0.377531,   13.382407
   0.379029,   13.335369
   0.380527,   13.288476
   0.382025,   13.241728
   0.383522,   13.195127
   0.385020,   13.148672
   0.386518,   13.102364
   0.388016,   13.055460
   0.389514,   13.006541
   0.391012,   12.957801
   0.392510,   12.909240
   0.394008,   12.860857
   0.395506,   12.812654
   0.397004,   12.764631
   0.398502,   12.716786
   0.400000,   12.666835
