Speed (CAS), Rate of Climb
  62.747630,   -0.069091
  63.105838,   -0.067471
  63.464045,   -0.063056
  63.822252,   -0.060581
  64.180459,   -0.057964
  64.538666,   -0.057213
  64.896873,   -0.056458
  65.255080,   -0.057331
  65.613287,   -0.058500
  65.971494,   -0.060886
  66.329701,   -0.064037
  66.687909,   -0.067812
  67.046116,   -0.073000
  67.404323,   -0.078163
  67.762530,   -0.085305
  68.120737,   -0.092590
  68.478944,   -0.100851
  68.837151,   -0.110306
  69.195358,   -0.119801
  69.553565,   -0.131192
  69.911773,   -0.142935
  70.269980,   -0.155108
  70.628187,   -0.169141
  70.986394,   -0.183277
  71.344601,   -0.198259
  71.702808,   -0.214755
  72.061015,   -0.231387
  72.419222,   -0.249002
  72.777429,   -0.268058
  73.135636,   -0.287282
  73.493844,   -0.307326
  73.852051,   -0.329036
  74.210258,   -0.350944
  74.568465,   -0.369612
  74.926672,   -0.389300
  75.284879,   -0.409173
  75.643086,   -0.429229
  76.001293,   -0.450870
  76.359500,   -0.473457
  76.717707,   -0.496260
  77.075915,   -0.519423
  77.434122,   -0.544801
  77.792329,   -0.570426
  78.150536,   -0.596300
  78.508743,   -0.623027
  78.866950,   -0.651547
  79.225157,   -0.680345
  79.583364,   -0.709424
  79.941571,   -0.739394
  80.299779,   -0.771183
  80.657986,   -0.803283
  81.016193,   -0.835696
  81.374400,   -0.868534
  81.732607,   -0.903714
  82.090814,   -0.939237
  82.449021,   -0.975105
  82.807228,   -1.011316
  83.165435,   -1.049071
  83.523642,   -1.088131
  83.881850,   -1.127566
  84.240057,   -1.167379
  84.598264,   -1.207569
  84.956471,   -1.249808
  85.314678,   -1.292917
  85.672885,   -1.336436
  86.031092,   -1.380364
  86.389299,   -1.423229
  86.747506,   -1.465524
  87.105714,   -1.508899
  87.463921,   -1.552681
  87.822128,   -1.596872
  88.180335,   -1.641475
  88.538542,   -1.686976
  88.896749,   -1.734547
  89.254956,   -1.782559
  89.613163,   -1.831014
  89.971370,   -1.879911
  90.329577,   -1.929254
  90.687785,   -1.979841
  91.045992,   -2.032225
  91.404199,   -2.085083
  91.762406,   -2.138417
  92.120613,   -2.192229
  92.478820,   -2.246520
  92.837027,   -2.301440
  93.195234,   -2.358833
  93.553441,   -2.416733
  93.911648,   -2.475144
  94.269856,   -2.534066
  94.628063,   -2.593501
  94.986270,   -2.653451
  95.344477,   -2.714457
  95.702684,   -2.777584
  96.060891,   -2.841254
  96.419098,   -2.905470
  96.777305,   -2.970233
  97.135512,   -3.035544
  97.493720,   -3.101406
  97.851927,   -3.167819
  98.210134,   -3.236606
