Speed, Forces
  76.364867, 13167.147079
  76.968427, 13092.539880
  77.571988, 13014.329796
  78.175549, 12938.940324
  78.779109, 12869.229878
  79.382670, 12801.597773
  79.986230, 12737.736922
  80.589791, 12677.807818
  81.193352, 12619.472684
  81.796912, 12566.812876
  82.400473, 12515.054397
  83.004033, 12468.182842
  83.607594, 12422.793300
  84.211155, 12381.457979
  84.814715, 12341.943162
  85.418276, 12306.148910
  86.021837, 12271.992382
  86.625397, 12241.736629
  87.228958, 12212.399725
  87.832518, 12187.672490
  88.436079, 12162.774750
  89.039640, 12143.378213
  89.643200, 12124.031406
  90.246761, 12108.245886
  90.850321, 12094.423978
  91.453882, 12081.637958
  92.057443, 12073.307508
  92.661003, 12064.922261
  93.264564, 12060.007402
  93.868124, 12057.108862
  94.471685, 12054.191626
  95.075246, 12056.358105
  95.678806, 12058.912946
  96.282367, 12061.928718
  96.885927, 12069.897499
  97.489488, 12077.916078
  98.093049, 12086.366968
  98.696609, 12099.766336
  99.300170, 12113.247897
  99.903730, 12126.811651
 100.507291, 12145.038690
 101.110852, 12163.971364
 101.714412, 12183.017391
 102.317973, 12204.721955
 102.921533, 12229.082760
 103.525094, 12253.586843
 104.128655, 12278.234204
 104.732215, 12307.511687
 105.335776, 12337.438496
 105.939336, 12367.537274
 106.542897, 12398.121070
 107.146458, 12433.424161
 107.750018, 12468.926679
 108.353579, 12504.628621
 108.957139, 12540.529990
 109.560700, 12581.176435
 110.164261, 12622.249546
 110.767821, 12663.548305
 111.371382, 12705.072710
 111.974943, 12749.367024
 112.578503, 12795.990798
 113.182064, 12842.865205
 113.785624, 12889.990246
 114.389185, 12937.365920
 114.992746, 12988.615592
 115.596306, 13041.029665
 116.199867, 13093.718122
 116.803427, 13146.680964
 117.406988, 13199.918191
 118.010549, 13256.373483
 118.614109, 13314.573321
 119.217670, 13373.070061
 119.821230, 13431.863702
 120.424791, 13490.954245
 121.028352, 13550.754285
 121.631912, 13614.716834
 122.235473, 13678.997566
 122.839033, 13743.596482
 123.442594, 13808.513582
 124.046155, 13873.748866
 124.649715, 13939.370051
 125.253276, 14009.391965
 125.856836, 14079.752109
 126.460397, 14150.450485
 127.063958, 14221.487091
 127.667518, 14292.861929
 128.271079, 14364.574997
 128.874639, 14438.018167
 129.478200, 14514.434015
 130.081761, 14591.206907
 130.685321, 14668.336842
 131.288882, 14745.823820
 131.892442, 14823.667842
 132.496003, 14901.868907
 133.099564, 14980.427016
 133.703124, 15063.173872
 134.306685, 15146.348731
 134.910245, 15229.898211
 135.513806, 15313.822312
 136.117367, 15398.121034
