Speed (TAS), Efficiency
 156.471002,   14.629365
 157.964018,   14.731674
 159.457035,   14.836693
 160.950051,   14.937511
 162.443068,   15.034343
 163.936084,   15.125311
 165.429101,   15.211033
 166.922118,   15.293158
 168.415134,   15.370667
 169.908151,   15.441647
 171.401167,   15.509671
 172.894184,   15.572320
 174.387200,   15.629554
 175.880217,   15.684713
 177.373234,   15.731435
 178.866250,   15.776539
 180.359267,   15.815263
 181.852283,   15.850747
 183.345300,   15.881193
 184.838317,   15.907625
 186.331333,   15.929583
 187.824350,   15.947651
 189.317366,   15.960980
 190.810383,   15.971488
 192.303399,   15.976119
 193.796416,   15.979968
 195.289433,   15.975899
 196.782449,   15.971800
 198.275466,   15.961367
 199.768482,   15.948581
 201.261499,   15.933701
 202.754515,   15.912367
 204.247532,   15.890933
 205.740549,   15.864498
 207.233565,   15.834700
 208.726582,   15.804800
 210.219598,   15.768483
 211.712615,   15.730486
 213.205631,   15.692405
 214.698648,   15.648007
 216.191665,   15.602166
 217.684681,   15.556278
 219.177698,   15.505678
 220.670714,   15.452423
 222.163731,   15.399174
 223.656747,   15.344287
 225.149764,   15.284104
 226.642781,   15.223996
 228.135797,   15.163967
 229.628814,   15.100150
 231.121830,   15.033722
 232.614847,   14.967452
 234.107864,   14.901342
 235.600880,   14.831334
 237.093897,   14.759392
 238.586913,   14.687696
 240.079930,   14.616250
 241.572946,   14.542721
 243.065963,   14.466017
 244.558980,   14.389652
 246.051996,   14.313629
 247.545013,   14.237950
 249.038029,   14.158400
 250.531046,   14.078116
 252.024062,   13.998266
 253.517079,   13.918850
 255.010096,   13.839869
 256.503112,   13.757640
 257.996129,   13.674683
 259.489145,   13.592247
 260.982162,   13.510332
 262.475178,   13.428937
 263.968195,   13.347059
 265.461212,   13.262272
 266.954228,   13.178087
 268.447245,   13.094500
 269.940261,   13.011510
 271.433278,   12.929113
 272.926295,   12.846799
 274.419311,   12.761616
 275.912328,   12.677101
 277.405344,   12.593247
 278.898361,   12.510053
 280.391377,   12.427512
 281.884394,   12.345621
 283.377411,   12.263137
 284.870427,   12.179059
 286.363444,   12.095693
 287.856460,   12.013033
 289.349477,   11.931074
 290.842493,   11.849811
 292.335510,   11.769237
 293.828527,   11.689348
 295.321543,   11.607821
 296.814560,   11.526301
 298.307576,   11.445517
 299.800593,   11.365459
 301.293609,   11.286123
 302.786626,   11.207501
 304.279643,   11.129585
