Speed (TAS), Efficiency
  76.364867,   14.629365
  77.174666,   14.744004
  77.984465,   14.859902
  78.794264,   14.970062
  79.604063,   15.074624
  80.413862,   15.173777
  81.223661,   15.267759
  82.033460,   15.353448
  82.843259,   15.433988
  83.653058,   15.509807
  84.462857,   15.579500
  85.272656,   15.641900
  86.082455,   15.700349
  86.892254,   15.752568
  87.702053,   15.798121
  88.511852,   15.840790
  89.321651,   15.874515
  90.131450,   15.905290
  90.941250,   15.929680
  91.751049,   15.949187
  92.560848,   15.964025
  93.370647,   15.973051
  94.180446,   15.978215
  94.990245,   15.977688
  95.800044,   15.973146
  96.609843,   15.964120
  97.419642,   15.949924
  98.229441,   15.933561
  99.039240,   15.909844
  99.849039,   15.886004
 100.658838,   15.854359
 101.468637,   15.821197
 102.278436,   15.785047
 103.088235,   15.742855
 103.898034,   15.700558
 104.707833,   15.652706
 105.517632,   15.601763
 106.327431,   15.550761
 107.137230,   15.493349
 107.947029,   15.434165
 108.756828,   15.374991
 109.566627,   15.310241
 110.376426,   15.243408
 111.186226,   15.176670
 111.996025,   15.106825
 112.805824,   15.032993
 113.615623,   14.959355
 114.425422,   14.885916
 115.235221,   14.806483
 116.045020,   14.726638
 116.854819,   14.647101
 117.664618,   14.567406
 118.474417,   14.482061
 119.284216,   14.397134
 120.094015,   14.312629
 120.903814,   14.228549
 121.713613,   14.139422
 122.523412,   14.050339
 123.333211,   13.961792
 124.143010,   13.873781
 124.952809,   13.784187
 125.762608,   13.691839
 126.572407,   13.600136
 127.382206,   13.509076
 128.192005,   13.418659
 129.001804,   13.326817
 129.811603,   13.232786
 130.621402,   13.139496
 131.431201,   13.046944
 132.241001,   12.955127
 133.050800,   12.864040
 133.860599,   12.769576
 134.670398,   12.675621
 135.480197,   12.582484
 136.289996,   12.490160
 137.099795,   12.398642
 137.909594,   12.307925
 138.719393,   12.214759
 139.529192,   12.121818
 140.338991,   12.029751
 141.148790,   11.938551
 141.958589,   11.848211
 142.768388,   11.758723
 143.578187,   11.670066
 144.387986,   11.578892
 145.197785,   11.488630
 146.007584,   11.399271
 146.817383,   11.310807
 147.627182,   11.223226
 148.436981,   11.136521
 149.246780,   11.050682
 150.056579,   10.964887
 150.866378,   10.877914
 151.676177,   10.791852
 152.485977,   10.706692
 153.295776,   10.622422
 154.105575,   10.539033
 154.915374,   10.456513
 155.725173,   10.374854
 156.534972,   10.294043
