Speed, Powers
  61.801651, 904168.822601
  62.758553, 907726.780831
  63.715455, 911480.839747
  64.672357, 915877.061009
  65.629259, 920929.562099
  66.586162, 926648.733479
  67.543064, 933063.728946
  68.499966, 940136.965600
  69.456868, 947851.094511
  70.413771, 956261.020948
  71.370673, 965328.374332
  72.327575, 975038.008777
  73.284477, 985369.993297
  74.241380, 996299.460654
  75.198282, 1007796.456197
  76.155184, 1020140.531255
  77.112086, 1033065.811929
  78.068989, 1046501.710375
  79.025891, 1060706.284510
  79.982793, 1075568.879547
  80.939695, 1090852.689852
  81.896597, 1107117.343185
  82.853500, 1123781.111437
  83.810402, 1141219.275986
  84.767304, 1159241.450894
  85.724206, 1177927.769156
  86.681109, 1197270.280834
  87.638011, 1217275.621167
  88.594913, 1237883.034673
  89.551815, 1259274.128520
  90.508718, 1281072.797388
  91.465620, 1303911.876508
  92.422522, 1327044.217704
  93.379424, 1351153.529980
  94.336326, 1375825.734835
  95.293229, 1400938.624097
  96.250131, 1427202.494415
  97.207033, 1453831.937154
  98.163935, 1481082.013992
  99.120838, 1509383.239665
 100.077740, 1538087.927098
 101.034642, 1567356.451665
 101.991544, 1597806.165894
 102.948447, 1628697.183254
 103.905349, 1660033.644126
 104.862251, 1692524.443276
 105.819153, 1725705.137985
 106.776056, 1759369.163860
 107.732958, 1793529.930817
 108.689860, 1829095.096250
 109.646762, 1865181.145342
 110.603664, 1901792.663935
 111.560567, 1938934.237873
 112.517469, 1977377.178626
 113.474371, 2016532.953677
 114.431273, 2056256.265483
 115.388176, 2096551.899943
 116.345078, 2137567.786261
 117.301980, 2179946.205440
 118.258882, 2222933.976155
 119.215785, 2266536.069249
 120.172687, 2310757.455565
 121.129589, 2355603.105949
 122.086491, 2401875.555347
 123.043394, 2448923.237918
 124.000296, 2496631.934291
 124.957198, 2545006.785137
 125.914100, 2594052.931127
 126.871002, 2643775.512931
 127.827905, 2694934.298278
 128.784807, 2746961.456017
 129.741709, 2799701.293429
 130.698611, 2853159.105895
 131.655514, 2907340.188798
 132.612416, 2962249.837520
 133.569318, 3017893.347444
 134.526220, 3075027.441298
 135.483123, 3133089.406420
 136.440025, 3191920.883589
 137.396927, 3251527.307782
 138.353829, 3311914.113977
 139.310731, 3373086.737153
 140.267634, 3435050.612287
 141.224536, 3497811.174357
 142.181438, 3561901.168376
 143.138340, 3627200.300428
 144.095243, 3693331.044766
 145.052145, 3760298.960848
 146.009047, 3828109.608132
 146.965949, 3896768.546077
 147.922852, 3966281.334141
 148.879754, 4036653.531783
 149.836656, 4107890.698461
 150.793558, 4179998.393634
 151.750461, 4253603.756831
 152.707363, 4328398.611863
 153.664265, 4404098.126779
 154.621167, 4480707.970402
 155.578069, 4558233.811556
 156.534972, 4636681.319063
