Ground Distance, Horizontal Forces
   0.000000, 4915.478441
   5.676463, 4883.606526
  11.352939, 4883.802480
  17.029416, 4883.998435
  22.706064, 4883.918229
  28.382728, 4883.814483
  34.059391, 4883.710737
  39.736055, 4883.606991
  45.412718, 4883.503245
  51.089382, 4883.399499
  56.766045, 4883.295752
  62.442709, 4883.192006
  68.119372, 4883.088260
  73.796036, 4882.984514
  79.472942, 4882.877559
  85.149869, 4882.770330
  90.826796, 4882.663101
  96.503722, 4882.555872
 102.180649, 4882.448643
 107.857576, 4882.341414
 113.534503, 4882.234185
 119.211430, 4882.126956
 124.888357, 4882.019727
 130.565284, 4881.912498
 136.242446, 4882.073513
 141.919629, 4882.257393
 147.596811, 4882.441273
 153.273994, 4882.625153
 158.951177, 4882.809033
 164.628359, 4882.992913
 170.305542, 4883.176793
 175.982724, 4883.360673
 181.659907, 4883.544553
 187.337089, 4883.728432
 193.014501, 4883.375787
 198.691932, 4882.977407
 204.369364, 4882.579028
 210.046795, 4882.180648
 215.724226, 4881.782269
 221.401657, 4881.383890
 227.079089, 4880.985510
 232.756520, 4880.587131
 238.433951, 4880.188752
 244.111383, 4879.790372
 249.789081, 4879.936802
 255.466801, 4880.129671
 261.144522, 4880.322540
 266.822243, 4880.515409
 272.499964, 4880.708278
 278.177685, 4880.901147
 283.855405, 4881.094016
 289.533126, 4881.286885
 295.210847, 4881.479755
 300.888568, 4881.672624
 306.566552, 4881.589412
 312.244559, 4881.482666
 317.922565, 4881.375921
 323.600572, 4881.269176
 329.278579, 4881.162431
 334.956585, 4881.055686
 340.634592, 4880.948941
 346.312598, 4880.842196
 351.990605, 4880.735450
 357.668612, 4880.628705
 363.346858, 4880.789943
 369.025124, 4880.974023
 374.703390, 4881.158103
 380.381657, 4881.342183
 386.059923, 4881.526264
 391.738189, 4881.710344
 397.416456, 4881.894424
 403.094722, 4882.078504
 408.772988, 4882.262585
 414.451255, 4882.446665
 420.129750, 4882.092754
 425.808265, 4881.692984
 431.486780, 4881.293214
 437.165295, 4880.893445
 442.843810, 4880.493675
 448.522325, 4880.093905
 454.200840, 4879.694136
 459.879355, 4879.294366
 465.557870, 4878.894596
 471.236385, 4878.494827
 476.915164, 4878.640121
 482.593964, 4878.831878
 488.272765, 4879.023634
 493.951566, 4879.215390
 499.630366, 4879.407146
 505.309167, 4879.598902
 510.987968, 4879.790658
 516.666769, 4879.982414
 522.345569, 4880.174171
 528.024370, 4880.365927
 533.703428, 4880.280705
 539.382507, 4880.171875
 545.061587, 4880.063044
 550.740666, 4879.954214
 556.419746, 4879.845383
 562.098825, 4879.736552
 567.777905, 4879.627722
 573.456984, 4879.518891
 579.136063, 4879.410060
 584.815143, 4879.301230
 590.494453, 4879.460436
 596.173782, 4879.642489
 601.853112, 4879.824543
 607.532441, 4880.006597
 613.211771, 4880.188650
 618.891100, 4880.370704
 624.570429, 4880.552757
 630.249759, 4880.734811
 635.929088, 4880.916865
 641.608418, 4881.098918
 647.287966, 4880.741929
 652.967532, 4880.338992
 658.647099, 4879.936055
 664.326665, 4879.533118
 670.006232, 4879.130182
 675.685798, 4878.727245
 681.365365, 4878.324308
 687.044931, 4877.921371
 692.724498, 4877.518434
 698.404064, 4877.115497
 704.083882, 4877.258392
 709.763722, 4877.447813
 715.443562, 4877.637235
 721.123402, 4877.826656
 726.803242, 4878.016078
 732.483082, 4878.205499
 738.162922, 4878.394920
 743.842762, 4878.584342
 749.522601, 4878.773763
 755.202441, 4878.963185
 760.882527, 4878.875282
 766.562633, 4878.763741
 772.242739, 4878.652200
 777.922846, 4878.540658
 783.602952, 4878.429117
 789.283058, 4878.317576
 794.963164, 4878.206034
 800.643271, 4878.094493
 806.323377, 4877.982952
 812.003483, 4877.871410
 817.683809, 4878.028512
 823.364154, 4878.208513
 829.044499, 4878.388514
 834.724843, 4878.568515
 840.405188, 4878.748516
 846.085533, 4878.928517
 851.765878, 4879.108518
 857.446222, 4879.288519
 863.126567, 4879.468520
 868.806912, 4879.648521
 874.487466, 4879.288998
 880.168038, 4878.883486
 885.848610, 4878.477973
 891.529182, 4878.072461
 897.209754, 4877.666949
 902.890326, 4877.261437
 908.570898, 4876.855925
 914.251470, 4876.450412
 919.932042, 4876.044900
 925.612614, 4875.639388
 931.293430, 4875.780914
 936.974268, 4875.969069
 942.655106, 4876.157225
 948.335943, 4876.345380
 954.016781, 4876.533535
 959.697619, 4876.721691
 965.378456, 4876.909846
 971.059294, 4877.098001
 976.740132, 4877.286157
 982.420969, 4877.474312
 988.102048, 4877.385201
 993.783147, 4877.272455
 999.464246, 4877.159709
1005.145346, 4877.046964
1010.826445, 4876.934218
1016.507544, 4876.821472
1022.188643, 4876.708727
1027.869742, 4876.595981
1033.550841, 4876.483235
1039.231941, 4876.370490
1044.913258, 4876.527293
1050.594593, 4876.707072
1056.275929, 4876.886851
1061.957265, 4877.066630
1067.638600, 4877.246409
1073.319936, 4877.426188
1079.001272, 4877.605967
1084.682608, 4877.785746
1090.363943, 4877.965525
1096.045279, 4878.145304
1101.726825, 4877.785254
1107.408389, 4877.379189
1113.089954, 4876.973124
1118.771518, 4876.567060
1124.453082, 4876.160995
1130.134646, 4875.754930
1135.816210, 4875.348865
1141.497774, 4874.942800
1147.179339, 4874.536735
1152.860903, 4874.130671
1158.542716, 4874.272935
1164.224550, 4874.461940
1169.906384, 4874.650944
1175.588219, 4874.839948
1181.270053, 4875.028953
1186.951887, 4875.217957
1192.633721, 4875.406961
1198.315555, 4875.595966
1203.997390, 4875.784970
1209.679224, 4875.973974
1215.361306, 4875.885722
1221.043409, 4875.773836
1226.725511, 4875.661949
1232.407614, 4875.550063
1238.089717, 4875.438177
1243.771820, 4875.326291
1249.453923, 4875.214405
1255.136026, 4875.102519
1260.818129, 4874.990633
1266.500232, 4874.878747
1272.182561, 4875.037161
1277.864910, 4875.218615
1283.547259, 4875.400069
1289.229608, 4875.581522
1294.911957, 4875.762976
1300.594306, 4875.944430
1306.276655, 4876.125884
1311.959004, 4876.307338
1317.641352, 4876.488791
1323.323701, 4876.670245
1329.006271, 4876.311306
1334.688860, 4875.906305
1340.371449, 4875.501303
1346.054037, 4875.096301
1351.736626, 4874.691299
1357.419215, 4874.286298
1363.101804, 4873.881296
1368.784392, 4873.476294
1374.466981, 4873.071292
1380.149570, 4872.666291
1385.832419, 4872.810588
1391.515291, 4873.001708
1397.198162, 4873.192828
1402.881034, 4873.383948
1408.563905, 4873.575068
1414.246776, 4873.766188
1419.929648, 4873.957307
1425.612519, 4874.148427
1431.295391, 4874.339547
1436.978262, 4874.530667
1442.661393, 4874.444152
1448.344547, 4874.333971
1454.027700, 4874.223791
1459.710853, 4874.113610
1465.394007, 4874.003430
1471.077160, 4873.893249
1476.760313, 4873.783069
1482.443467, 4873.672888
1488.126620, 4873.562707
1493.809773, 4873.452527
1499.493165, 4873.612990
1505.176578, 4873.796522
1510.859990, 4873.980054
1516.543402, 4874.163586
1522.226815, 4874.347118
1527.910227, 4874.530651
1533.593640, 4874.714183
1539.277052, 4874.897715
1544.960465, 4875.081247
1550.643877, 4875.264780
1556.327522, 4874.906929
1562.011186, 4874.502930
1567.694851, 4874.098932
1573.378516, 4873.694934
1579.062180, 4873.290935
1584.745845, 4872.886937
1590.429509, 4872.482938
1596.113174, 4872.078940
1601.796839, 4871.674942
1607.480503, 4871.270943
1613.164438, 4871.416829
1618.848397, 4871.609588
1624.532355, 4871.802346
1630.216314, 4871.995104
1635.900272, 4872.187862
1641.584230, 4872.380620
1647.268189, 4872.573378
1652.952147, 4872.766136
1658.636105, 4872.958895
1664.320064, 4873.151653
1670.004291, 4873.066041
1675.688540, 4872.956700
1681.372790, 4872.847360
1687.057039, 4872.738019
1692.741289, 4872.628679
1698.425538, 4872.519338
1704.109788, 4872.409998
1709.794038, 4872.300657
1715.478287, 4872.191317
1721.162537, 4872.081976
1726.847032, 4872.243336
1732.531548, 4872.427771
1738.216063, 4872.612206
1743.900579, 4872.796641
1749.585095, 4872.981076
1755.269611, 4873.165511
1760.954127, 4873.349946
1766.638643, 4873.534380
1772.323159, 4873.718815
1778.007674, 4873.903250
1783.692427, 4873.545090
1789.377200, 4873.140678
1795.061973, 4872.736267
1800.746746, 4872.331856
1806.431519, 4871.927445
1812.116292, 4871.523034
1817.801065, 4871.118623
1823.485838, 4870.714211
1829.170610, 4870.309800
1834.855383, 4869.905389
1840.540429, 4870.051326
1846.225499, 4870.244174
1851.910568, 4870.437022
1857.595637, 4870.629871
1863.280706, 4870.822719
1868.965775, 4871.015567
1874.650845, 4871.208415
1880.335914, 4871.401264
1886.020983, 4871.594112
1891.706052, 4871.786960
1897.391390, 4871.700661
1903.076751, 4871.590567
1908.762112, 4871.480473
1914.447472, 4871.370379
1920.132833, 4871.260285
1925.818194, 4871.150191
1931.503554, 4871.040097
1937.188915, 4870.930003
1942.874276, 4870.819909
1948.559636, 4870.709815
1954.245241, 4870.870530
1959.930866, 4871.054328
1965.616491, 4871.238126
1971.302116, 4871.421924
1976.987741, 4871.605722
1982.673366, 4871.789520
1988.358991, 4871.973318
1994.044617, 4872.157116
1999.730242, 4872.340914
2005.415867, 4872.524712
2011.101725, 4872.164832
2016.787604, 4871.758609
2022.473483, 4871.352386
2028.159361, 4870.946162
2033.845240, 4870.539939
2039.531118, 4870.133716
2045.216997, 4869.727493
2050.902875, 4869.321270
2056.588754, 4868.915047
2062.274632, 4868.508824
2067.960780, 4868.653612
2073.646950, 4868.845368
2079.333120, 4869.037124
2085.019290, 4869.228880
2090.705460, 4869.420636
2096.391630, 4869.612392
2102.077800, 4869.804148
2107.763970, 4869.995905
2113.450140, 4870.187661
2119.136310, 4870.379417
2124.822743, 4870.291504
2130.509199, 4870.179752
2136.195654, 4870.068000
2141.882110, 4869.956248
2147.568566, 4869.844496
2153.255021, 4869.732744
2158.941477, 4869.620992
2164.627933, 4869.509240
2170.314389, 4869.397488
2176.000844, 4869.285736
2181.687538, 4869.445191
2187.374252, 4869.627764
2193.060966, 4869.810337
2198.747680, 4869.992910
2204.434394, 4870.175483
2210.121108, 4870.358056
2215.807822, 4870.540629
2221.494536, 4870.723202
2227.181250, 4870.905775
2232.867964, 4871.088348
2238.554906, 4870.726475
2244.241868, 4870.318194
2249.928829, 4869.909914
2255.615791, 4869.501633
2261.302752, 4869.093352
2266.989714, 4868.685071
2272.676675, 4868.276790
2278.363636, 4867.868509
2284.050598, 4867.460228
2289.737559, 4867.051947
2295.424785, 4867.195649
2301.112032, 4867.386402
2306.799280, 4867.577155
2312.486527, 4867.767907
2318.173775, 4867.958660
2323.861023, 4868.149413
2329.548270, 4868.340166
2335.235518, 4868.530918
2340.922765, 4868.721671
2346.610013, 4868.912424
2352.297520, 4868.823281
2357.985049, 4868.710281
2363.672578, 4868.597280
2369.360107, 4868.484279
2375.047636, 4868.371279
2380.735165, 4868.258278
2386.422694, 4868.145278
2392.110223, 4868.032277
2397.797752, 4867.919276
2403.485281, 4867.806276
2409.173046, 4867.965139
2414.860830, 4868.147175
2420.548614, 4868.329212
2426.236399, 4868.511248
2431.924183, 4868.693285
2437.611968, 4868.875321
2443.299752, 4869.057358
2448.987536, 4869.239395
2454.675321, 4869.421431
2460.363105, 4869.603468
2466.051116, 4869.240504
2471.739147, 4868.831085
2477.427177, 4868.421665
2483.115208, 4868.012246
2488.803238, 4867.602826
2494.491269, 4867.193407
2500.179299, 4866.783987
2505.867330, 4866.374568
2511.555361, 4865.965148
2517.243391, 4865.555729
2522.931686, 4865.699413
2528.620003, 4865.890244
2534.308320, 4866.081075
2539.996637, 4866.271906
2545.684954, 4866.462738
2551.373271, 4866.653569
2557.061589, 4866.844400
2562.749906, 4867.035231
2568.438223, 4867.226062
2574.126540, 4867.416893
2579.815119, 4867.327690
2585.503719, 4867.214616
2591.192320, 4867.101543
2596.880921, 4866.988470
2602.569522, 4866.875396
2608.258123, 4866.762323
2613.946724, 4866.649250
2619.635325, 4866.536176
2625.323925, 4866.423103
2631.012526, 4866.310030
2636.701366, 4866.469496
2642.390226, 4866.652194
2648.079086, 4866.834892
2653.767947, 4867.017590
2659.456807, 4867.200288
2665.145667, 4867.382986
2670.834527, 4867.565684
2676.523387, 4867.748382
2682.212247, 4867.931080
2687.901107, 4868.113778
2693.590199, 4867.750872
2699.279311, 4867.341458
2704.968423, 4866.932044
2710.657535, 4866.522630
2716.346646, 4866.113217
2722.035758, 4865.703803
2727.724870, 4865.294389
2733.413982, 4864.884975
2739.103093, 4864.475562
2744.792205, 4864.066148
2750.481587, 4864.210857
2756.170992, 4864.402799
2761.860397, 4864.594741
2767.549803, 4864.786683
2773.239208, 4864.978625
2778.928613, 4865.170567
2784.618018, 4865.362510
2790.307423, 4865.554452
2795.996828, 4865.746394
2801.686233, 4865.938336
2807.375907, 4865.849945
2813.065604, 4865.737658
2818.755300, 4865.625372
2824.444997, 4865.513085
2830.134693, 4865.400799
2835.824390, 4865.288512
2841.514087, 4865.176226
2847.203783, 4865.063939
2852.893480, 4864.951653
2858.583176, 4864.839366
2864.273119, 4865.000102
2869.963084, 4865.184110
2875.653048, 4865.368118
2881.343012, 4865.552127
2887.032976, 4865.736135
2892.722940, 4865.920143
2898.412904, 4866.104151
2904.102869, 4866.288159
2909.792833, 4866.472168
2915.482797, 4866.656176
2921.173001, 4866.293745
2926.863225, 4865.884736
2932.553449, 4865.475727
2938.243673, 4865.066718
2943.933898, 4864.657709
2949.624122, 4864.248700
2955.314346, 4863.839691
2961.004570, 4863.430682
2966.694794, 4863.021673
2972.385019, 4862.612664
2978.075521, 4862.758567
2983.766047, 4862.951771
2989.456573, 4863.144975
2995.147099, 4863.338179
3000.837625, 4863.531383
3006.528151, 4863.724587
3012.218677, 4863.917791
3017.909203, 4864.110995
3023.599729, 4864.304199
3029.290255, 4864.497403
3034.981057, 4864.409738
3040.671882, 4864.298131
3046.362708, 4864.186525
3052.053533, 4864.074919
3057.744358, 4863.963312
3063.435183, 4863.851706
3069.126009, 4863.740099
3074.816834, 4863.628493
3080.507659, 4863.516886
3086.198485, 4863.405280
3091.889563, 4863.566964
3097.580663, 4863.751943
3103.271763, 4863.936923
3108.962863, 4864.121902
3114.653962, 4864.306881
3120.345062, 4864.491861
3126.036162, 4864.676840
3131.727262, 4864.861819
3137.418362, 4865.046799
3143.109462, 4865.231778
3148.800807, 4864.869287
3154.492173, 4864.460130
3160.183538, 4864.050974
3165.874904, 4863.641817
3171.566270, 4863.232660
3177.257636, 4862.823503
3182.949002, 4862.414346
3188.640368, 4862.005189
3194.331734, 4861.596032
3200.023099, 4861.186875
3205.714748, 4861.333275
3211.406420, 4861.527030
3217.098092, 4861.720785
3222.789765, 4861.914541
3228.481437, 4862.108296
3234.173109, 4862.302051
3239.864782, 4862.495806
3245.556454, 4862.689562
3251.248127, 4862.883317
3256.939799, 4863.077072
3262.631750, 4862.993946
3268.323725, 4862.887218
3274.015700, 4862.780491
3279.707675, 4862.673763
3285.399650, 4862.567036
3291.091625, 4862.460308
3296.783600, 4862.353581
3302.475575, 4862.246853
3308.167551, 4862.140125
3313.859526, 4862.033398
3319.551755, 4862.195384
3325.244006, 4862.380276
3330.936257, 4862.565168
3336.628508, 4862.750060
3342.320759, 4862.934951
3348.013010, 4863.119843
3353.705261, 4863.304735
3359.397512, 4863.489626
3365.089763, 4863.674518
3370.782014, 4863.859410
3376.474509, 4863.513170
3382.167025, 4863.121657
3387.859541, 4862.730144
3393.552057, 4862.338630
3399.244573, 4861.947117
3404.937089, 4861.555604
3410.629605, 4861.164091
3416.322121, 4860.772578
3422.014637, 4860.381064
3427.707153, 4859.989551
3433.399947, 4860.136376
3439.092766, 4860.329089
3444.785584, 4860.521802
3450.478402, 4860.714515
3456.171221, 4860.907228
3461.864039, 4861.099940
3467.556857, 4861.292653
3473.249675, 4861.485366
3478.942494, 4861.678079
3484.635312, 4861.870792
3490.328404, 4861.790339
3496.021520, 4861.686601
3501.714636, 4861.582863
3507.407751, 4861.479125
3513.100867, 4861.375388
3518.793982, 4861.271650
3524.487098, 4861.167912
3530.180214, 4861.064174
3535.873329, 4860.960436
3541.566445, 4860.856699
3547.259809, 4861.017823
3552.953195, 4861.201524
3558.646581, 4861.385225
3564.339966, 4861.568926
3570.033352, 4861.752627
3575.726738, 4861.936328
3581.420123, 4862.120029
3587.113509, 4862.303730
3592.806895, 4862.487431
3598.500280, 4862.671132
3604.193905, 4862.323007
3609.887550, 4861.929550
3615.581194, 4861.536092
3621.274839, 4861.142635
3626.968484, 4860.749178
3632.662129, 4860.355720
3638.355774, 4859.962263
3644.049419, 4859.568806
3649.743064, 4859.175348
3655.436709, 4858.781891
3661.130628, 4858.927783
3666.824570, 4859.119649
3672.518513, 4859.311515
3678.212455, 4859.503381
3683.906398, 4859.695247
3689.600340, 4859.887113
3695.294282, 4860.078979
3700.988225, 4860.270845
3706.682167, 4860.462711
3712.376110, 4860.654577
3718.070323, 4860.573100
3723.764560, 4860.468323
3729.458796, 4860.363546
3735.153032, 4860.258769
3740.847269, 4860.153992
3746.541505, 4860.049215
3752.235742, 4859.944438
3757.929978, 4859.839661
3763.624214, 4859.734884
3769.318451, 4859.630107
3775.012934, 4859.790873
3780.707439, 4859.974273
3786.401944, 4860.157673
3792.096448, 4860.341073
3797.790953, 4860.524473
3803.485458, 4860.707873
3809.179962, 4860.891273
3814.874467, 4861.074673
3820.568972, 4861.258073
3826.263476, 4861.441473
3831.958220, 4861.092522
3837.652983, 4860.698193
3843.347747, 4860.303865
3849.042511, 4859.909536
3854.737275, 4859.515208
3860.432039, 4859.120879
3866.126802, 4858.726551
3871.821566, 4858.332222
3877.516330, 4857.937893
3883.211094, 4857.543565
3888.906133, 4857.689698
3894.601197, 4857.881901
3900.296260, 4858.074103
3905.991323, 4858.266306
3911.686386, 4858.458508
3917.381450, 4858.650710
3923.076513, 4858.842913
3928.771576, 4859.035115
3934.466639, 4859.227318
3940.161702, 4859.419520
3945.857040, 4859.338236
3951.552401, 4859.233640
3957.247761, 4859.129044
3962.943122, 4859.024448
3968.638483, 4858.919852
3974.333844, 4858.815256
3980.029204, 4858.710660
3985.724565, 4858.606063
3991.419926, 4858.501467
3997.115287, 4858.396871
4002.810899, 4858.558466
4008.506533, 4858.742751
4014.202168, 4858.927036
4019.897802, 4859.111321
4025.593436, 4859.295605
4031.289070, 4859.479890
4036.984704, 4859.664175
4042.680338, 4859.848460
4048.375972, 4860.032745
4054.071607, 4860.217029
4059.767449, 4859.851803
4065.463308, 4859.439736
4071.159168, 4859.027668
4076.855028, 4858.615601
4082.550888, 4858.203534
4088.246747, 4857.791467
4093.942607, 4857.379400
