Time, Speed
   0.000000,    0.000305
   0.001667,    0.304553
   0.003333,    0.607467
   0.005000,    0.910178
   0.006667,    1.212889
   0.008333,    1.515601
   0.010000,    1.818312
   0.011667,    2.121023
   0.013333,    2.423735
   0.015000,    2.726446
   0.016667,    3.029157
   0.018333,    3.331869
   0.020000,    3.631562
   0.021667,    3.930878
   0.023333,    4.230195
   0.025000,    4.529511
   0.026667,    4.828828
   0.028333,    5.128144
   0.030000,    5.427460
   0.031667,    5.726777
   0.033333,    6.026093
   0.035000,    6.325409
   0.036667,    6.621607
   0.038333,    6.917415
   0.040000,    7.213223
   0.041667,    7.509030
   0.043333,    7.804838
   0.045000,    8.100646
   0.046667,    8.396454
   0.048333,    8.692262
   0.050000,    8.988070
   0.051667,    9.283878
   0.053333,    9.576472
   0.055000,    9.868664
   0.056667,   10.160857
   0.058333,   10.453049
   0.060000,   10.745242
   0.061667,   11.037434
   0.063333,   11.329627
   0.065000,   11.621819
   0.066667,   11.914012
   0.068333,   12.206204
   0.070000,   12.495094
   0.071667,   12.783571
   0.073333,   13.072048
   0.075000,   13.360525
   0.076667,   13.649002
   0.078333,   13.937479
   0.080000,   14.225956
   0.081667,   14.514433
   0.083333,   14.802910
   0.085000,   15.091387
   0.086667,   15.376434
   0.088333,   15.661052
   0.090000,   15.945671
   0.091667,   16.230290
   0.093333,   16.514909
   0.095000,   16.799527
   0.096667,   17.084146
   0.098333,   17.368765
   0.100000,   17.653384
   0.101667,   17.938002
   0.103333,   18.218170
   0.105000,   18.497781
   0.106667,   18.777393
   0.108333,   19.057005
   0.110000,   19.336616
   0.111667,   19.616228
   0.113333,   19.895840
   0.115000,   20.175451
   0.116667,   20.455063
   0.118333,   20.734675
   0.120000,   21.009556
   0.121667,   21.283847
   0.123333,   21.558138
   0.125000,   21.832429
   0.126667,   22.106719
   0.128333,   22.381010
   0.130000,   22.655301
   0.131667,   22.929592
   0.133333,   23.203883
   0.135000,   23.478174
   0.136667,   23.747712
   0.138333,   24.016657
   0.140000,   24.285602
   0.141667,   24.554547
   0.143333,   24.823492
   0.145000,   25.092437
   0.146667,   25.361382
   0.148333,   25.630327
   0.150000,   25.899272
   0.151667,   26.168217
   0.153333,   26.432394
   0.155000,   26.695976
   0.156667,   26.959557
   0.158333,   27.223139
   0.160000,   27.486721
   0.161667,   27.750303
   0.163333,   28.013885
   0.165000,   28.277466
   0.166667,   28.541048
   0.168333,   28.804630
   0.170000,   29.063435
   0.171667,   29.321644
   0.173333,   29.579853
   0.175000,   29.838062
   0.176667,   30.096271
   0.178333,   30.354481
   0.180000,   30.612690
   0.181667,   30.870899
   0.183333,   31.129108
   0.185000,   31.387317
   0.186667,   31.640747
   0.188333,   31.893581
   0.190000,   32.146415
   0.191667,   32.399249
   0.193333,   32.652083
   0.195000,   32.904917
   0.196667,   33.157750
   0.198333,   33.410584
   0.200000,   33.663418
   0.201667,   33.916252
   0.203333,   34.163636
   0.205000,   34.410339
   0.206667,   34.657042
   0.208333,   34.903745
   0.210000,   35.150449
   0.211667,   35.397152
   0.213333,   35.643855
   0.215000,   35.890558
   0.216667,   36.137262
   0.218333,   36.383965
   0.220000,   36.624513
   0.221667,   36.864293
   0.223333,   37.104072
   0.225000,   37.343852
   0.226667,   37.583632
   0.228333,   37.823411
   0.230000,   38.063191
   0.231667,   38.302971
   0.233333,   38.542750
   0.235000,   38.782530
   0.236667,   39.016238
   0.238333,   39.249188
   0.240000,   39.482139
   0.241667,   39.715089
   0.243333,   39.948039
   0.245000,   40.180989
   0.246667,   40.413940
   0.248333,   40.646890
   0.250000,   40.879840
   0.251667,   41.112790
   0.253333,   41.339762
   0.255000,   41.565987
   0.256667,   41.792212
   0.258333,   42.018437
   0.260000,   42.244662
   0.261667,   42.470887
   0.263333,   42.697112
   0.265000,   42.923337
   0.266667,   43.149562
   0.268333,   43.375787
   0.270000,   43.596130
   0.271667,   43.815739
   0.273333,   44.035348
   0.275000,   44.254957
   0.276667,   44.474566
   0.278333,   44.694175
   0.280000,   44.913783
   0.281667,   45.133392
   0.283333,   45.353001
   0.285000,   45.572610
   0.286667,   45.786438
   0.288333,   45.999544
   0.290000,   46.212649
   0.291667,   46.425755
   0.293333,   46.638861
   0.295000,   46.851967
   0.296667,   47.065073
   0.298333,   47.278179
   0.300000,   47.491285
   0.301667,   47.704391
   0.303333,   47.911819
   0.305000,   48.118539
   0.306667,   48.325259
   0.308333,   48.531979
   0.310000,   48.738699
   0.311667,   48.945419
   0.313333,   49.152139
   0.315000,   49.358859
   0.316667,   49.565579
   0.318333,   49.772299
   0.320000,   49.973452
   0.321667,   50.173909
   0.323333,   50.374367
   0.325000,   50.574825
   0.326667,   50.775282
   0.328333,   50.975740
   0.330000,   51.176197
   0.331667,   51.376655
   0.333333,   51.577112
   0.335000,   51.777570
   0.336667,   51.972624
   0.338333,   52.167003
   0.340000,   52.361382
   0.341667,   52.555762
   0.343333,   52.750141
   0.345000,   52.944521
   0.346667,   53.138900
   0.348333,   53.333279
   0.350000,   53.527659
   0.351667,   53.722038
   0.353333,   53.913130
   0.355000,   54.103812
   0.355811,   54.196636
   0.357478,   54.384370
   0.359145,   54.572105
   0.360811,   54.759839
   0.362478,   54.947574
   0.364145,   55.135308
   0.365811,   55.323043
   0.367478,   55.510777
   0.369145,   55.695708
   0.370811,   55.875982
   0.372478,   56.056257
   0.374145,   56.236531
   0.375811,   56.416806
   0.377478,   56.597080
   0.379145,   56.777355
   0.380811,   56.957629
   0.382478,   57.137903
   0.384145,   57.318178
   0.385811,   57.494620
   0.387478,   57.664695
   0.389145,   57.834771
   0.390811,   58.004846
   0.392478,   58.174922
   0.394145,   58.344998
   0.395811,   58.515073
   0.397478,   58.685149
   0.399145,   58.855224
   0.400811,   59.025300
   0.402478,   59.191087
   0.404145,   59.349750
   0.405811,   59.508412
   0.407478,   59.667075
   0.409145,   59.825738
   0.410811,   59.984401
   0.412478,   60.143064
   0.414145,   60.301727
   0.415811,   60.460389
   0.417478,   60.619052
   0.418518,   60.718090
   0.420185,   60.803048
   0.421852,   60.888006
   0.423518,   60.972964
   0.425185,   61.057922
   0.426852,   61.142881
   0.428518,   61.227839
   0.430185,   61.312797
   0.431852,   61.397755
   0.433518,   61.482713
   0.435185,   61.567671
   0.436852,   61.599734
   0.438518,   61.631798
   0.440185,   61.663861
   0.441852,   61.695924
   0.443518,   61.727987
   0.445185,   61.732344
   0.446852,   61.736701
   0.448518,   61.741058
   0.450185,   61.745415
   0.451852,   61.749772
   0.453518,   61.725765
   0.455185,   61.701758
   0.456852,   61.677751
   0.458518,   61.653745
   0.460185,   61.629738
   0.460185,   87.503763
   1.655097,   89.967214
   2.874522,   92.533500
   4.133302,   95.208356
   5.482632,   97.997918
   6.969219,  100.908760
   8.614908,  103.947929
  10.453102,  107.122990
  12.542548,  110.442068
  15.027550,  113.913899
  15.027550,  134.318207
  15.858972,  134.318207
  16.690395,  134.318207
  17.521817,  134.318207
  18.353239,  134.318207
  19.184662,  134.318207
  20.016084,  134.318207
  20.847506,  134.318207
  21.678929,  134.318207
  22.510351,  134.318207
  23.341773,  134.318207
  24.173196,  134.318207
  25.004618,  134.318207
  25.836040,  134.318207
  26.667463,  134.318207
  27.498885,  134.318207
  28.330307,  134.318207
  29.161730,  134.318207
  29.993152,  134.318207
  30.824574,  134.318207
  31.655997,  134.318207
  32.487419,  134.318207
  33.318841,  134.318207
  34.150264,  134.318207
  34.981686,  134.318207
  35.813108,  134.318207
  36.644531,  134.318207
  37.475953,  134.318207
  38.307375,  134.318207
  39.138798,  134.318207
  39.138798,  147.417988
  40.298666,  143.305049
  41.461312,  139.357963
  42.622520,  135.568025
  43.778533,  131.927090
  44.927113,  128.427532
  46.063949,  125.062203
  47.184952,  121.824398
  48.302137,  118.707823
  49.411806,  115.706566
  49.411806,   89.409619
  49.990878,   90.670642
  50.575571,   91.957865
  51.165723,   93.272009
  51.764106,   94.613823
  52.381498,   95.984080
  53.027216,   97.383579
  53.704269,   98.813148
  54.414975,  100.273646
  55.161144,  101.765960
  55.161144,   85.133242
  57.014269,   85.096058
  58.868203,   85.058873
  60.722949,   85.021685
  62.578505,   84.984496
  64.434873,   84.947305
  66.292054,   84.910112
  68.150049,   84.872917
  70.008858,   84.835721
  71.868482,   84.798523
  71.868482,  131.697125
  72.514813,  129.765895
  73.150956,  127.875839
  73.789636,  126.025808
  74.430995,  124.214692
  75.075175,  122.441419
  75.721967,  120.704953
  76.371231,  119.004296
  77.022507,  117.338478
  77.674878,  115.706566
  77.674878,   85.133242
  82.674878,   85.096058
  87.674878,   85.058873
  92.674878,   85.021685
  97.674878,   84.984496
 102.674878,   84.947305
 107.674878,   84.910112
 112.674878,   84.872917
 117.674878,   84.835721
 122.674878,   84.798523
 122.674878,   55.338771
 122.676545,   55.339460
 122.678211,   55.340209
 122.679878,   55.340958
 122.681545,   55.342385
 122.683211,   55.343940
 122.684878,   55.345494
 122.686545,   55.347049
 122.688211,   55.348603
 122.689878,   55.350158
 122.691545,   55.351712
 122.693211,   55.353267
 122.694878,   55.354821
 122.696545,   55.356376
 122.698211,   55.359115
 122.699878,   55.362075
 122.701545,   55.365036
 122.703211,   55.367996
 122.704878,   55.370957
 122.706545,   55.373917
