Ground Distance, Angles
   0.000000,    5.017462
  99.981941,    1.428127
 199.991276,    1.415927
 300.025905,    1.419488
 400.099176,    1.390645
 500.194739,    1.370926
 600.319184,    1.374552
 700.486022,    1.341172
 800.677652,    1.326441
 900.898315,    1.323647
1001.155578,    1.288443
1101.447757,    1.262782
1201.770694,    1.251057
1302.126314,    1.251047
1402.520492,    1.229137
1502.951866,    1.193982
1603.418128,    1.171646
1703.921259,    1.158794
1804.463261,    1.134257
1905.045964,    1.109452
2005.670902,    1.093984
2106.342002,    1.081886
2207.050824,    1.063237
2307.784696,    1.042606
2408.573669,    1.035511
2509.396875,    1.021036
2610.254395,    0.999164
2711.152868,    0.983169
2812.086007,    0.972150
2913.061439,    0.954204
3014.072673,    0.930395
3115.126282,    0.915319
3216.215763,    0.907637
3317.351588,    0.896058
3418.517061,    0.881986
3519.729902,    0.863416
3620.971958,    0.842072
3722.261023,    0.827064
3823.579083,    0.815964
3924.945126,    0.796902
4026.340765,    0.772930
4127.785332,    0.759126
4229.260079,    0.751593
4330.782550,    0.739946
4432.334457,    0.725763
4533.933718,    0.713177
4635.562186,    0.701576
4737.236637,    0.690055
4838.939448,    0.678584
4940.687101,    0.667077
5042.462410,    0.655550
5144.281479,    0.640616
5246.127537,    0.623582
5348.016543,    0.612595
5449.932038,    0.605337
5551.889591,    0.592301
5653.873085,    0.575701
5755.897091,    0.560433
5857.946084,    0.545986
5960.039385,    0.536430
6062.153520,    0.529172
6164.311460,    0.521715
6266.489997,    0.514163
6368.712409,    0.495244
6470.955451,    0.470980
6573.244862,    0.459096
6675.556075,    0.453034
6777.912788,    0.439475
6880.290896,    0.422392
6982.714119,    0.406853
7085.158555,    0.392042
7187.649130,    0.369703
7290.161400,    0.343826
7392.731211,    0.333932
7495.312442,    0.327210
7597.955755,    0.311646
7700.607679,    0.294855
7803.320431,    0.286470
7906.041622,    0.279252
8008.823390,    0.257483
8111.613561,    0.233696
8214.466158,    0.216908
8317.327415,    0.201090
8420.255165,    0.192348
8523.197630,    0.181862
8626.195557,    0.162035
8729.208592,    0.144814
8832.277674,    0.137263
8935.360680,    0.129516
9038.495340,    0.121042
9141.659743,    0.108546
9244.856919,    0.091619
9348.089052,    0.081936
9451.349453,    0.078110
9554.653659,    0.063608
9657.978326,    0.044118
9761.348819,    0.027583
9864.740718,    0.012427
9968.178565,    0.002121
10071.637874,   -0.005921
10175.151162,   -0.020826
10278.674629,   -0.037025
10382.251862,   -0.042719
10485.839234,   -0.046431
10589.484158,   -0.061429
10693.134595,   -0.077508
10796.841298,   -0.084489
10900.553390,   -0.090599
11004.326440,   -0.106747
11108.100384,   -0.123042
11211.933710,   -0.135064
11315.771622,   -0.147211
11419.667949,   -0.162311
11523.568097,   -0.177220
11627.528303,   -0.189134
11731.502779,   -0.203714
11835.526912,   -0.227571
11939.566184,   -0.247484
12043.658133,   -0.253672
12147.771165,   -0.264068
12251.930177,   -0.283641
12356.110895,   -0.301879
12460.338955,   -0.317207
12564.588879,   -0.331395
12668.886489,   -0.343099
12773.216642,   -0.356890
12877.582317,   -0.372961
12981.980096,   -0.383030
13086.412915,   -0.386547
13190.882239,   -0.397581
13295.381075,   -0.414690
13399.916979,   -0.430891
13504.482851,   -0.446357
13609.085708,   -0.457417
13713.718467,   -0.464915
13818.396653,   -0.485334
13923.092605,   -0.510805
14027.844910,   -0.521188
14132.608581,   -0.528527
14237.430583,   -0.542508
14342.262532,   -0.557621
14447.153435,   -0.566697
14552.055743,   -0.574912
14657.022398,   -0.591234
14761.990516,   -0.607456
14867.023272,   -0.619279
14972.062804,   -0.630689
15077.162049,   -0.638461
15182.268045,   -0.646169
15287.433528,   -0.653312
15392.605550,   -0.661343
15497.835204,   -0.677196
15603.070944,   -0.692261
15708.360316,   -0.700386
15813.662978,   -0.709235
15919.012158,   -0.720619
16024.375361,   -0.732845
16129.787648,   -0.748019
16235.213797,   -0.761529
16340.688464,   -0.769214
16446.186112,   -0.778412
16551.719208,   -0.789942
16657.281823,   -0.799862
16762.872051,   -0.808276
16868.507027,   -0.821805
16974.153593,   -0.836660
17079.854857,   -0.853675
17185.562637,   -0.870888
17291.326880,   -0.879367
17397.101231,   -0.888399
17502.924101,   -0.900094
17608.757792,   -0.913328
17714.643427,   -0.933956
17820.539904,   -0.952272
17926.488425,   -0.959492
18032.454791,   -0.967239
18138.458950,   -0.976101
18244.495105,   -0.986591
18350.557418,   -0.998410
18456.654094,   -1.005491
18562.778678,   -1.008723
18668.936524,   -1.018899
18775.121383,   -1.034714
18881.336962,   -1.045491
18987.577490,   -1.052177
19093.852664,   -1.057250
19200.144268,   -1.061560
19306.479594,   -1.071261
19412.838848,   -1.082784
19519.221699,   -1.095918
19625.647101,   -1.107424
19732.082706,   -1.118541
19838.564684,   -1.126322
19945.057781,   -1.133303
20051.595225,   -1.140111
20158.143303,   -1.146879
20264.734116,   -1.153615
20371.335174,   -1.160344
20477.977388,   -1.167179
20584.629470,   -1.174039
20691.321651,   -1.184076
20798.023447,   -1.194874
20904.766105,   -1.205794
21011.518561,   -1.216743
21118.312236,   -1.227791
21225.115793,   -1.238862
21331.960974,   -1.250005
21438.816135,   -1.261165
21545.713353,   -1.272368
21652.620654,   -1.283580
21759.570457,   -1.294805
21866.530452,   -1.306033
21973.533390,   -1.317245
22080.546624,   -1.328452
22187.603223,   -1.339615
22294.670219,   -1.350768
22401.780967,   -1.361852
22508.902204,   -1.372921
22616.067532,   -1.383901
22723.243431,   -1.394860
22830.463703,   -1.405715
22937.694615,   -1.416546
23044.970116,   -1.427263
23152.256308,   -1.437954
23259.586821,   -1.445555
23366.927962,   -1.452414
23474.311854,   -1.462354
23581.705997,   -1.473033
23689.143554,   -1.483716
23796.591521,   -1.494400
23904.083095,   -1.505080
24011.585125,   -1.515760
24119.130922,   -1.526429
24226.687214,   -1.537096
24334.287387,   -1.547752
24441.898081,   -1.558404
24549.552763,   -1.569043
24657.217991,   -1.579679
24764.927302,   -1.590301
24872.647183,   -1.600920
24980.410827,   -1.608531
25088.184963,   -1.615421
25196.001284,   -1.625512
25303.827720,   -1.636371
25411.697030,   -1.647333
25519.576619,   -1.658320
25627.499377,   -1.669392
25735.432485,   -1.680485
25843.409095,   -1.691644
25951.396136,   -1.702817
26059.427043,   -1.714034
26167.468467,   -1.725261
26275.554133,   -1.736506
26383.650408,   -1.747757
26491.791303,   -1.759003
26599.942897,   -1.770249
26708.139480,   -1.781468
26816.346849,   -1.792681
26924.599550,   -1.803847
27032.863120,   -1.815003
27141.172332,   -1.826095
