Time, Horizontal Forces
   0.000000,  -65.587389
   0.500000,    3.001048
   1.000000,   23.363586
   1.500000,   42.930434
   2.000000,   62.450730
   2.500000,   81.753736
   3.000000,  101.453543
   3.500000,  123.005436
   4.000000,  144.246207
   4.500000,  164.034798
   5.000000,  183.959151
   5.500000,  204.517183
   6.000000,  224.826698
   6.500000,  243.976251
   7.000000,  262.770066
   7.500000,  279.903451
   8.000000,  296.893300
   8.500000,  313.213189
   9.000000,  329.511962
   9.500000,  345.712176
  10.000000,  363.170345
  10.500000,  386.500083
  11.000000,  408.749817
  11.500000,  425.958579
  12.000000,  443.552120
  12.500000,  462.137718
  13.000000,  480.278731
  13.500000,  497.273487
  14.000000,  513.293343
  14.500000,  526.799659
  15.000000,  540.215056
  15.500000,  553.396044
  16.000000,  566.647501
  16.500000,  580.080646
  17.000000,  593.773121
  17.500000,  608.134214
  18.000000,  623.801312
  18.500000,  642.835622
  19.000000,  661.776323
  19.500000,  680.475676
  20.000000,  697.366593
  20.500000,  711.546640
  21.000000,  726.815428
  21.500000,  742.822654
  22.000000,  758.261863
  22.500000,  773.315813
  23.000000,  788.253899
  23.500000,  803.113400
  24.000000,  814.690038
  24.500000,  824.040072
  25.000000,  835.828435
  25.500000,  849.270595
  26.000000,  862.511869
  26.500000,  875.616891
  27.000000,  887.219895
  27.500000,  897.804154
  28.000000,  908.578077
  28.500000,  919.480640
  29.000000,  929.613306
  29.500000,  939.223788
  30.000000,  947.306780
  30.500000,  954.353752
  31.000000,  958.811161
  31.500000,  961.512198
  32.000000,  966.039257
  32.500000,  971.804817
  33.000000,  977.325278
  33.500000,  982.679500
  34.000000,  985.203576
  34.500000,  985.808106
  35.000000,  985.764690
  35.500000,  985.281805
  36.000000,  986.905649
  36.500000,  989.958383
  37.000000,  993.140394
  37.500000,  996.410088
  38.000000,  999.227487
  38.500000, 1001.738116
  39.000000, 1002.112616
  39.500000, 1001.038287
  40.000000, 1001.469546
  40.500000, 1002.921972
  41.000000, 1004.086526
  41.500000, 1005.055832
  42.000000, 1007.814217
  42.500000, 1011.786045
  43.000000, 1015.015433
  43.500000, 1017.741260
  44.000000, 1016.418472
  44.500000, 1013.059134
  45.000000, 1012.761707
  45.500000, 1014.004495
  46.000000, 1013.515453
  46.500000, 1012.155259
  47.000000, 1011.670202
  47.500000, 1011.625360
  48.000000, 1007.329691
  48.500000, 1000.895757
  49.000000,  994.780979
  49.500000,  988.826745
  50.000000,  982.258412
  50.500000,  975.381174
  51.000000,  971.508147
  51.500000,  969.146310
  52.000000,  962.403752
  52.500000,  953.457585
  53.000000,  943.868228
  53.500000,  933.955331
  54.000000,  925.581787
  54.500000,  917.982574
  55.000000,  910.250106
  55.500000,  902.450606
  56.000000,  892.857750
  56.500000,  882.362792
  57.000000,  871.768816
  57.500000,  861.125032
  58.000000,  850.824382
  58.500000,  840.696336
  59.000000,  832.438388
  59.500000,  825.121142
  60.000000,  815.556895
  60.500000,  804.862351
  61.000000,  798.991323
  61.500000,  795.546637
  62.000000,  786.919618
  62.500000,  775.685762
  63.000000,  763.466293
  63.500000,  750.918189
  64.000000,  738.056379
  64.500000,  725.089969
  65.000000,  712.297289
  65.500000,  699.562535
  66.000000,  687.423502
  66.500000,  675.483101
  67.000000,  666.959058
  67.500000,  659.574137
  68.000000,  653.281214
  68.500000,  647.352398
  69.000000,  636.790198
  69.500000,  624.683081
  70.000000,  616.469871
  70.500000,  609.555013
  71.000000,  598.704829
  71.500000,  586.542483
  72.000000,  580.638242
  72.500000,  576.820652
  73.000000,  567.836074
  73.500000,  557.128658
  74.000000,  552.500225
  74.500000,  548.721532
  75.000000,  539.137568
  75.500000,  528.738122
  76.000000,  517.767130
  76.500000,  506.817590
  77.000000,  498.931992
  77.500000,  491.046158
  78.000000,  483.126471
  78.500000,  475.185971
  79.000000,  464.272827
  79.500000,  453.365941
  80.000000,  443.353084
  80.500000,  433.334406
  81.000000,  422.484425
  81.500000,  411.638276
  82.000000,  401.339364
  82.500000,  391.042308
  83.000000,  381.010318
  83.500000,  370.972251
  84.000000,  360.066054
  84.500000,  349.153785
  85.000000,  337.374080
  85.500000,  325.614330
  86.000000,  316.704712
  86.500000,  307.773946
  87.000000,  295.822662
  87.500000,  283.879197
  88.000000,  273.052607
  88.500000,  262.236506
  89.000000,  252.918644
  89.500000,  243.606910
  90.000000,  235.170439
  90.500000,  226.736821
  91.000000,  218.710717
  91.500000,  210.662740
  92.000000,  199.490755
  92.500000,  188.348036
  93.000000,  181.385646
  93.500000,  174.405509
  94.000000,  164.890399
  94.500000,  155.375516
  95.000000,  145.893177
  95.500000,  136.412769
  96.000000,  127.208220
  96.500000,  117.999633
  97.000000,  108.214139
  97.500000,   98.463136
  98.000000,   93.638517
  98.500000,   88.782734
  99.000000,   79.475793
  99.500000,   70.161801
 100.000000,   59.840569
 100.500000,   49.535827
 101.000000,   41.586394
 101.500000,   33.629894
 102.000000,   24.663960
 102.500000,   15.695868
 103.000000,    6.419496
 103.500000,   -2.854901
 104.000000,  -11.847094
 104.500000,  -20.845262
 105.000000,  -30.696860
 105.500000,  -40.528828
 106.000000,  -47.556817
 106.500000,  -54.591882
 107.000000,  -62.637438
 107.500000,  -70.683098
 108.000000,  -78.743645
 108.500000,  -86.802290
 109.000000,  -94.589322
 109.500000, -102.372603
 110.000000, -109.619957
 110.500000, -116.861922
 111.000000, -123.334219
 111.500000, -129.799753
 112.000000, -135.299404
 112.500000, -140.799564
 113.000000, -146.372279
 113.500000, -151.945853
 114.000000, -157.642152
 114.500000, -163.336049
 115.000000, -168.687057
 115.500000, -174.036204
 116.000000, -179.119744
 116.500000, -184.206310
 117.000000, -189.725232
 117.500000, -195.250215
 118.000000, -201.640992
