Time, Horizontal Forces
   0.000000, 16631.983239
   0.500000, 16548.643939
   1.000000, 16465.401831
   1.500000, 16382.893223
   2.000000, 16300.594158
   2.500000, 16219.049609
   3.000000, 16137.720607
   3.500000, 16057.165854
   4.000000, 15976.832286
   4.500000, 15897.291410
   5.000000, 15817.976988
   5.500000, 15727.488060
   6.000000, 15633.806827
   6.500000, 15525.584665
   7.000000, 15413.208487
   7.500000, 15302.487787
   8.000000, 15192.240019
   8.500000, 15083.652104
   9.000000, 14975.538372
   9.500000, 14869.086710
  10.000000, 14763.109863
  10.500000, 14658.795227
  11.000000, 14554.955446
  11.500000, 14447.064263
  12.000000, 14338.015684
  12.500000, 14204.259236
  13.000000, 14063.444305
  13.500000, 13925.679405
  14.000000, 13788.785830
  14.500000, 13654.895800
  15.000000, 13521.863815
  15.500000, 13391.786949
  16.000000, 13262.554294
  16.500000, 13136.226610
  17.000000, 13010.728811
  17.500000, 12888.084316
  18.000000, 12766.254947
  18.500000, 12647.225900
  19.000000, 12528.996841
  19.500000, 12414.720005
  20.000000, 12301.572229
  20.500000, 12191.399994
  21.000000, 12082.077804
  21.500000, 11975.312469
  22.000000, 11869.277570
  22.224789, 11822.016728
  22.724789, 11719.175081
  23.224789, 11614.417866
  23.724789, 11503.151616
  24.224789, 11389.045219
  24.724789, 11265.288099
  25.224789, 11141.213392
  25.724789, 11016.059540
  26.111100, 10919.362904
  26.611100, 10791.234381
  26.707482, 10766.535859
  27.207482, 10742.639214
  27.707482, 10742.673040
  28.196666, 10744.922654
  28.493379, 10907.473236
  28.993379, 10922.149471
  29.493379, 10928.093460
  29.993379, 10930.659698
  30.493379, 10931.185622
  30.993379, 10930.765727
  31.493379, 10930.081865
  31.759212, 10929.718278
  32.259212, 10928.693169
  32.759212, 10927.694413
  33.259212, 10926.746833
  33.759212, 10925.817557
  34.259212, 10924.899058
  34.759212, 10924.134729
  35.259212, 10923.431481
  35.759212, 10922.487653
  36.259212, 10921.448511
  36.759212, 10920.538002
  37.259212, 10919.651143
  37.759212, 10918.771348
  38.259212, 10917.891837
  38.759212, 10916.897885
  39.259212, 10915.899314
  39.759212, 10914.976728
  40.259212, 10914.057208
  40.493379, 10913.473650
  40.993379, 10912.866450
  41.493379, 10912.010133
  41.993379, 10910.989725
  42.493379, 10910.052885
  42.993379, 10909.171088
  43.493379, 10908.218380
  43.993379, 10907.218963
  44.493379, 10906.269127
  44.993379, 10905.351949
  45.493379, 10904.456601
  45.993379, 10903.575633
  46.493379, 10902.696704
  46.993379, 10901.818367
  47.493379, 10900.941993
