Ground Distance, Acceleration
   0.000000, 33063.679743
   0.050435, 33030.924748
   0.553755, 32997.573828
   1.112915, 32964.153478
   1.672075, 32930.733128
   2.231236, 32897.312778
   2.790396, 32863.892428
   3.349556, 32830.472078
   3.908716, 32797.051728
   4.467876, 32763.631378
   5.027037, 32730.211028
   5.586197, 32696.790678
   6.952672, 32662.394372
   8.419948, 32627.876208
   9.887224, 32593.358045
  11.354500, 32558.839882
  12.821776, 32524.321718
  14.289052, 32489.803555
  15.756328, 32455.285391
  17.223604, 32420.767228
  18.690880, 32386.249065
  20.158155, 32351.730901
  22.424223, 32316.287455
  24.790028, 32280.728478
  27.155833, 32245.169501
  29.521637, 32209.610525
  31.887442, 32174.051548
  34.253246, 32138.492571
  36.619051, 32102.933594
  38.984856, 32067.374618
  41.350660, 32031.815641
  43.716465, 31996.256664
  46.872282, 31959.823710
  50.126739, 31923.281633
  53.381196, 31886.739555
  56.635653, 31850.197477
  59.890110, 31813.655399
  63.144567, 31777.113321
  66.399024, 31740.571243
  69.653481, 31704.029165
  72.907939, 31667.487087
  76.162396, 31630.945009
  80.197842, 31593.580729
  84.330803, 31556.113790
  88.463763, 31518.646850
  92.596723, 31481.179911
  96.729684, 31443.712971
 100.862644, 31406.246032
 104.995605, 31368.779092
 109.128565, 31331.312153
 113.261525, 31293.845213
 117.394486, 31256.378274
 122.299185, 31218.141219
 127.300242, 31179.808007
 132.301300, 31141.474796
 137.302357, 31103.141584
 142.303415, 31064.808373
 147.304472, 31026.475161
 152.305530, 30988.141950
 157.306588, 30949.808738
 162.307645, 30911.475527
 167.308703, 30873.142315
 173.071710, 30824.980725
 178.929855, 30775.591969
 184.787999, 30726.203213
 190.646143, 30676.814457
 196.504288, 30627.425702
 202.362432, 30578.036946
 208.220577, 30528.648190
 214.078721, 30479.259434
 219.936865, 30429.870679
 225.795010, 30380.481923
 232.402935, 30326.396178
 239.104478, 30271.723970
 245.806021, 30217.051762
 252.507563, 30162.379554
 259.209106, 30107.707346
 265.910649, 30053.035138
 272.612191, 29998.362929
 279.313734, 29943.690721
 286.015277, 29889.018513
 292.716819, 29834.346305
 300.154950, 29780.556318
 307.685050, 29726.876484
 315.215150, 29673.196650
 322.745251, 29619.516816
 330.275351, 29565.836982
 337.805451, 29512.157148
 345.335551, 29458.477314
 352.865652, 29404.797480
 360.395752, 29351.117647
 367.925852, 29297.437813
 376.179286, 29243.599716
 384.523034, 29189.741859
 392.866782, 29135.884002
 401.210531, 29082.026144
 409.554279, 29028.168287
 417.898027, 28974.310430
 426.241776, 28920.452573
 434.585524, 28866.594715
 442.929272, 28812.736858
 451.273021, 28758.879001
 460.326804, 28704.921824
 469.469241, 28650.952246
 478.611679, 28596.982668
 487.754116, 28543.013091
 496.896553, 28489.043513
 506.038991, 28435.073935
 515.181428, 28381.104357
 524.323866, 28327.134779
 533.466303, 28273.165201
 542.608741, 28219.195624
 552.447887, 28165.183690
 562.374023, 28111.166468
 572.300160, 28057.149246
 582.226296, 28003.132024
 592.152432, 27949.114802
 602.078569, 27895.097580
 612.004705, 27841.080358
 621.930842, 27787.063136
 631.856978, 27733.045914
 641.783115, 27679.028692
 652.392622, 27625.024022
 663.087454, 27571.020919
 673.782286, 27517.017816
 684.477118, 27463.014713
 695.171951, 27409.011610
 705.866783, 27355.008507
 716.561615, 27301.005404
 727.256447, 27247.002301
 737.951279, 27192.999198
 748.646111, 27138.996095
 760.010509, 27073.287005
 771.458508, 27006.116314
 782.906507, 26938.945622
 794.354507, 26871.774930
 805.802506, 26804.604239
 817.250505, 26737.433547
 828.698504, 26670.262856
 840.146503, 26603.092164
 851.594502, 26535.921472
 863.042502, 26468.750781
 875.143722, 26398.848540
 887.326504, 26328.605241
 899.509285, 26258.361941
 911.692067, 26188.118641
 923.874848, 26117.875341
 936.057630, 26047.632042
 948.240411, 25977.388742
 960.423192, 25907.145442
 972.605974, 25836.902143
 984.788755, 25766.658843
 997.607657, 25698.124070
1010.505984, 25629.802623
1023.404311, 25561.481177
1036.302638, 25493.159730
1049.200965, 25424.838283
1062.099292, 25356.516836
1074.997619, 25288.195389
1087.895946, 25219.873942
1100.794273, 25151.552496
1113.692600, 25083.231049
1127.210176, 25015.781278
1140.805072, 24948.440344
1154.399967, 24881.099410
1167.994863, 24813.758477
1181.589758, 24746.417543
1195.184654, 24679.076609
1208.779549, 24611.735675
1222.374445, 24544.394741
1235.969340, 24477.053808
1249.564236, 24409.712874
1263.761752, 24343.279704
1278.034511, 24276.959878
1292.307270, 24210.640051
1306.580029, 24144.320224
1320.852788, 24078.000398
1335.125548, 24011.680571
1349.398307, 23945.360744
1363.671066, 23879.040918
1377.943825, 23812.721091
1392.216584, 23746.401264
1407.075587, 23681.021539
1422.007788, 23615.759195
1436.939990, 23550.496851
1451.872191, 23485.234506
1466.804392, 23419.972162
1481.736594, 23354.709818
1496.668795, 23289.447473
1511.600996, 23224.185129
1526.533198, 23158.922785
1541.465399, 23093.660440
1556.967729, 23029.366916
1572.541245, 22965.194358
1588.114761, 22901.021800
1603.688277, 22836.849241
1619.261793, 22772.676683
1634.835308, 22708.504125
1650.408824, 22644.331567
1665.982340, 22580.159009
1681.555856, 22515.986451
1697.129372, 22451.813893
1713.257170, 22388.635391
1729.454176, 22325.581006
1745.651181, 22262.526621
1761.848186, 22199.472236
1778.045192, 22136.417851
1794.242197, 22073.363466
1810.439203, 22010.309081
1826.636208, 21947.254697
1842.833213, 21884.200312
1859.030219, 21821.145927
1875.765943, 21759.626816
1892.568932, 21698.299399
1909.371921, 21636.971982
1926.174909, 21575.644565
1942.977898, 21514.317148
1959.780887, 21452.989731
1976.583875, 21391.662314
1993.386864, 21330.334897
2010.189853, 21269.007480
2026.992841, 21207.680063
2044.319370, 21147.414666
2061.711268, 21087.281872
2079.103166, 21027.149079
2096.495063, 20967.016286
2113.886961, 20906.883492
2131.278859, 20846.750699
2148.670757, 20786.617905
2166.062654, 20726.485112
2183.454552, 20666.352318
2200.846450, 20606.219525
2218.747065, 20547.208686
2236.711199, 20488.337934
2254.675333, 20429.467182
2272.639466, 20370.596430
2290.603600, 20311.725678
2308.567734, 20252.854926
2326.531867, 20193.984174
2344.496001, 20135.113422
2362.460135, 20076.242670
2380.424268, 20017.371918
2398.819672, 19959.393113
2417.268923, 19901.525676
2435.718175, 19843.658238
2454.167426, 19785.790801
2472.616677, 19727.923364
2491.065929, 19670.055927
2509.515180, 19612.188489
2519.133162, 19582.020980
2537.855673, 19524.734390
2556.578185, 19467.447800
2575.437731, 19400.286280
2594.494214, 19318.933337
2613.550696, 19237.580394
2632.607179, 19156.227451
2651.663661, 19074.874508
2670.720144, 18993.521565
2689.776626, 18912.168621
2708.833108, 18830.815678
2727.889591, 18749.462735
2746.946073, 18668.109792
2766.212495, 18580.371378
2785.780625, 18483.456300
2805.348754, 18386.541223
2824.916884, 18289.626145
2844.485014, 18192.711067
2864.053143, 18095.795989
2883.621273, 17998.880911
2903.189402, 17901.965833
2922.757532, 17805.050755
2942.325661, 17708.135677
2962.092049, 17606.834922
2982.143357, 17499.231439
3002.194664, 17391.627956
3022.245972, 17284.024473
3042.297279, 17176.420990
3062.348587, 17068.817507
3082.399895, 16961.214024
3102.451202, 16853.610541
3122.502510, 16746.007058
3142.553818, 16638.403574
3162.790701, 16528.085473
3183.294278, 16413.866149
3203.797855, 16299.646824
3224.301432, 16185.427500
3244.805009, 16071.208176
3265.308586, 15956.988852
3285.812163, 15842.769527
3306.315740, 15728.550203
3326.819318, 15614.330879
3347.322895, 15500.111555
3359.413424, 15432.758815
3380.275930, 14433.035283
3401.138435, 13433.311751
3422.000941, 12433.588219
3442.863447, 11433.864688
3463.725952, 10434.141156
3484.588458, 9434.417624
3505.450964, 8434.694092
3526.313469, 7434.970560
3547.175975, 6435.247028
3568.038481, 5435.523497
3589.026103, 4782.630093
3610.013725, 4129.736690
3631.001347, 3476.843287
3651.988969, 2823.949884
3672.976591, 2171.056480
3693.994440, 1676.825213
3715.012288, 1182.593945
3736.030137,  688.362677
3757.047985,  194.131409
3778.065834, -300.099859
3799.066692, -774.323813
3820.067551, -1248.547768
3841.068409, -1722.771723
3862.069267, -2196.995678
3883.070126, -2671.219632
3904.070984, -3145.443587
3925.071842, -3619.667542
3946.072701, -4093.891496
