Ground distance, Vertical Forces
   0.000000,    0.000002
   0.015373,    2.573578
   0.168785,   28.085101
   0.339217,   56.424578
   0.509649,   84.764054
   0.680081,  113.103531
   0.850513,  141.443008
   1.020945,  169.782485
   1.191377,  198.121962
   1.361810,  226.461439
   1.532242,  254.800916
   1.702674,  283.140393
   2.119176,  351.768400
   2.566403,  425.426810
   3.013630,  499.085219
   3.460857,  572.743628
   3.908084,  646.402037
   4.355311,  720.060446
   4.802538,  793.718855
   5.249765,  867.377264
   5.696992,  941.035674
   6.144219, 1014.694083
   6.834921, 1127.336986
   7.556023, 1244.847469
   8.277125, 1362.357952
   8.998227, 1479.868436
   9.719329, 1597.378919
  10.440431, 1714.889402
  11.161533, 1832.399886
  11.882635, 1949.910369
  12.603737, 2067.420852
  13.324839, 2184.931335
  14.286743, 2340.087268
  15.278714, 2499.943589
  16.270685, 2659.799909
  17.262656, 2819.656230
  18.254627, 2979.512550
  19.246597, 3139.368871
  20.238568, 3299.225191
  21.230539, 3459.081511
  22.222510, 3618.937832
  23.214481, 3778.794152
  24.444509, 3974.926722
  25.704260, 4175.588721
  26.964012, 4376.250721
  28.223763, 4576.912720
  29.483515, 4777.574719
  30.743266, 4978.236719
  32.003017, 5178.898718
  33.262769, 5379.560718
  34.522520, 5580.222717
  35.782272, 5780.884717
  37.277267, 6016.428408
  38.801634, 6256.327406
  40.326001, 6496.226404
  41.850368, 6736.125402
  43.374735, 6976.024400
  44.899102, 7215.923398
  46.423469, 7455.822396
  47.947835, 7695.721394
  49.472202, 7935.620392
  50.996569, 8175.519390
  52.753203, 8448.475520
  54.538837, 8725.559142
  56.324472, 9002.642765
  58.110106, 9279.726388
  59.895740, 9556.810011
  61.681374, 9833.893634
  63.467009, 10110.977257
  65.252643, 10388.060879
  67.038277, 10665.144502
  68.823911, 10942.228125
  70.838111, 11249.912164
  72.880849, 11561.416952
  74.923587, 11872.921740
  76.966325, 12184.426528
  79.009063, 12495.931316
  81.051801, 12807.436104
  83.094539, 13118.940891
  85.137277, 13430.445679
  87.180015, 13741.950467
  89.222753, 14053.455255
  91.490044, 14393.684339
  93.785372, 14737.499921
  96.080700, 15081.315503
  98.376028, 15425.131085
 100.671357, 15768.946666
 102.966685, 16112.762248
 105.262013, 16456.577830
 107.557341, 16800.393412
 109.852669, 17144.208994
 112.147997, 17488.024576
 114.663848, 17858.732327
 117.207232, 18232.797819
 119.750617, 18606.863311
 122.294002, 18980.928803
 124.837386, 19354.994295
 127.380771, 19729.059786
 129.924156, 20103.125278
 132.467540, 20477.190770
 135.010925, 20851.256262
 137.554309, 21225.321754
 140.314173, 21624.479850
 143.101066, 22026.770993
 145.887959, 22429.062136
 148.674852, 22831.353279
 151.461746, 23233.644423
 154.248639, 23635.935566
 157.035532, 24038.226709
 159.822425, 24440.517852
 162.609318, 24842.808995
 165.396211, 25245.100139
 168.395532, 25670.720521
 171.421377, 26099.253778
 174.447222, 26527.787035
 177.473067, 26956.320293
 180.498912, 27384.853550
 183.524756, 27813.386807
 186.550601, 28241.920064
 189.576446, 28670.453321
 192.602291, 29098.986578
 195.628136, 29527.519835
 198.862355, 29977.658457
 202.122591, 30430.494712
 205.382827, 30883.330967
 208.643064, 31336.167221
 211.903300, 31789.003476
 215.163536, 32241.839730
 218.423773, 32694.675985
 221.684009, 33147.512240
 224.944245, 33600.348494
 228.204481, 34053.184749
 231.668895, 34524.908439
 235.158801, 34998.990403
 238.648708, 35473.072367
 242.138614, 35947.154331
 245.628521, 36421.236295
 249.118428, 36895.318260
 252.608334, 37369.400224
 256.098241, 37843.482188
 259.588147, 38317.564152
 263.078054, 38791.646116
 266.767166, 39281.185639
 270.481150, 39772.655184
 274.195135, 40264.124729
 277.909119, 40755.594273
 281.623104, 41247.063818
 285.337089, 41738.533363
 289.051073, 42230.002908
 292.765058, 42721.472452
 296.479042, 43212.941997
 300.193027, 43704.411542
 304.101016, 44209.401611
 308.033229, 44716.079845
 311.965441, 45222.758078
 315.897653, 45729.436312
 319.829866, 46236.114545
 323.762078, 46742.792779
 327.694291, 47249.471013
 331.626503, 47756.149246
 335.558716, 48262.827480
 339.490928, 48769.505713
 343.612015, 49287.890733
 347.756684, 49807.737455
 351.901354, 50327.584177
 356.046023, 50847.430898
 360.190693, 51367.277620
 364.335362, 51887.124342
 368.480032, 52406.971064
 372.624701, 52926.817785
 376.769371, 53446.664507
 380.914040, 53966.511229
 385.242527, 54496.348510
 389.593966, 55027.433205
 393.945405, 55558.517901
 398.296843, 56089.602597
 402.648282, 56620.687293
 406.999720, 57151.771989
 411.351159, 57682.856684
 415.702597, 58213.941380
 420.054036, 58745.026076
 424.405474, 59276.110772
 428.935751, 59815.565840
 433.488357, 60356.066028
 438.040963, 60896.566216
 442.593569, 61437.066404
 447.146175, 61977.566592
 451.698781, 62518.066780
 456.251387, 63058.566968
 460.803994, 63599.067156
 465.356600, 64139.567344
 469.909206, 64680.067532
 474.635749, 65227.412168
 479.384011, 65775.611398
 484.132272, 66323.810628
 488.880534, 66872.009858
 493.628795, 67420.209087
 498.377056, 67968.408317
 503.125318, 68516.607547
 507.873579, 69064.806777
 512.621841, 69613.006006
 517.370102, 70161.205236
 522.287483, 70714.815202
 527.225979, 71269.100748
 532.164476, 71823.386294
 537.102972, 72377.671841
 542.041469, 72931.957387
 546.979965, 73486.242934
 551.918462, 74040.528480
 556.856959, 74594.814026
 561.795455, 75149.099573
 566.733952, 75703.385119
 571.836835, 76261.772392
 576.960243, 76820.671804
 582.083652, 77379.571216
 587.207060, 77938.470628
 592.330468, 78497.370041
 597.453877, 79056.269453
 602.577285, 79615.168865
 607.700694, 80174.068277
 612.824102, 80732.967689
