Speed (CAS), Climb Angle
 116.016023,    3.508128
 117.687284,    3.949372
 119.358545,    4.199627
 121.029806,    4.363347
 122.701067,    4.467422
 124.372328,    4.541743
 126.043589,    4.610830
 127.714850,    4.654475
 129.386111,    4.703701
 131.057372,    4.749122
 132.728633,    4.777112
 134.399894,    4.806267
 136.071156,    4.836586
 137.742417,    4.848887
 139.413678,    4.859540
 141.084939,    4.871092
 142.756200,    4.882109
 144.427461,    4.875010
 146.098722,    4.868572
 147.769983,    4.863029
 149.441244,    4.863371
 151.112505,    4.851255
 152.783766,    4.832903
 154.455027,    4.814992
 156.126288,    4.797521
 157.797549,    4.780491
 159.468810,    4.754625
 161.140071,    4.719055
 162.811332,    4.683723
 164.482593,    4.648631
 166.153854,    4.613778
 167.825116,    4.579163
 169.496377,    4.541288
 171.167638,    4.492434
 172.838899,    4.443639
 174.510160,    4.394903
 176.181421,    4.346226
 177.852682,    4.297609
 179.523943,    4.249050
 181.195204,    4.200550
 182.866465,    4.142195
 184.537726,    4.078636
 186.208987,    4.015000
 187.880248,    3.951287
 189.551509,    3.887497
 191.222770,    3.825714
 192.894031,    3.764399
 194.565292,    3.703006
 196.236553,    3.641535
 197.907814,    3.579986
 199.579076,    3.504662
 201.250337,    3.429052
 202.921598,    3.353250
 204.592859,    3.277255
 206.264120,    3.201069
 207.935381,    3.124689
 209.606642,    3.048118
 211.277903,    2.972452
 212.949164,    2.902043
 214.620425,    2.831440
 216.291686,    2.760644
 217.962947,    2.689654
 219.634208,    2.616438
 221.305469,    2.532690
 222.976730,    2.448656
 224.647991,    2.364335
 226.319252,    2.279728
 227.990513,    2.194834
 229.661774,    2.109654
 231.333036,    2.024186
 233.004297,    1.941057
 234.675558,    1.859854
 236.346819,    1.778363
 238.018080,    1.696584
 239.689341,    1.614516
 241.360602,    1.532161
 243.031863,    1.449517
 244.703124,    1.366585
 246.374385,    1.283364
 248.045646,    1.199854
 249.716907,    1.116055
 251.388168,    1.021172
 253.059429,    0.925518
 254.730690,    0.832761
 256.401951,    0.739932
 258.073212,    0.646739
 259.744473,    0.553181
 261.415734,    0.459259
 263.086996,    0.364972
 264.758257,    0.270319
 266.429518,    0.175302
 268.100779,    0.079918
 269.772040,   -0.015831
 271.443301,   -0.111947
 273.114562,   -0.208429
 274.785823,   -0.304957
 276.457084,   -0.401075
 278.128345,   -0.497560
 279.799606,   -0.594413
 281.470867,   -0.691633
