Mach, Climb Angle
   0.174154,    4.218091
   0.177042,    4.685174
   0.179929,    4.996730
   0.182816,    5.159463
   0.185704,    5.286526
   0.188591,    5.357949
   0.191478,    5.422184
   0.194366,    5.459518
   0.197253,    5.498786
   0.200140,    5.516211
   0.203028,    5.532243
   0.205915,    5.543875
   0.208802,    5.546016
   0.211690,    5.552986
   0.214577,    5.555460
   0.217464,    5.543919
   0.220352,    5.533309
   0.223239,    5.523629
   0.226126,    5.496660
   0.229014,    5.468049
   0.231901,    5.440107
   0.234788,    5.412832
   0.237676,    5.364858
   0.240563,    5.316870
   0.243450,    5.275596
   0.246338,    5.237212
   0.249225,    5.191672
   0.252112,    5.135521
   0.255000,    5.079562
   0.257887,    5.023793
   0.260774,    4.968215
   0.263662,    4.912828
   0.266549,    4.842126
   0.269436,    4.770849
   0.272324,    4.699590
   0.275211,    4.628349
   0.278098,    4.563484
   0.280986,    4.500486
   0.283873,    4.432642
   0.286760,    4.354233
   0.289648,    4.275687
   0.292535,    4.197003
   0.295422,    4.118181
   0.298310,    4.039222
   0.301197,    3.960125
   0.304084,    3.880889
   0.306972,    3.801516
   0.309859,    3.706425
   0.312746,    3.616643
   0.315634,    3.527843
   0.318521,    3.438753
   0.321408,    3.349374
   0.324296,    3.259705
   0.327183,    3.169747
   0.330070,    3.079498
   0.332958,    2.988960
   0.335845,    2.898132
   0.338732,    2.807014
   0.341619,    2.702898
   0.344507,    2.598381
   0.347394,    2.499714
   0.350281,    2.401429
   0.353169,    2.302747
   0.356056,    2.203665
   0.358943,    2.104186
   0.361831,    2.004307
   0.364718,    1.904029
   0.367605,    1.803352
   0.370493,    1.702275
   0.373380,    1.600798
   0.376267,    1.498922
   0.379155,    1.396645
   0.382042,    1.298381
   0.384929,    1.192300
   0.387817,    1.083014
   0.390704,    0.973249
   0.393591,    0.863005
   0.396479,    0.752280
   0.399366,    0.641075
   0.402253,    0.529389
   0.405141,    0.417222
   0.408028,    0.304573
   0.410915,    0.191442
   0.413803,    0.077839
   0.416690,   -0.033295
   0.419577,   -0.144912
   0.422465,   -0.257013
   0.425352,   -0.369599
   0.428239,   -0.482669
   0.431127,   -0.596224
   0.434014,   -0.710264
   0.436901,   -0.824791
   0.439789,   -0.939804
   0.442676,   -1.055304
   0.445563,   -1.171292
   0.448451,   -1.287765
   0.451338,   -1.407793
   0.454225,   -1.534465
   0.457113,   -1.661688
   0.460000,   -1.789461
