Mach, Climb Angle
   0.223175,   -1.658427
   0.225567,   -1.278546
   0.227959,   -0.997282
   0.230352,   -0.850607
   0.232744,   -0.702028
   0.235136,   -0.598333
   0.237528,   -0.519086
   0.239920,   -0.438692
   0.242312,   -0.369951
   0.244705,   -0.319642
   0.247097,   -0.264466
   0.249489,   -0.208475
   0.251881,   -0.161604
   0.254273,   -0.122461
   0.256665,   -0.082681
   0.259058,   -0.042264
   0.261450,   -0.004279
   0.263842,    0.020795
   0.266234,    0.046351
   0.268626,    0.072390
   0.271018,    0.098911
   0.273411,    0.122633
   0.275803,    0.134513
   0.278195,    0.146737
   0.280587,    0.162287
   0.282979,    0.178533
   0.285371,    0.195123
   0.287764,    0.205142
   0.290156,    0.207208
   0.292548,    0.209490
   0.294940,    0.211985
   0.297332,    0.214696
   0.299725,    0.217620
   0.302117,    0.220759
   0.304509,    0.213852
   0.306901,    0.202599
   0.309293,    0.191442
   0.311685,    0.180380
   0.314078,    0.171205
   0.316470,    0.162962
   0.318862,    0.154814
   0.321254,    0.146762
   0.323646,    0.130385
   0.326038,    0.108389
   0.328431,    0.086383
   0.330823,    0.064366
   0.333215,    0.042340
   0.335607,    0.020303
   0.337999,   -0.001744
   0.340391,   -0.023802
   0.342784,   -0.045869
   0.345176,   -0.067947
   0.347568,   -0.096388
   0.349960,   -0.127482
   0.352352,   -0.158668
   0.354744,   -0.189944
   0.357137,   -0.221311
   0.359529,   -0.252770
   0.361921,   -0.284320
   0.364313,   -0.315961
   0.366705,   -0.347693
   0.369097,   -0.379516
   0.371490,   -0.411431
   0.373882,   -0.443437
   0.376274,   -0.475998
   0.378666,   -0.518728
   0.381058,   -0.561140
   0.383451,   -0.602334
   0.385843,   -0.643688
   0.388235,   -0.685201
   0.390627,   -0.726873
   0.393019,   -0.768705
   0.395411,   -0.810697
   0.397804,   -0.852848
   0.400196,   -0.895158
   0.402588,   -0.937628
   0.404980,   -0.980258
   0.407372,   -1.023047
   0.409764,   -1.065996
   0.412157,   -1.109105
   0.414549,   -1.152317
   0.416941,   -1.197344
   0.419333,   -1.249141
   0.421725,   -1.301154
   0.424117,   -1.353382
   0.426510,   -1.405825
   0.428902,   -1.458484
   0.431294,   -1.511358
   0.433686,   -1.564448
   0.436078,   -1.617753
   0.438470,   -1.671273
   0.440863,   -1.725009
   0.443255,   -1.778961
   0.445647,   -1.833129
   0.448039,   -1.887512
   0.450431,   -1.942024
   0.452823,   -1.996734
   0.455216,   -2.051661
   0.457608,   -2.106803
   0.460000,   -2.162162
