Speed, Forces
  77.190003, 15669.860425
  77.896272, 15574.188006
  78.602541, 15485.424833
  79.308811, 15408.477496
  80.015080, 15331.530159
  80.721349, 15254.582821
  81.427618, 15177.635484
  82.133887, 15100.688147
  82.840157, 15023.740810
  83.546426, 14946.793473
  84.252695, 14869.846136
  84.958964, 14792.898799
  85.665233, 14715.951462
  86.371503, 14639.004125
  87.077772, 14562.056788
  87.784041, 14485.109451
  88.490310, 14408.162114
  89.196579, 14331.365020
  89.902848, 14267.955109
  90.609118, 14204.545198
  91.315387, 14141.135287
  92.021656, 14077.725376
  92.727925, 14014.315465
  93.434194, 13950.905553
  94.140464, 13887.495642
  94.846733, 13824.085731
  95.553002, 13760.675820
  96.259271, 13697.265909
  96.965540, 13633.855998
  97.671810, 13570.446087
  98.378079, 13507.036176
  99.084348, 13443.626265
  99.790617, 13380.216353
 100.496886, 13323.260475
 101.203155, 13269.730900
 101.909425, 13216.201325
 102.615694, 13162.671751
 103.321963, 13109.142176
 104.028232, 13055.612601
 104.734501, 13002.083027
 105.440771, 12948.553452
 106.147040, 12895.023878
 106.853309, 12841.494303
 107.559578, 12787.964728
 108.265847, 12734.435154
 108.972117, 12680.905579
 109.678386, 12627.376004
 110.384655, 12573.846430
 111.090924, 12522.723054
 111.797193, 12477.341022
 112.503462, 12431.958990
 113.209732, 12386.576958
 113.916001, 12341.194925
 114.622270, 12295.812893
 115.328539, 12250.430861
 116.034808, 12205.048829
 116.741078, 12159.666797
 117.447347, 12114.284765
 118.153616, 12068.902733
 118.859885, 12023.520701
 119.566154, 11978.138669
 120.272424, 11932.756637
 120.978693, 11887.374605
 121.684962, 11841.992573
 122.391231, 11801.733676
 123.097500, 11761.816615
 123.803769, 11721.899554
 124.510039, 11681.982492
 125.216308, 11642.065431
 125.922577, 11602.148370
 126.628846, 11562.231309
 127.335115, 11522.314248
 128.041385, 11482.397187
 128.747654, 11442.480126
 129.453923, 11402.563065
 130.160192, 11362.646003
 130.866461, 11322.728942
 131.572731, 11282.811881
 132.279000, 11242.894820
 132.985269, 11205.047150
 133.691538, 11168.700725
 134.397807, 11132.354300
 135.104076, 11096.007875
 135.810346, 11059.661450
 136.516615, 11023.315025
 137.222884, 10986.968601
 137.929153, 10950.622176
 138.635422, 10914.275751
 139.341692, 10877.929326
 140.047961, 10841.582901
 140.754230, 10805.236477
 141.460499, 10768.890052
 142.166768, 10732.543627
 142.873038, 10696.197202
 143.579307, 10660.093226
 144.285576, 10624.840490
 144.991845, 10589.587754
 145.698114, 10554.335019
 146.404383, 10519.082283
 147.110653, 10483.829547
