Speed (CAS), Efficiency
 113.458248,    8.314621
 114.529881,    8.633075
 115.601514,    9.116297
 116.673147,    9.455167
 117.744780,    9.770117
 118.816413,    9.995931
 119.888046,   10.234623
 120.959679,   10.442911
 122.031312,   10.614544
 123.102945,   10.793503
 124.174578,   10.980247
 125.246211,   11.131841
 126.317844,   11.284507
 127.389477,   11.442775
 128.461110,   11.606939
 129.532743,   11.749461
 130.604376,   11.887893
 131.676009,   12.030808
 132.747642,   12.178413
 133.819275,   12.326268
 134.890908,   12.447087
 135.962541,   12.571291
 137.034174,   12.699012
 138.105807,   12.830388
 139.177440,   12.965567
 140.249073,   13.072690
 141.320706,   13.179156
 142.392339,   13.288201
 143.463972,   13.399910
 144.535605,   13.514372
 145.607238,   13.631681
 146.678871,   13.715149
 147.750504,   13.798770
 148.822137,   13.884038
 149.893770,   13.970993
 150.965403,   14.059681
 152.037035,   14.150146
 153.108668,   14.237877
 154.180301,   14.287895
 155.251934,   14.338617
 156.323567,   14.390057
 157.395200,   14.442224
 158.466833,   14.495131
 159.538466,   14.548791
 160.610099,   14.603215
 161.681732,   14.655196
 162.753365,   14.671735
 163.824998,   14.688421
 164.896631,   14.705254
 165.968264,   14.722237
 167.039897,   14.739369
 168.111530,   14.756651
 169.183163,   14.774085
 170.254796,   14.791671
 171.326429,   14.809411
 172.398062,   14.809138
 173.469695,   14.792120
 174.541328,   14.775036
 175.612961,   14.757886
 176.684594,   14.740672
 177.756227,   14.723393
 178.827860,   14.706051
 179.899493,   14.688645
 180.971126,   14.671177
 182.042759,   14.653647
 183.114392,   14.636056
 184.186025,   14.618405
 185.257658,   14.573007
 186.329291,   14.522955
 187.400924,   14.472960
 188.472557,   14.423024
 189.544190,   14.373150
 190.615823,   14.323339
 191.687456,   14.273595
 192.759089,   14.223919
 193.830722,   14.174314
 194.902355,   14.124781
 195.973988,   14.075323
 197.045621,   14.025942
 198.117254,   13.976639
 199.188887,   13.927417
 200.260520,   13.872637
 201.332153,   13.792885
 202.403786,   13.713627
 203.475419,   13.634860
 204.547052,   13.556584
 205.618685,   13.478798
 206.690318,   13.401500
 207.761951,   13.324688
 208.833584,   13.248362
 209.905217,   13.172519
 210.976850,   13.097157
 212.048483,   13.022276
 213.120115,   12.947874
 214.191748,   12.873948
 215.263381,   12.800497
 216.335014,   12.727519
 217.406647,   12.655012
 218.478280,   12.582974
 219.549913,   12.511404
