Speed (TAS), Rate of Climb
 130.942051, -246.622687
 132.601814, -163.399739
 134.261577,  -91.383019
 135.921339,  -38.141565
 137.581102,   -3.491435
 139.240865,   28.145310
 140.900628,   49.545583
 142.560391,   71.824728
 144.220153,   89.782408
 145.879916,  105.982262
 147.539679,  122.825804
 149.199442,  136.648256
 150.859205,  149.219025
 152.518968,  162.275066
 154.178730,  174.236777
 155.838493,  183.162759
 157.498256,  192.813782
 159.158019,  203.151928
 160.817782,  211.436917
 162.477544,  217.837375
 164.137307,  224.472158
 165.797070,  231.345831
 167.456833,  237.443525
 169.116596,  240.032461
 170.776359,  242.729961
 172.436121,  245.539146
 174.095884,  248.463138
 175.755647,  250.223186
 177.415410,  248.067040
 179.075173,  246.229121
 180.734935,  244.985974
 182.394698,  243.735727
 184.054461,  242.480045
 185.714224,  239.211886
 187.373987,  233.163294
 189.033750,  226.984526
 190.693512,  220.676076
 192.353275,  214.238438
 194.013038,  207.672104
 195.672801,  200.977567
 197.332564,  192.003089
 198.992326,  180.613843
 200.652089,  169.201638
 202.311852,  158.508906
 203.971615,  147.595032
 205.631378,  136.459547
 207.291140,  125.101984
 208.950903,  113.521878
 210.610666,  101.564663
 212.270429,   85.037931
 213.930192,   68.179517
 215.589955,   50.988096
 217.249717,   33.462345
 218.909480,   15.600940
 220.569243,   -2.597443
 222.229006,  -21.122395
 223.888769,  -38.768772
 225.548531,  -56.737572
 227.208294,  -75.030120
 228.868057,  -95.670705
 230.527820, -119.817226
 232.187583, -144.405669
 233.847346, -169.438190
 235.507108, -194.916950
 237.166871, -220.844107
 238.826634, -247.221820
 240.486397, -274.052247
 242.146160, -301.337547
 243.805922, -329.079880
 245.465685, -356.539914
 247.125448, -384.301543
 248.785211, -412.514469
 250.444974, -441.180850
 252.104737, -472.277012
 253.764499, -506.344348
 255.424262, -540.960940
 257.084025, -576.129539
 258.743788, -611.852896
 260.403551, -648.133762
 262.063313, -684.974889
 263.723076, -722.379027
 265.382839, -760.348929
 267.042602, -798.488212
 268.702365, -836.983623
 270.362127, -876.045392
 272.021890, -915.676272
 273.681653, -955.879012
 275.341416, -996.656365
 277.001179, -1038.011081
 278.660942, -1079.945912
 280.320704, -1122.463608
 281.980467, -1165.566922
 283.640230, -1209.336977
 285.299993, -1257.739850
 286.959756, -1306.809605
 288.619518, -1356.600059
 290.279281, -1407.119519
 291.939044, -1458.316631
 293.598807, -1510.194577
 295.258570, -1562.756539
