Speed (CAS), Efficiency
  57.763099,    8.609653
  58.760797,    9.660414
  59.758495,   10.284513
  60.756194,   10.666904
  61.753892,   11.055101
  62.751590,   11.379726
  63.749289,   11.726430
  64.746987,   12.033357
  65.744685,   12.361944
  66.742384,   12.668320
  67.740082,   12.961189
  68.737780,   13.272580
  69.735479,   13.539752
  70.733177,   13.806721
  71.730875,   14.088455
  72.728574,   14.334160
  73.726272,   14.564093
  74.723970,   14.804812
  75.721669,   15.055396
  76.719367,   15.227065
  77.717065,   15.405019
  78.714764,   15.589564
  79.712462,   15.781025
  80.710160,   15.905366
  81.707859,   16.009487
  82.705557,   16.116285
  83.703255,   16.225839
  84.700954,   16.338234
  85.698652,   16.394006
  86.696350,   16.423666
  87.694049,   16.453778
  88.691747,   16.484347
  89.689445,   16.515378
  90.687144,   16.546875
  91.684842,   16.538839
  92.682540,   16.491193
  93.680239,   16.443309
  94.677937,   16.395194
  95.675635,   16.346854
  96.673334,   16.298297
  97.671032,   16.249528
  98.668730,   16.200553
  99.666428,   16.093798
 100.664127,   15.966072
 101.661825,   15.839116
 102.659523,   15.712940
 103.657222,   15.587555
 104.654920,   15.462971
 105.652618,   15.339199
 106.650317,   15.216245
 107.648015,   15.094119
 108.645713,   14.972827
 109.643412,   14.821172
 110.641110,   14.645258
 111.638808,   14.471934
 112.636507,   14.301162
 113.634205,   14.132907
 114.631903,   13.967132
 115.629602,   13.803803
 116.627300,   13.642883
 117.624998,   13.484336
 118.622697,   13.328128
 119.620395,   13.174224
 120.618093,   13.022588
 121.615792,   12.873186
 122.613490,   12.725985
 123.611188,   12.568871
 124.608887,   12.394394
 125.606585,   12.223350
 126.604283,   12.055654
 127.601982,   11.891224
 128.599680,   11.729980
 129.597378,   11.571845
 130.595077,   11.416743
 131.592775,   11.264601
 132.590473,   11.115348
 133.588172,   10.968915
 134.585870,   10.825236
 135.583568,   10.684243
 136.581267,   10.545875
 137.578965,   10.410069
 138.576663,   10.276766
 139.574362,   10.145906
 140.572060,   10.017433
 141.569758,    9.891293
 142.567457,    9.767430
 143.565155,    9.645794
 144.562853,    9.526333
 145.560552,    9.398079
 146.558250,    9.267619
 147.555948,    9.139877
 148.553646,    9.014777
 149.551345,    8.892247
 150.549043,    8.772215
 151.546741,    8.654614
 152.544440,    8.539378
 153.542138,    8.426444
 154.539836,    8.315751
 155.537535,    8.207239
 156.535233,    8.100851
