Mach, Efficiency
   0.184144,    9.209155
   0.186857,    9.821159
   0.189569,   10.300027
   0.192281,   10.661351
   0.194993,   11.005957
   0.197706,   11.281855
   0.200418,   11.576052
   0.203130,   11.853078
   0.205843,   12.115420
   0.208555,   12.393359
   0.211267,   12.662733
   0.213980,   12.903813
   0.216692,   13.157510
   0.219404,   13.424773
   0.222117,   13.651198
   0.224829,   13.869974
   0.227541,   14.098664
   0.230254,   14.337905
   0.232966,   14.543604
   0.235678,   14.723238
   0.238391,   14.909523
   0.241103,   15.102797
   0.243815,   15.303422
   0.246527,   15.455668
   0.249240,   15.582463
   0.251952,   15.712778
   0.254664,   15.846737
   0.257377,   15.984472
   0.260089,   16.126120
   0.262801,   16.199742
   0.265514,   16.252604
   0.268226,   16.306361
   0.270938,   16.361026
   0.273651,   16.416614
   0.276363,   16.473141
   0.279075,   16.530622
   0.281788,   16.544977
   0.284500,   16.521831
   0.287212,   16.498528
   0.289924,   16.475071
   0.292637,   16.451461
   0.295349,   16.427700
   0.298061,   16.403789
   0.300774,   16.379730
   0.303486,   16.355525
   0.306198,   16.304615
   0.308911,   16.210018
   0.311623,   16.115692
   0.314335,   16.021647
   0.317048,   15.927893
   0.319760,   15.834438
   0.322472,   15.741292
   0.325185,   15.648461
   0.327897,   15.555956
   0.330609,   15.463783
   0.333322,   15.371949
   0.336034,   15.280463
   0.338746,   15.177061
   0.341458,   15.032716
   0.344171,   14.889972
   0.346883,   14.748816
   0.349595,   14.609235
   0.352308,   14.471213
   0.355020,   14.334739
   0.357732,   14.199797
   0.360445,   14.066373
   0.363157,   13.934454
   0.365869,   13.804025
   0.368582,   13.675071
   0.371294,   13.547578
   0.374006,   13.421531
   0.376719,   13.296916
   0.379431,   13.173718
   0.382143,   13.051923
   0.384855,   12.931333
   0.387568,   12.777498
   0.390280,   12.626237
   0.392992,   12.477498
   0.395705,   12.331229
   0.398417,   12.187377
   0.401129,   12.045895
   0.403842,   11.906732
   0.406554,   11.769842
   0.409266,   11.635179
   0.411979,   11.502698
   0.414691,   11.372353
   0.417403,   11.244103
   0.420116,   11.117905
   0.422828,   10.993718
   0.425540,   10.871502
   0.428252,   10.751217
   0.430965,   10.632826
   0.433677,   10.516290
   0.436389,   10.401574
   0.439102,   10.288642
   0.441814,   10.177458
   0.444526,   10.067988
   0.447239,    9.960200
   0.449951,    9.854060
   0.452663,    9.749537
