Speed (TAS), Efficiency
 113.078422,    9.209155
 115.009752,    9.927321
 116.941083,   10.412096
 118.872413,   10.845386
 120.803743,   11.180026
 122.735074,   11.515013
 124.666404,   11.842226
 126.597734,   12.147096
 128.529065,   12.473145
 130.460395,   12.766370
 132.391726,   13.053349
 134.323056,   13.358041
 136.254386,   13.632992
 138.185717,   13.886627
 140.117047,   14.153655
 142.048377,   14.435081
 143.979708,   14.642145
 145.911038,   14.855285
 147.842369,   15.077688
 149.773699,   15.309913
 151.705029,   15.479657
 153.636360,   15.627778
 155.567690,   15.780691
 157.499020,   15.938592
 159.430351,   16.101694
 161.361681,   16.199172
 163.293012,   16.260540
 165.224342,   16.323114
 167.155672,   16.386915
 169.087003,   16.451967
 171.018333,   16.518294
 172.949663,   16.546211
 174.880994,   16.519366
 176.812324,   16.492312
 178.743655,   16.465051
 180.674985,   16.437585
 182.606315,   16.409917
 184.537646,   16.382049
 186.468976,   16.353984
 188.400307,   16.283494
 190.331637,   16.173897
 192.262967,   16.064670
 194.194298,   15.955827
 196.125628,   15.847384
 198.056958,   15.739353
 199.988289,   15.631748
 201.919619,   15.524581
 203.850950,   15.417865
 205.782280,   15.311611
 207.713610,   15.203407
 209.644941,   15.035840
 211.576271,   14.870426
 213.507601,   14.707145
 215.438932,   14.545975
 217.370262,   14.386895
 219.301593,   14.229883
 221.232923,   14.074916
 223.164253,   13.921974
 225.095584,   13.771033
 227.026914,   13.622071
 228.958244,   13.475065
 230.889575,   13.329993
 232.820905,   13.186831
 234.752236,   13.045557
 236.683566,   12.898479
 238.614896,   12.720975
 240.546227,   12.546905
 242.477557,   12.376189
 244.408887,   12.208745
 246.340218,   12.044496
 248.271548,   11.883366
 250.202879,   11.725281
 252.134209,   11.570170
 254.065539,   11.417964
 255.996870,   11.268593
 257.928200,   11.121992
 259.859531,   10.978097
 261.790861,   10.836846
 263.722191,   10.698177
 265.653522,   10.562031
 267.584852,   10.428350
 269.516182,   10.297079
 271.447513,   10.168162
 273.378843,   10.041547
 275.310174,    9.917182
 277.241504,    9.795016
 279.172834,    9.675000
 281.104165,    9.557087
 283.035495,    9.426686
 284.966825,    9.293886
 286.898156,    9.163909
 288.829486,    9.036676
 290.760817,    8.912109
 292.692147,    8.790133
 294.623477,    8.670676
 296.554808,    8.553668
 298.486138,    8.439041
 300.417468,    8.326731
 302.348799,    8.216676
 304.280129,    8.108813
