Speed (CAS), Efficiency
 131.733674,    9.209155
 133.476567,    9.754758
 135.219461,   10.230068
 136.962355,   10.547835
 138.705248,   10.890446
 140.448142,   11.139295
 142.191036,   11.394157
 143.933930,   11.664324
 145.676823,   11.900729
 147.419717,   12.138192
 149.162611,   12.388324
 150.905504,   12.634758
 152.648398,   12.849450
 154.391292,   13.074160
 156.134185,   13.309559
 157.877079,   13.539816
 159.619973,   13.731427
 161.362867,   13.930735
 163.105760,   14.138176
 164.848654,   14.354219
 166.591548,   14.537397
 168.334441,   14.698248
 170.077335,   14.864430
 171.820229,   15.036184
 173.563123,   15.213766
 175.306016,   15.388126
 177.048910,   15.500188
 178.791804,   15.615027
 180.534697,   15.732731
 182.277591,   15.853391
 184.020485,   15.977102
 185.763379,   16.103965
 187.506272,   16.186334
 189.249166,   16.233573
 190.992060,   16.281529
 192.734953,   16.330213
 194.477847,   16.379635
 196.220741,   16.429806
 197.963635,   16.480737
 199.706528,   16.532439
 201.449422,   16.546601
 203.192316,   16.525827
 204.935209,   16.504927
 206.678103,   16.483902
 208.420997,   16.462753
 210.163890,   16.441481
 211.906784,   16.420088
 213.649678,   16.398575
 215.392572,   16.376942
 217.135465,   16.355191
 218.878359,   16.312953
 220.621253,   16.227949
 222.364146,   16.143162
 224.107040,   16.058600
 225.849934,   15.974270
 227.592828,   15.890177
 229.335721,   15.806329
 231.078615,   15.722731
 232.821509,   15.639390
 234.564402,   15.556312
 236.307296,   15.473501
 238.050190,   15.390965
 239.793084,   15.308707
 241.535977,   15.226734
 243.278871,   15.106514
 245.021765,   14.977487
 246.764658,   14.849748
 248.507552,   14.723287
 250.250446,   14.598093
 251.993339,   14.474158
 253.736233,   14.351471
 255.479127,   14.230022
 257.222021,   14.109801
 258.964914,   13.990798
 260.707808,   13.873001
 262.450702,   13.756401
 264.193595,   13.640987
 265.936489,   13.526749
 267.679383,   13.413675
 269.422277,   13.301756
 271.165170,   13.190981
 272.908064,   13.081339
 274.650958,   12.972820
 276.393851,   12.845802
 278.136745,   12.708791
 279.879639,   12.573838
 281.622533,   12.440904
 283.365426,   12.309952
 285.108320,   12.180946
 286.851214,   12.053848
 288.594107,   11.928625
 290.337001,   11.805242
 292.079895,   11.683665
 293.822789,   11.563861
 295.565682,   11.445798
 297.308576,   11.329444
 299.051470,   11.214768
 300.794363,   11.101740
 302.537257,   10.990331
 304.280151,   10.880511
