Speed (TAS), Efficiency
  67.769652,    9.209155
  68.666274,    9.754758
  69.562896,   10.230068
  70.459517,   10.547835
  71.356139,   10.890446
  72.252761,   11.139295
  73.149383,   11.394157
  74.046005,   11.664324
  74.942627,   11.900729
  75.839249,   12.138192
  76.735871,   12.388324
  77.632493,   12.634758
  78.529115,   12.849450
  79.425737,   13.074160
  80.322359,   13.309559
  81.218981,   13.539816
  82.115602,   13.731427
  83.012224,   13.930735
  83.908846,   14.138176
  84.805468,   14.354219
  85.702090,   14.537397
  86.598712,   14.698248
  87.495334,   14.864430
  88.391956,   15.036184
  89.288578,   15.213766
  90.185200,   15.388126
  91.081822,   15.500188
  91.978444,   15.615027
  92.875066,   15.732731
  93.771687,   15.853391
  94.668309,   15.977102
  95.564931,   16.103965
  96.461553,   16.186334
  97.358175,   16.233573
  98.254797,   16.281529
  99.151419,   16.330213
 100.048041,   16.379635
 100.944663,   16.429806
 101.841285,   16.480737
 102.737907,   16.532439
 103.634529,   16.546601
 104.531151,   16.525827
 105.427772,   16.504927
 106.324394,   16.483902
 107.221016,   16.462753
 108.117638,   16.441481
 109.014260,   16.420088
 109.910882,   16.398575
 110.807504,   16.376942
 111.704126,   16.355191
 112.600748,   16.312953
 113.497370,   16.227949
 114.393992,   16.143162
 115.290614,   16.058600
 116.187236,   15.974270
 117.083857,   15.890177
 117.980479,   15.806329
 118.877101,   15.722731
 119.773723,   15.639390
 120.670345,   15.556312
 121.566967,   15.473501
 122.463589,   15.390965
 123.360211,   15.308707
 124.256833,   15.226734
 125.153455,   15.106514
 126.050077,   14.977487
 126.946699,   14.849748
 127.843321,   14.723287
 128.739942,   14.598093
 129.636564,   14.474158
 130.533186,   14.351471
 131.429808,   14.230022
 132.326430,   14.109801
 133.223052,   13.990798
 134.119674,   13.873001
 135.016296,   13.756401
 135.912918,   13.640987
 136.809540,   13.526749
 137.706162,   13.413675
 138.602784,   13.301756
 139.499406,   13.190981
 140.396027,   13.081339
 141.292649,   12.972820
 142.189271,   12.845802
 143.085893,   12.708791
 143.982515,   12.573838
 144.879137,   12.440904
 145.775759,   12.309952
 146.672381,   12.180946
 147.569003,   12.053848
 148.465625,   11.928625
 149.362247,   11.805242
 150.258869,   11.683665
 151.155490,   11.563861
 152.052112,   11.445798
 152.948734,   11.329444
 153.845356,   11.214768
 154.741978,   11.101740
 155.638600,   10.990331
 156.535222,   10.880511
