V (EAS), 
  59.263685,    0.000000
  59.263685,    1.000000
  63.090399,    1.133311
  66.917113,    1.274961
  70.743828,    1.424950
  74.570542,    1.583278
  78.397256,    1.749945
  82.223970,    1.924950
  86.050685,    2.108295
  89.877399,    2.299978
  93.704113,    2.500000
 147.110653,    2.500000
 183.888316,    2.500000
 183.888316,    0.000000
 147.110653,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,    0.000000
