Mach, Efficiency
   0.197276,    9.430078
   0.199930,    9.998604
   0.202583,   10.485776
   0.205237,   10.817738
   0.207891,   11.175972
   0.210545,   11.427842
   0.213198,   11.694747
   0.215852,   11.978005
   0.218506,   12.218468
   0.221160,   12.467653
   0.223814,   12.730412
   0.226467,   12.978284
   0.229121,   13.203873
   0.231775,   13.440212
   0.234429,   13.688039
   0.237083,   13.914120
   0.239736,   14.115727
   0.242390,   14.325606
   0.245044,   14.544238
   0.247698,   14.772139
   0.250351,   14.941720
   0.253005,   15.111095
   0.255659,   15.286201
   0.258313,   15.467306
   0.260967,   15.654691
   0.263620,   15.805722
   0.266274,   15.923584
   0.268928,   16.044425
   0.271582,   16.168340
   0.274235,   16.295430
   0.276889,   16.425799
   0.279543,   16.551629
   0.282197,   16.600361
   0.284851,   16.649846
   0.287504,   16.700093
   0.290158,   16.751115
   0.292812,   16.802924
   0.295466,   16.855529
   0.298119,   16.908944
   0.300773,   16.949460
   0.303427,   16.927729
   0.306081,   16.905862
   0.308735,   16.883863
   0.311388,   16.861732
   0.314042,   16.839469
   0.316696,   16.817078
   0.319350,   16.794558
   0.322003,   16.771911
   0.324657,   16.749139
   0.327311,   16.716430
   0.329965,   16.627826
   0.332619,   16.539452
   0.335272,   16.451316
   0.337926,   16.363425
   0.340580,   16.275786
   0.343234,   16.188406
   0.345887,   16.101292
   0.348541,   16.014451
   0.351195,   15.927888
   0.353849,   15.841610
   0.356503,   15.755623
   0.359156,   15.669932
   0.361810,   15.584543
   0.364464,   15.456823
   0.367118,   15.322608
   0.369771,   15.189756
   0.372425,   15.058255
   0.375079,   14.928095
   0.377733,   14.799266
   0.380387,   14.671756
   0.383040,   14.545555
   0.385694,   14.420651
   0.388348,   14.297034
   0.391002,   14.174691
   0.393656,   14.053613
   0.396309,   13.933788
   0.398963,   13.815204
   0.401617,   13.697850
   0.404271,   13.581714
   0.406924,   13.466785
   0.409578,   13.353053
   0.412232,   13.240504
   0.414886,   13.096786
   0.417540,   12.955007
   0.420193,   12.815389
   0.422847,   12.677892
   0.425501,   12.542476
   0.428155,   12.409102
   0.430808,   12.277731
   0.433462,   12.148327
   0.436116,   12.020851
   0.438770,   11.895270
   0.441424,   11.771546
   0.444077,   11.649647
   0.446731,   11.529539
   0.449385,   11.411187
   0.452039,   11.294562
   0.454692,   11.179630
   0.457346,   11.066361
   0.460000,   10.954724
