Ground Roll distance, Vertical Forces
1080.498118, 33699.070823
1104.279926, 33568.706173
1266.101139, 32688.319544
1298.208135, 32515.018367
1330.229907, 32342.629250
1362.166678, 32171.146567
1394.018668, 32000.564738
1395.290987, 31993.760124
1397.835220, 31980.155193
1398.852762, 31974.714823
1399.283943, 31972.409614
1400.146259, 31967.799689
1400.217584, 31967.418404
1400.252780, 31967.230252
1400.274084, 31967.116367
1400.289534, 31967.033778
1400.303403, 31966.959637
1400.309609, 31966.926461
1400.310673, 31966.904481
1400.311637, 31966.883207
1400.321284, 31966.670461
1400.417748, 31964.542907
1401.382215, 31943.257835
1411.009142, 31729.453119
1505.426948, 29495.637644
1600.887457, 26956.127368
1688.379388, 24339.102666
1767.625284, 21689.475343
1838.828525, 19045.052165
1902.299012, 16443.585739
1958.409550, 13922.013596
1973.286167, 13214.474683
1986.135532, 12589.185273
1991.895829, 12304.472680
1994.411879, 12179.245044
1996.798116, 12060.003090
2020.006061, 10875.620304
2038.157048, 9916.815677
2051.878858, 9171.987421
2055.485211, 8973.268910
2059.334241, 8759.774432
2095.002937, 6708.499635
2103.308442, 6210.828787
2110.546768, 5770.498528
2114.029024, 5556.408080
2115.849326, 5443.901336
2118.212454, 5297.252373
2140.041788, 3910.624062
2163.751303, 2333.468069
2168.418705, 2013.292678
2172.652811, 1719.819118
2176.850072, 1425.922946
2177.663144, 1368.634745
2178.057768, 1340.786337
2178.413719, 1315.640168
2181.787256, 1076.017452
2193.022269,  258.679347
2194.772006,  128.018307
2195.470733,   75.465648
2195.940018,   40.014930
2196.244726,   16.909934
2196.412609,    4.137834
2196.466741,    0.008431
2196.466851,    0.000038
2196.466851,    0.000000
