Speed, Forces
  67.046213, 24116.566603
  67.903262, 22424.046570
  68.760312, 21289.320141
  69.617362, 20529.068352
  70.474411, 19863.482356
  71.331461, 19394.251566
  72.188511, 18919.201753
  73.045560, 18522.636817
  73.902610, 18176.446545
  74.759660, 17826.117092
  75.616709, 17500.595696
  76.473759, 17220.710823
  77.330809, 16937.595418
  78.187858, 16651.249481
  79.044908, 16411.858345
  79.901958, 16190.337107
  80.759008, 15966.371831
  81.616057, 15739.962517
  82.473107, 15546.283441
  83.330157, 15381.755547
  84.187206, 15215.489143
  85.044256, 15047.484232
  85.901306, 14877.740812
  86.758355, 14751.148747
  87.615405, 14642.952318
  88.472455, 14533.669986
  89.329504, 14423.301753
  90.186554, 14311.847618
  91.043604, 14200.295759
  91.900653, 14149.485945
  92.757703, 14098.190551
  93.614753, 14046.409577
  94.471802, 13994.143023
  95.328852, 13941.390890
  96.185902, 13888.153176
  97.042951, 13847.067067
  97.900001, 13852.933562
  98.757051, 13858.852607
  99.614100, 13864.824202
 100.471150, 13870.848346
 101.328200, 13876.925040
 102.185249, 13883.054283
 103.042299, 13889.236076
 103.899349, 13895.470418
 104.756399, 13943.805882
 105.613448, 13999.569513
 106.470498, 14055.795386
 107.327548, 14112.483501
 108.184597, 14169.633857
 109.041647, 14227.246455
 109.898697, 14285.321295
 110.755746, 14343.858376
 111.612796, 14402.857699
 112.469846, 14462.319264
 113.326895, 14533.812777
 114.183945, 14639.177104
 115.040995, 14745.347970
 115.898044, 14852.325378
 116.755094, 14960.109325
 117.612144, 15068.699813
 118.469193, 15178.096841
 119.326243, 15288.300410
 120.183293, 15399.310519
 121.040342, 15511.127168
 121.897392, 15623.750357
 122.754442, 15737.180087
 123.611491, 15851.416357
 124.468541, 15966.459168
 125.325591, 16089.939194
 126.182641, 16246.832098
 127.039690, 16404.809735
 127.896740, 16563.872105
 128.753790, 16724.019207
 129.610839, 16885.251042
 130.467889, 17047.567609
 131.324939, 17210.968909
 132.181988, 17375.454942
 133.039038, 17541.025708
 133.896088, 17707.681206
 134.753137, 17875.421436
 135.610187, 18044.246400
 136.467237, 18214.156096
 137.324286, 18385.150525
 138.181336, 18557.229686
 139.038386, 18730.393580
 139.895435, 18904.642207
 140.752485, 19079.975566
 141.609535, 19256.393658
 142.466584, 19442.247423
 143.323634, 19657.360784
 144.180684, 19873.780735
 145.037733, 20091.507274
 145.894783, 20310.540402
 146.751833, 20530.880118
 147.608882, 20752.526423
 148.465932, 20975.479317
 149.322982, 21199.738800
 150.180032, 21425.304872
 151.037081, 21652.177532
 151.894131, 21880.356781
