Mach, Efficiency
   0.215700,    8.517935
   0.218168,    8.964094
   0.220636,    9.479862
   0.223103,    9.918731
   0.225571,   10.200857
   0.228039,   10.496165
   0.230506,   10.741886
   0.232974,   10.958264
   0.235442,   11.185987
   0.237909,   11.386460
   0.240377,   11.576030
   0.242845,   11.774076
   0.245312,   11.970143
   0.247780,   12.140053
   0.250248,   12.316631
   0.252715,   12.500251
   0.255183,   12.672385
   0.257651,   12.824384
   0.260118,   12.981590
   0.262586,   13.144254
   0.265054,   13.307827
   0.267521,   13.437889
   0.269989,   13.571758
   0.272457,   13.709589
   0.274924,   13.851541
   0.277392,   13.988265
   0.279860,   14.090809
   0.282327,   14.195797
   0.284795,   14.303304
   0.287263,   14.413409
   0.289730,   14.526194
   0.292198,   14.612190
   0.294666,   14.674799
   0.297133,   14.738481
   0.299601,   14.803256
   0.302069,   14.869146
   0.304536,   14.936172
   0.307004,   15.004358
   0.309472,   15.028629
   0.311939,   15.049298
   0.314407,   15.070189
   0.316875,   15.091303
   0.319343,   15.112642
   0.321810,   15.134208
   0.324278,   15.156003
   0.326746,   15.176804
   0.329213,   15.155636
   0.331681,   15.134369
   0.334149,   15.113003
   0.336616,   15.091539
   0.339084,   15.069979
   0.341552,   15.048324
   0.344019,   15.026575
   0.346487,   15.004732
   0.348955,   14.982798
   0.351422,   14.944746
   0.353890,   14.882531
   0.356358,   14.820402
   0.358825,   14.758363
   0.361293,   14.696419
   0.363761,   14.634573
   0.366228,   14.572830
   0.368696,   14.511194
   0.371164,   14.449668
   0.373631,   14.388256
   0.376099,   14.326962
   0.378567,   14.265790
   0.381034,   14.193760
   0.383502,   14.094889
   0.385970,   13.996761
   0.388437,   13.899373
   0.390905,   13.802724
   0.393373,   13.706809
   0.395840,   13.611628
   0.398308,   13.517176
   0.400776,   13.423452
   0.403243,   13.330451
   0.405711,   13.238171
   0.408179,   13.146608
   0.410646,   13.055759
   0.413114,   12.965621
   0.415582,   12.876191
   0.418050,   12.787463
   0.420517,   12.689678
   0.422985,   12.578833
   0.425453,   12.469276
   0.427920,   12.360991
   0.430388,   12.253959
   0.432856,   12.148166
   0.435323,   12.043594
   0.437791,   11.940228
   0.440259,   11.838052
   0.442726,   11.737050
   0.445194,   11.637206
   0.447662,   11.538506
   0.450129,   11.440934
   0.452597,   11.344476
   0.455065,   11.249116
   0.457532,   11.154841
   0.460000,   11.061635
