Speed (TAS), Efficiency
  75.666484,    8.703325
  76.388142,    9.203479
  77.109801,    9.632480
  77.831459,    9.922034
  78.553117,   10.188048
  79.274776,   10.471381
  79.996434,   10.656328
  80.718092,   10.844437
  81.439750,   11.041088
  82.161409,   11.235057
  82.883067,   11.387181
  83.604725,   11.544866
  84.326383,   11.708405
  85.048042,   11.878111
  85.769700,   12.025342
  86.491358,   12.167063
  87.213016,   12.313395
  87.934675,   12.464550
  88.656333,   12.620754
  89.377991,   12.754444
  90.099650,   12.879868
  90.821308,   13.008822
  91.542966,   13.141445
  92.264624,   13.277882
  92.986283,   13.418288
  93.707941,   13.523158
  94.429599,   13.628077
  95.151257,   13.735461
  95.872916,   13.845387
  96.594574,   13.957939
  97.316232,   14.073200
  98.037890,   14.178503
  98.759549,   14.253675
  99.481207,   14.330209
 100.202865,   14.408135
 100.924524,   14.487486
 101.646182,   14.568295
 102.367840,   14.650596
 103.089498,   14.734424
 103.811157,   14.797861
 104.532815,   14.836521
 105.254473,   14.875654
 105.976131,   14.915265
 106.697790,   14.955360
 107.419448,   14.995946
 108.141106,   15.037028
 108.862764,   15.078614
 109.584423,   15.120709
 110.306081,   15.158960
 111.027739,   15.154309
 111.749398,   15.149631
 112.471056,   15.144925
 113.192714,   15.140193
 113.914372,   15.135432
 114.636031,   15.130645
 115.357689,   15.125831
 116.079347,   15.120989
 116.801005,   15.116120
 117.522664,   15.111225
 118.244322,   15.106302
 118.965980,   15.078709
 119.687638,   15.035178
 120.409297,   14.991637
 121.130955,   14.948087
 121.852613,   14.904532
 122.574272,   14.860973
 123.295930,   14.817414
 124.017588,   14.773855
 124.739246,   14.730300
 125.460905,   14.686751
 126.182563,   14.643209
 126.904221,   14.599677
 127.625879,   14.556157
 128.347538,   14.512651
 129.069196,   14.469162
 129.790854,   14.393765
 130.512513,   14.318453
 131.234171,   14.243513
 131.955829,   14.168948
 132.677487,   14.094756
 133.399146,   14.020939
 134.120804,   13.947497
 134.842462,   13.874430
 135.564120,   13.801738
 136.285779,   13.729423
 137.007437,   13.657483
 137.729095,   13.585920
 138.450753,   13.514732
 139.172412,   13.443921
 139.894070,   13.373485
 140.615728,   13.303424
 141.337387,   13.233739
 142.059045,   13.164430
 142.780703,   13.095494
 143.502361,   13.012407
 144.224020,   12.921070
 144.945678,   12.830557
 145.667336,   12.740861
 146.388994,   12.651975
 147.110653,   12.563890
