Mach, Altitude
   0.168948,    0.000000
   0.169954,  100.000000
   0.170967,  200.000000
   0.171990,  300.000000
   0.173020,  400.000000
   0.174059,  500.000000
   0.175107,  600.000000
   0.176164,  700.000000
   0.177229,  800.000000
   0.178303,  900.000000
   0.179386, 1000.000000
   0.180478, 1100.000000
   0.181579, 1200.000000
   0.182690, 1300.000000
   0.183810, 1400.000000
   0.184939, 1500.000000
   0.186078, 1600.000000
   0.187227, 1700.000000
   0.188385, 1800.000000
   0.189554, 1900.000000
   0.190732, 2000.000000
   0.191920, 2100.000000
   0.193119, 2200.000000
   0.194328, 2300.000000
   0.195547, 2400.000000
   0.196777, 2500.000000
   0.198018, 2600.000000
   0.199269, 2700.000000
   0.200531, 2800.000000
   0.201805, 2900.000000
   0.203089, 3000.000000
   0.204385, 3100.000000
   0.205692, 3200.000000
   0.207011, 3300.000000
   0.208341, 3400.000000
   0.209683, 3500.000000
   0.211037, 3600.000000
   0.212403, 3700.000000
   0.213781, 3800.000000
   0.215172, 3900.000000
   0.216575, 4000.000000
   0.217990, 4100.000000
   0.219419, 4200.000000
   0.220860, 4300.000000
   0.222315, 4400.000000
   0.223782, 4500.000000
   0.225263, 4600.000000
   0.226758, 4700.000000
   0.228266, 4800.000000
   0.229788, 4900.000000
   0.231324, 5000.000000
   0.232874, 5100.000000
   0.234438, 5200.000000
   0.236017, 5300.000000
   0.237611, 5400.000000
   0.239220, 5500.000000
   0.240843, 5600.000000
   0.242482, 5700.000000
   0.244136, 5800.000000
   0.245805, 5900.000000
   0.247491, 6000.000000
   0.249944, 6100.000000
   0.253159, 6200.000000
   0.255636, 6300.000000
   0.258126, 6400.000000
   0.261373, 6500.000000
   0.263887, 6600.000000
   0.267897, 6700.000000
   0.272652, 6800.000000
   0.276673, 6900.000000
   0.281435, 7000.000000
   0.287667, 7100.000000
   0.293163, 7200.000000
   0.299387, 7300.000000
   0.307062, 7400.000000
   0.313998, 7500.000000
   0.321649, 7600.000000
   0.329286, 7700.000000
   0.337630, 7800.000000
   0.348109, 7900.000000
   0.357126, 8000.000000
   0.370403, 8100.000000
   0.430607, 8200.000000
   0.443214, 8100.000000
   0.449477, 8000.000000
   0.455800, 7900.000000
   0.462184, 7800.000000
   0.465739, 7700.000000
   0.467889, 7600.000000
   0.470799, 7500.000000
   0.473018, 7400.000000
   0.476000, 7300.000000
   0.478287, 7200.000000
   0.480606, 7100.000000
   0.482221, 7000.000000
   0.484602, 6900.000000
   0.484795, 6800.000000
   0.485749, 6700.000000
   0.485984, 6600.000000
   0.486982, 6500.000000
   0.487256, 6400.000000
   0.487548, 6300.000000
   0.488609, 6200.000000
   0.488940, 6100.000000
   0.488535, 6000.000000
   0.488899, 5900.000000
   0.488524, 5800.000000
   0.488922, 5700.000000
   0.488576, 5600.000000
   0.488244, 5500.000000
   0.488688, 5400.000000
   0.488384, 5300.000000
   0.488093, 5200.000000
   0.487815, 5100.000000
   0.487549, 5000.000000
   0.486525, 4900.000000
   0.485511, 4800.000000
   0.485279, 4700.000000
   0.484284, 4600.000000
   0.483298, 4500.000000
   0.482322, 4400.000000
   0.481353, 4300.000000
   0.480394, 4200.000000
   0.479443, 4100.000000
   0.478501, 4000.000000
   0.477567, 3900.000000
   0.476641, 3800.000000
   0.475724, 3700.000000
   0.474814, 3600.000000
   0.473913, 3500.000000
   0.473020, 3400.000000
   0.471340, 3300.000000
   0.470461, 3200.000000
   0.469590, 3100.000000
   0.467928, 3000.000000
   0.466272, 2900.000000
   0.463820, 2800.000000
   0.461370, 2700.000000
   0.459726, 2600.000000
   0.457282, 2500.000000
   0.455646, 2400.000000
   0.454014, 2300.000000
   0.452387, 2200.000000
   0.449956, 2100.000000
   0.448337, 2000.000000
   0.446722, 1900.000000
   0.445112, 1800.000000
   0.443507, 1700.000000
   0.441906, 1600.000000
   0.440309, 1500.000000
   0.438716, 1400.000000
   0.436310, 1300.000000
   0.434725, 1200.000000
   0.432323, 1100.000000
   0.430745, 1000.000000
   0.429171,  900.000000
   0.426778,  800.000000
   0.425211,  700.000000
   0.423648,  600.000000
   0.421263,  500.000000
   0.419707,  400.000000
   0.418155,  300.000000
   0.415777,  200.000000
   0.414231,  100.000000
   0.412690,    0.000000
