Speed, Forces
  66.261704, 23310.205772
  67.119145, 21102.109037
  67.976587, 20128.117716
  68.834029, 19344.410013
  69.691470, 18819.007756
  70.548912, 18287.101257
  71.406353, 17900.225181
  72.263795, 17509.711133
  73.121237, 17118.715948
  73.978678, 16792.166268
  74.836120, 16461.809688
  75.693561, 16127.646209
  76.551003, 15846.343264
  77.408445, 15578.574705
  78.265886, 15307.823596
  79.123328, 15038.766364
  79.980769, 14826.675420
  80.838211, 14612.298481
  81.695653, 14395.635546
  82.553094, 14176.686617
  83.410536, 14004.994924
  84.267977, 13839.680154
  85.125419, 13672.674676
  85.982861, 13503.978488
  86.840302, 13333.732260
  87.697744, 13221.364614
  88.555185, 13107.892925
  89.412627, 12993.317194
  90.270069, 12877.637421
  91.127510, 12760.853605
  91.984952, 12661.460126
  92.842393, 12600.519525
  93.699835, 12539.013500
  94.557277, 12476.942049
  95.414718, 12414.305173
  96.272160, 12351.102872
  97.129601, 12287.335146
  97.987043, 12249.558308
  98.844485, 12233.156490
  99.701926, 12216.611772
 100.559368, 12199.924154
 101.416810, 12183.093636
 102.274251, 12166.120218
 103.131693, 12149.003901
 103.989134, 12131.744683
 104.846576, 12127.251743
 105.704018, 12153.514817
 106.561459, 12179.991798
 107.418901, 12206.682686
 108.276342, 12233.587479
 109.133784, 12260.706180
 109.991226, 12288.038786
 110.848667, 12315.585299
 111.706109, 12343.345718
 112.563550, 12371.320043
 113.420992, 12399.508275
 114.278434, 12469.923370
 115.135875, 12544.592220
 115.993317, 12619.819223
 116.850758, 12695.604379
 117.708200, 12771.947688
 118.565642, 12848.849151
 119.423083, 12926.308767
 120.280525, 13004.326537
 121.137966, 13082.902460
 121.995408, 13162.036536
 122.852850, 13241.728765
 123.710291, 13321.979148
 124.567733, 13402.787684
 125.425174, 13496.906312
 126.282616, 13618.338732
 127.140058, 13740.598470
 127.997499, 13863.685527
 128.854941, 13987.599901
 129.712382, 14112.341594
 130.569824, 14237.910605
 131.427266, 14364.306934
 132.284707, 14491.530581
 133.142149, 14619.581546
 133.999590, 14748.459829
 134.857032, 14878.165431
 135.714474, 15008.698351
 136.571915, 15140.058588
 137.429357, 15272.246144
 138.286798, 15405.261018
 139.144240, 15539.103210
 140.001682, 15673.772720
 140.859123, 15809.269549
 141.716565, 15958.366778
 142.574006, 16126.575024
 143.431448, 16295.797927
 144.288890, 16466.035487
 145.146331, 16637.287705
 146.003773, 16809.554580
 146.861215, 16982.836112
 147.718656, 17157.132301
 148.576098, 17332.443148
 149.433539, 17508.768652
 150.290981, 17686.108813
 151.148423, 17864.463631
