Speed, Powers
  57.086999, 2350256.300520
  58.091527, 2371471.796759
  59.096054, 2391863.681569
  60.100582, 2411378.261661
  61.105109, 2430186.074560
  62.109637, 2448287.120265
  63.114164, 2465681.398777
  64.118692, 2482368.910095
  65.123219, 2498349.654220
  66.127747, 2513623.631151
  67.132274, 2528190.840889
  68.136802, 2542051.283434
  69.141329, 2555204.958785
  70.145857, 2567651.866942
  71.150384, 2581626.288837
  72.154912, 2595747.440071
  73.159439, 2609246.920748
  74.163967, 2622124.730868
  75.168494, 2634380.870431
  76.173022, 2646015.339437
  77.177549, 2657028.137886
  78.182077, 2667419.265778
  79.186604, 2677188.723114
  80.191132, 2686336.509892
  81.195659, 2694862.626114
  82.200187, 2702943.810171
  83.204714, 2713210.617538
  84.209242, 2722927.754423
  85.213769, 2732095.220827
  86.218297, 2740713.016749
  87.222824, 2748781.142190
  88.227352, 2756299.597149
  89.231879, 2763268.381627
  90.236407, 2769687.495624
  91.240934, 2775556.939139
  92.245462, 2780876.712172
  93.249989, 2785646.814724
  94.254517, 2790998.390155
  95.259044, 2797700.693083
  96.263572, 2803917.007813
  97.268099, 2809647.334347
  98.272627, 2814891.672684
  99.277154, 2819650.022823
 100.281682, 2823922.384766
 101.286209, 2827708.758512
 102.290737, 2831009.144061
 103.295264, 2833823.541413
 104.299792, 2836151.950568
 105.304319, 2837994.371526
 106.308847, 2841427.891686
 107.313374, 2845325.195316
 108.317902, 2848792.810304
 109.322429, 2851830.736650
 110.326957, 2854438.974354
 111.331484, 2856617.523416
 112.336012, 2858366.383836
 113.340539, 2859685.555615
 114.345067, 2860575.038751
 115.349594, 2861034.833246
 116.354122, 2861064.939099
 117.358649, 2860716.136149
 118.363177, 2863122.466626
 119.367704, 2865154.021054
 120.372232, 2866810.799433
 121.376759, 2868092.801764
 122.381287, 2869000.028046
 123.385814, 2869532.478279
 124.390342, 2869690.152463
 125.394869, 2869473.050598
 126.399397, 2868881.172684
 127.403924, 2867914.518722
 128.408452, 2866573.088711
 129.412979, 2865610.951080
 130.417507, 2865797.993328
 131.422034, 2865645.261859
 132.426562, 2865152.756672
 133.431089, 2864320.477768
 134.435617, 2863148.425147
 135.440144, 2861636.598807
 136.444672, 2859784.998751
 137.449200, 2857593.624977
 138.453727, 2855062.477485
 139.458255, 2852191.556276
 140.462782, 2848980.861349
 141.467310, 2846407.590911
 142.471837, 2844031.263791
 143.476365, 2841336.413459
 144.480892, 2838323.039913
 145.485420, 2834991.143154
 146.489947, 2831340.723183
 147.494475, 2827371.779999
 148.499002, 2823084.313601
 149.503530, 2818478.323991
 150.508057, 2813553.811168
 151.512585, 2808310.775133
 152.517112, 2802749.215884
 153.521640, 2796723.594050
 154.526167, 2790373.273436
 155.530695, 2783702.469486
 156.535222, 2776711.182198
