Ground Roll Distance, Horizontal Forces
   0.000000,  379.884939
   0.000000,  383.789311
   0.000000,  410.146310
   0.000000,  415.334389
   0.000000,  420.495095
   0.000000,  425.628598
   0.000000,  430.735066
   0.000000,  430.938765
   0.000000,  431.346033
   0.000000,  431.508892
   0.000000,  431.577849
   0.000000,  431.715748
   0.000000,  431.727147
   0.000000,  431.733042
   0.000000,  431.736907
   0.000000,  431.739187
   0.000000,  431.740243
   0.000000,  431.740595
   0.000000, 9929.675842
   0.000000, 9929.691627
   0.000000, 9929.849480
   0.000000, 9931.428108
   0.000000, 9947.223798
   0.000000, 10106.125165
   0.000000, 11792.676459
   0.000000, 13800.660906
   0.000000, 15949.848979
   0.000000, 18215.056180
   0.000000, 20575.143655
   0.000000, 23006.223302
   0.000000, 25481.944315
   0.000000, 26195.928159
   0.000000, 26875.986465
   0.000000, 27126.121983
   0.000000, 27251.442033
   0.000000, 27364.747085
   0.000000, 28505.609712
   0.000000, 29552.244004
   0.000000, 30306.111060
   0.000000, 30573.818446
   0.000000, 30903.640535
   0.000000, 33212.183152
   0.000000, 33786.450093
   0.000000, 34404.903828
   0.000000, 34580.996653
   0.000000, 34672.559613
   0.000000, 34756.525008
   0.000000, 35587.031819
   0.000000, 37681.774410
   0.000000, 39618.030149
   0.000000, 39781.418101
   0.000000, 39889.108045
   0.000000, 39931.036766
   0.000000, 39973.838685
   0.000000, 40393.996513
   0.000000, 42166.084171
   0.000000, 42595.729133
   0.000000, 42810.521642
   0.000000, 42992.459718
   0.000000, 43153.731527
   0.000000, 43296.921392
   0.000000, 43423.550409
   0.000000, 43432.628171
   0.000000, 43439.073140
   0.000000, 43440.417094
