Vfailure/VsTO, Distance
   0.500000,  845.865496
   0.500551,  847.777371
   0.501101,  849.689247
   0.501652,  851.601122
   0.502202,  853.512997
   0.502753,  855.424872
   0.503303,  857.336748
   0.503854,  859.248623
   0.504404,  861.160498
   0.504955,  863.072373
   0.505506,  864.984249
   0.506056,  866.896124
   0.506607,  868.807999
   0.507157,  870.719874
   0.507708,  872.631750
   0.508258,  874.543625
   0.508809,  876.455500
   0.509359,  878.367375
   0.509910,  880.279251
   0.510460,  882.191126
   0.511011,  884.103001
   0.511562,  886.014876
   0.512112,  887.926752
   0.512663,  889.838627
   0.513213,  891.750502
   0.513764,  893.662377
   0.514314,  895.574253
   0.514865,  897.486128
   0.515415,  899.398003
   0.515966,  901.309878
   0.516517,  903.221754
   0.517067,  905.133629
   0.517618,  907.045504
   0.518168,  908.957379
   0.518719,  910.869255
   0.519269,  912.781130
   0.519820,  914.693005
   0.520370,  916.604880
   0.520921,  918.516756
   0.521471,  920.428631
   0.522022,  922.340506
   0.522573,  924.252381
   0.523123,  926.164257
   0.523674,  928.076132
   0.524224,  929.988007
   0.524775,  931.899882
   0.525325,  933.811758
   0.525876,  935.723633
   0.526426,  937.635508
   0.526977,  939.547383
   0.527528,  941.459259
   0.528078,  943.371134
   0.528629,  945.283009
   0.529179,  947.194884
   0.529730,  949.106760
   0.530280,  951.018635
   0.530831,  952.930510
   0.531381,  954.842385
   0.531932,  956.754261
   0.532482,  958.666136
   0.533033,  960.578011
   0.533584,  962.489886
   0.534134,  964.401762
   0.534685,  966.313637
   0.535235,  968.225512
   0.535786,  970.137387
   0.536336,  972.049263
   0.536887,  973.961138
   0.537437,  975.873013
   0.537988,  977.784888
   0.538539,  979.696764
   0.539089,  981.608639
   0.539640,  983.520514
   0.540190,  985.432389
   0.540741,  987.344265
   0.541291,  989.256140
   0.541842,  991.168015
   0.542392,  993.079890
   0.542943,  994.991766
   0.543493,  996.903641
   0.544044,  998.815516
   0.544595, 1000.727391
   0.545145, 1002.639267
   0.545696, 1004.551142
   0.546246, 1006.463017
   0.546797, 1008.374892
   0.547347, 1010.286768
   0.547898, 1012.198643
   0.548448, 1014.110518
   0.548999, 1016.022393
   0.549550, 1017.934269
   0.550100, 1019.846144
   0.550651, 1021.758019
   0.551201, 1023.669894
   0.551752, 1025.581770
   0.552302, 1027.493645
   0.552853, 1029.405520
   0.553403, 1031.317395
   0.553954, 1033.229271
   0.554505, 1035.141146
   0.555055, 1037.053021
   0.555606, 1038.964896
   0.556156, 1040.876772
   0.556707, 1042.788647
   0.557257, 1044.700522
   0.557808, 1046.612397
   0.558358, 1048.524273
   0.558909, 1050.436148
