Mach, Efficiency
   0.184383,   14.635897
   0.186763,   14.783323
   0.189143,   14.922335
   0.191523,   15.052810
   0.193903,   15.174699
   0.196283,   15.288028
   0.198663,   15.392787
   0.201043,   15.487569
   0.203423,   15.573733
   0.205803,   15.651586
   0.208183,   15.721504
   0.210563,   15.783938
   0.212943,   15.836313
   0.215323,   15.880239
   0.217703,   15.917724
   0.220082,   15.947387
   0.222462,   15.967304
   0.224842,   15.982270
   0.227222,   15.988444
   0.229602,   15.987508
   0.231982,   15.981858
   0.234362,   15.966134
   0.236742,   15.948454
   0.239122,   15.919476
   0.241502,   15.889579
   0.243882,   15.849188
   0.246262,   15.808609
   0.248642,   15.757194
   0.251022,   15.705578
   0.253402,   15.645638
   0.255782,   15.583462
   0.258162,   15.516824
   0.260542,   15.444644
   0.262922,   15.372480
   0.265302,   15.291598
   0.267682,   15.210168
   0.270062,   15.126829
   0.272442,   15.036809
   0.274822,   14.947079
   0.277202,   14.854922
   0.279582,   14.757452
   0.281962,   14.660434
   0.284342,   14.562454
   0.286722,   14.458566
   0.289102,   14.355302
   0.291482,   14.252667
   0.293862,   14.145089
   0.296242,   14.036608
   0.298622,   13.928923
   0.301001,   13.821727
   0.303381,   13.709021
   0.305761,   13.597272
   0.308141,   13.486478
   0.310521,   13.376636
   0.312901,   13.261967
   0.315281,   13.148175
   0.317661,   13.035478
   0.320041,   12.923871
   0.322421,   12.810881
   0.324801,   12.696142
   0.327181,   12.582619
   0.329561,   12.470301
   0.331941,   12.359178
   0.334321,   12.247102
   0.336701,   12.133680
   0.339081,   12.021557
   0.341461,   11.910718
   0.343841,   11.801151
   0.346221,   11.692841
   0.348601,   11.582336
   0.350981,   11.472516
   0.353361,   11.364032
   0.355741,   11.256868
   0.358121,   11.151008
   0.360501,   11.046433
   0.362881,   10.941392
   0.365261,   10.835923
   0.367641,   10.731799
   0.370021,   10.629000
   0.372401,   10.527507
   0.374781,   10.427301
   0.377161,   10.328365
   0.379541,   10.229965
   0.381920,   10.130654
   0.384300,   10.032650
   0.386680,    9.935933
   0.389060,    9.840483
   0.391440,    9.746280
   0.393820,    9.653305
   0.396200,    9.561540
   0.398580,    9.470965
   0.400960,    9.379589
   0.403340,    9.289078
   0.405720,    9.199776
   0.408100,    9.111665
   0.410480,    9.024725
   0.412860,    8.938936
   0.415240,    8.854282
   0.417620,    8.770743
   0.420000,    8.688301
