Mach, Climb Angle
   0.236390,    3.342972
   0.238245,    3.331056
   0.240100,    3.320240
   0.241954,    3.308568
   0.243809,    3.295259
   0.245664,    3.281357
   0.247518,    3.266274
   0.249373,    3.250116
   0.251228,    3.238220
   0.253082,    3.227220
   0.254937,    3.215977
   0.256791,    3.203154
   0.258646,    3.190051
   0.260501,    3.175591
   0.262355,    3.160776
   0.264210,    3.144679
   0.266065,    3.128304
   0.267919,    3.110571
   0.269774,    3.092796
   0.271629,    3.073431
   0.273483,    3.054115
   0.275338,    3.033430
   0.277193,    3.012476
   0.279047,    2.990750
   0.280902,    2.968165
   0.282756,    2.945580
   0.284611,    2.921375
   0.286466,    2.897186
   0.288320,    2.872305
   0.290175,    2.846498
   0.292030,    2.820696
   0.293884,    2.793753
   0.295739,    2.766339
   0.297594,    2.738920
   0.299448,    2.710163
   0.301303,    2.684116
   0.303158,    2.659315
   0.305012,    2.633243
   0.306867,    2.606847
   0.308721,    2.580428
   0.310576,    2.553074
   0.312431,    2.525073
   0.314285,    2.497039
   0.316140,    2.468691
   0.317995,    2.439091
   0.319849,    2.409450
   0.321704,    2.379768
   0.323559,    2.349219
   0.325413,    2.317982
   0.327268,    2.286695
   0.329123,    2.255359
   0.330977,    2.222975
   0.332832,    2.190098
   0.334686,    2.157164
   0.336541,    2.124172
   0.338396,    2.090340
   0.340250,    2.055825
   0.342105,    2.021246
   0.343960,    1.986601
   0.345814,    1.951729
   0.347669,    1.915584
   0.349524,    1.879366
   0.351378,    1.845799
   0.353233,    1.813100
   0.355088,    1.779882
   0.356942,    1.745701
   0.358797,    1.711440
   0.360651,    1.677100
   0.362506,    1.642679
   0.364361,    1.607965
   0.366215,    1.572085
   0.368070,    1.536119
   0.369925,    1.500066
   0.371779,    1.463927
   0.373634,    1.427701
   0.375489,    1.390695
   0.377343,    1.353031
   0.379198,    1.315274
   0.381053,    1.277424
   0.382907,    1.239481
   0.384762,    1.201446
   0.386616,    1.162798
   0.388471,    1.123350
   0.390326,    1.083803
   0.392180,    1.044157
   0.394035,    1.004413
   0.395890,    0.964571
   0.397744,    0.924629
   0.399599,    0.883752
   0.401454,    0.845008
   0.403308,    0.806873
   0.405163,    0.768633
   0.407018,    0.730290
   0.408872,    0.691842
   0.410727,    0.653289
   0.412581,    0.614299
   0.414436,    0.574390
   0.416291,    0.534371
   0.418145,    0.494243
   0.420000,    0.454005
