Speed (TAS), Climb Angle
  67.983794,    1.687203
  68.713838,    1.681091
  69.443881,    1.674590
  70.173925,    1.665906
  70.903969,    1.655151
  71.634012,    1.642442
  72.364056,    1.627898
  73.094099,    1.611565
  73.824143,    1.592868
  74.554187,    1.572608
  75.284230,    1.550920
  76.014274,    1.527415
  76.744318,    1.502030
  77.474361,    1.475526
  78.204405,    1.447284
  78.934448,    1.417430
  79.664492,    1.386791
  80.394536,    1.353829
  81.124579,    1.320227
  81.854623,    1.284912
  82.584666,    1.248562
  83.314710,    1.210886
  84.044754,    1.172015
  84.774797,    1.135429
  85.504841,    1.099398
  86.234884,    1.062120
  86.964928,    1.024061
  87.694972,    0.984428
  88.425015,    0.944606
  89.155059,    0.902627
  89.885103,    0.860535
  90.615146,    0.817011
  91.345190,    0.772571
  92.075233,    0.727891
  92.805277,    0.681121
  93.535321,    0.634206
  94.265364,    0.586519
  94.995408,    0.537282
  95.725451,    0.487883
  96.455495,    0.437582
  97.185539,    0.385875
  97.915582,    0.333990
  98.645626,    0.281496
  99.375670,    0.227322
 100.105713,    0.172956
 100.835757,    0.118905
 101.565800,    0.066724
 102.295844,    0.014019
 103.025888,   -0.038891
 103.755931,   -0.092305
 104.485975,   -0.147463
 105.216018,   -0.202840
 105.946062,   -0.258437
 106.676106,   -0.314573
 107.406149,   -0.372392
 108.136193,   -0.430444
 108.866236,   -0.488728
 109.596280,   -0.547244
 110.326324,   -0.607434
 111.056367,   -0.668153
 111.786411,   -0.729117
 112.516455,   -0.790325
 113.246498,   -0.851890
 113.976542,   -0.915262
 114.706585,   -0.978890
 115.436629,   -1.042774
 116.166673,   -1.106913
 116.896716,   -1.171309
 117.626760,   -1.234926
 118.356803,   -1.297369
 119.086847,   -1.360079
 119.816891,   -1.423056
 120.546934,   -1.486299
 121.276978,   -1.549808
 122.007022,   -1.615082
 122.737065,   -1.680695
 123.467109,   -1.746585
 124.197152,   -1.812751
 124.927196,   -1.879194
 125.657240,   -1.945914
 126.387283,   -2.013526
 127.117327,   -2.082305
 127.847370,   -2.151370
 128.577414,   -2.220721
 129.307458,   -2.290358
 130.037501,   -2.360283
 130.767545,   -2.430494
 131.497589,   -2.501000
 132.227632,   -2.573224
 132.957676,   -2.645743
 133.687719,   -2.718530
 134.417763,   -2.790278
 135.147807,   -2.862321
 135.877850,   -2.934661
 136.607894,   -3.007296
 137.337937,   -3.080228
 138.067981,   -3.154198
 138.798025,   -3.229101
 139.528068,   -3.304308
 140.258112,   -3.379821
