Mach, Rate of Climb
   0.236390,    0.890575
   0.238245,    0.892918
   0.240100,    0.896452
   0.241954,    0.898772
   0.243809,    0.898549
   0.245664,    0.897119
   0.247518,    0.894276
   0.249373,    0.889109
   0.251228,    0.883035
   0.253082,    0.874638
   0.254937,    0.871323
   0.256791,    0.867017
   0.258646,    0.861002
   0.260501,    0.853823
   0.262355,    0.844590
   0.264210,    0.834419
   0.266065,    0.822078
   0.267919,    0.808803
   0.269774,    0.793486
   0.271629,    0.776998
   0.273483,    0.758859
   0.275338,    0.739056
   0.277193,    0.718274
   0.279047,    0.695059
   0.280902,    0.671465
   0.282756,    0.645120
   0.284611,    0.617968
   0.286466,    0.589381
   0.288320,    0.558588
   0.290175,    0.527304
   0.292030,    0.493508
   0.293884,    0.458451
   0.295739,    0.422848
   0.297594,    0.384046
   0.299448,    0.344545
   0.301303,    0.304346
   0.303158,    0.263346
   0.305012,    0.224538
   0.306867,    0.185137
   0.308721,    0.142579
   0.310576,    0.099190
   0.312431,    0.055152
   0.314285,    0.008709
   0.316140,   -0.039414
   0.317995,   -0.088243
   0.319849,   -0.138155
   0.321704,   -0.191155
   0.323559,   -0.244917
   0.325413,   -0.299443
   0.327268,   -0.355832
   0.329123,   -0.414658
   0.330977,   -0.474304
   0.332832,   -0.534773
   0.334686,   -0.597171
   0.336541,   -0.662057
   0.338396,   -0.727821
   0.340250,   -0.794465
   0.342105,   -0.862306
   0.343960,   -0.933471
   0.345814,   -1.005572
   0.347669,   -1.078612
   0.349524,   -1.152595
   0.351378,   -1.228754
   0.353233,   -1.302068
   0.355088,   -1.376321
   0.356942,   -1.451518
   0.358797,   -1.527661
   0.360651,   -1.606119
   0.362506,   -1.686932
   0.364361,   -1.768747
   0.366215,   -1.851565
   0.368070,   -1.935393
   0.369925,   -2.020438
   0.371779,   -2.109041
   0.373634,   -2.198705
   0.375489,   -2.289436
   0.377343,   -2.381237
   0.379198,   -2.474112
   0.381053,   -2.568495
   0.382907,   -2.666280
   0.384762,   -2.765191
   0.386616,   -2.865234
   0.388471,   -2.966412
   0.390326,   -3.068730
   0.392180,   -3.172192
   0.394035,   -3.278626
   0.395890,   -3.387157
   0.397744,   -3.496884
   0.399599,   -3.607812
   0.401454,   -3.717804
   0.403308,   -3.827414
   0.405163,   -3.938202
   0.407018,   -4.051550
   0.408872,   -4.167471
   0.410727,   -4.284622
   0.412581,   -4.403009
   0.414436,   -4.522635
   0.416291,   -4.643505
   0.418145,   -4.765625
   0.420000,   -4.888997
