Speed, Forces
  71.997487, 11704.130737
  72.713909, 11619.108920
  73.430330, 11533.645958
  74.146752, 11453.104767
  74.863174, 11377.162999
  75.579595, 11305.606300
  76.296017, 11240.484955
  77.012439, 11179.237395
  77.728860, 11121.504740
  78.445282, 11068.973337
  79.161704, 11020.838549
  79.878126, 10975.402561
  80.594547, 10935.351089
  81.310969, 10898.591059
  82.027391, 10864.614110
  82.743812, 10836.023598
  83.460234, 10808.743733
  84.176656, 10787.198862
  84.893077, 10767.020464
  85.609499, 10751.573778
  86.325921, 10737.905158
  87.042343, 10728.563521
  87.758764, 10720.781674
  88.475186, 10717.541510
  89.191608, 10714.992116
  89.908029, 10717.839412
  90.624451, 10720.709487
  91.340873, 10728.747137
  92.057294, 10737.727604
  92.773716, 10749.512843
  93.490138, 10764.567070
  94.206560, 10779.737103
  94.922981, 10800.423850
  95.639403, 10821.664479
  96.355825, 10844.452153
  97.072246, 10871.704130
  97.788668, 10899.157979
  98.505090, 10928.958073
  99.221511, 10962.394009
  99.937933, 10996.072241
 100.654355, 11031.822729
 101.370777, 11071.439867
 102.087198, 11111.337985
 102.803620, 11151.914210
 103.520042, 11197.694136
 104.236463, 11243.791988
 104.952885, 11290.207764
 105.669307, 11339.915303
 106.385728, 11392.177075
 107.102150, 11444.791978
 107.818572, 11497.760010
 108.534994, 11555.142129
 109.251415, 11613.902948
 109.967837, 11673.050362
 110.684259, 11732.584370
 111.400680, 11796.079949
 112.117102, 11861.336137
 112.833524, 11927.010645
 113.549945, 11993.103473
 114.266367, 12061.047006
 114.982789, 12132.774009
 115.699210, 12204.949318
 116.415632, 12277.572931
 117.132054, 12350.644849
 117.848476, 12426.346914
 118.564897, 12504.975851
 119.281319, 12584.081339
 119.997741, 12663.663377
 120.714162, 12743.721967
 121.430584, 12825.032700
 122.147006, 12910.550274
 122.863427, 12996.570904
 123.579849, 13083.094592
 124.296271, 13170.121335
 125.012693, 13257.651135
 125.729114, 13347.101113
 126.445536, 13439.995753
 127.161958, 13533.418216
 127.878379, 13627.368501
 128.594801, 13721.846609
 129.311223, 13816.852539
 130.027644, 13912.386292
 130.744066, 14011.924928
 131.460488, 14112.728045
 132.176910, 14214.082012
 132.893331, 14315.986827
 133.609753, 14418.442491
 134.326175, 14521.449004
 135.042596, 14625.006366
 135.759018, 14731.334864
 136.475440, 14840.038279
 137.191861, 14949.313830
 137.908283, 15059.161515
 138.624705, 15169.581336
 139.341127, 15280.573293
 140.057548, 15392.137385
 140.773970, 15504.273612
 141.490392, 15618.223667
 142.206813, 15735.374346
 142.923235, 15853.116707
