Ground distance, Fuel used
   0.000000,    0.000000
  18.623565,    0.031660
  37.247175,    0.063321
  55.870786,    0.094982
  74.494962,    0.126646
  93.119186,    0.158310
 111.743410,    0.189974
 130.367634,    0.221638
 148.991858,    0.253302
 167.616082,    0.284966
 186.240306,    0.316630
 204.864530,    0.348295
 223.488754,    0.379959
 242.112977,    0.411623
 260.737998,    0.443292
 279.363086,    0.474961
 297.988174,    0.506631
 316.613263,    0.538300
 335.238351,    0.569970
 353.863439,    0.601639
 372.488528,    0.633309
 391.113616,    0.664978
 409.738704,    0.696648
 428.363793,    0.728317
 446.989654,    0.759992
 465.615581,    0.791666
 484.241508,    0.823341
 502.867434,    0.855016
 521.493361,    0.886691
 540.119288,    0.918366
 558.745215,    0.950040
 577.371142,    0.981715
 595.997069,    1.013390
 614.622996,    1.045065
 633.249675,    1.076745
 651.876418,    1.108425
 670.503161,    1.140105
 689.129904,    1.171785
 707.756647,    1.203465
 726.383391,    1.235145
 745.010134,    1.266826
 763.636877,    1.298506
 782.263620,    1.330186
 800.890363,    1.361866
 819.517981,    1.393551
 838.145674,    1.425237
 856.773367,    1.456922
 875.401060,    1.488608
 894.028753,    1.520293
 912.656445,    1.551979
 931.284138,    1.583664
 949.911831,    1.615350
 968.539524,    1.647035
 987.167217,    1.678720
1005.795774,    1.710411
1024.424405,    1.742102
1043.053035,    1.773793
1061.681666,    1.805483
1080.310297,    1.837174
1098.938928,    1.868865
1117.567558,    1.900556
1136.196189,    1.932247
1154.824820,    1.963938
1173.453451,    1.995628
1192.082866,    2.027324
1210.712349,    2.059020
1229.341832,    2.090716
1247.971314,    2.122413
1266.600797,    2.154109
1285.230280,    2.185805
1303.859762,    2.217501
1322.489245,    2.249197
1341.118728,    2.280893
1359.748210,    2.312590
1378.378445,    2.344291
1397.008744,    2.375992
1415.639042,    2.407693
1434.269341,    2.439395
1452.899640,    2.471096
1471.529938,    2.502798
1490.160237,    2.534499
1508.790536,    2.566201
1527.420834,    2.597902
1546.051133,    2.629604
1564.682295,    2.661310
1583.313531,    2.693017
1601.944767,    2.724724
1620.576003,    2.756430
1639.207239,    2.788137
1657.838475,    2.819844
1676.469711,    2.851551
1695.100947,    2.883257
1713.732183,    2.914964
1732.363419,    2.946671
1750.995497,    2.978383
1769.627648,    3.010095
1788.259798,    3.041807
1806.891949,    3.073519
1825.524100,    3.105231
1844.156250,    3.136943
1862.788401,    3.168655
1881.420551,    3.200367
1900.052702,    3.232079
1918.684852,    3.263791
1937.317759,    3.295508
1955.950729,    3.327226
1974.583700,    3.358943
1993.216670,    3.390660
2011.849641,    3.422378
2030.482612,    3.454095
2049.115582,    3.485812
2067.748553,    3.517530
2086.381523,    3.549247
2105.014494,    3.580965
2123.648181,    3.612687
2142.281929,    3.644409
2160.915678,    3.676132
2179.549426,    3.707855
2198.183174,    3.739577
2216.816923,    3.771300
2235.450671,    3.803023
2254.084419,    3.834745
2272.718168,    3.866468
2291.351916,    3.898190
2309.986491,    3.929918
2328.621136,    3.961646
2347.255781,    3.993374
2365.890427,    4.025102
2384.525072,    4.056830
2403.159717,    4.088557
2421.794362,    4.120285
2440.429008,    4.152013
2459.063653,    4.183741
2477.698298,    4.215469
2496.333749,    4.247202
2514.969268,    4.278935
2533.604788,    4.310668
2552.240307,    4.342401
2570.875826,    4.374135
2589.511346,    4.405868
2608.146865,    4.437601
2626.782384,    4.469334
2645.417904,    4.501067
2664.053423,    4.532801
2682.689663,    4.564539
2701.325965,    4.596277
2719.962266,    4.628015
2738.598568,    4.659754
2757.234869,    4.691492
2775.871171,    4.723231
2794.507472,    4.754969
2813.143774,    4.786708
2831.780075,    4.818446
2850.416377,    4.850184
2869.053365,    4.881928
2887.690413,    4.913671
2906.327460,    4.945415
2924.964507,    4.977159
2943.601554,    5.008902
2962.238601,    5.040646
2980.875648,    5.072390
2999.512696,    5.104133
3018.149743,    5.135877
3036.786790,    5.167621
3055.424640,    5.199369
3074.062559,    5.231118
3092.700478,    5.262867
3111.338397,    5.294616
3129.976316,    5.326365
3148.614234,    5.358114
3167.252153,    5.389863
3185.890072,    5.421611
3204.527991,    5.453360
3223.165910,    5.485109
3241.804619,    5.516863
3260.443396,    5.548617
3279.082173,    5.580371
3297.720950,    5.612125
3316.359727,    5.643880
3334.998504,    5.675634
3353.637280,    5.707388
3372.276057,    5.739142
3390.914834,    5.770896
