Time, Energies
   0.000000,    0.000000
   0.000028, 2444.773679
   0.000056, 9740.254274
   0.000083, 21865.586298
   0.000111, 38806.908668
   0.000139, 60548.611697
   0.000167, 87075.085702
   0.000194, 118370.720998
   0.000222, 154419.907899
   0.000250, 195207.036720
   0.000278, 240716.497777
   0.000306, 290932.681385
   0.000333, 345534.801655
   0.000361, 404721.816578
   0.000389, 468513.496207
   0.000417, 536894.605568
   0.000444, 609849.909688
   0.000472, 687364.173593
   0.000500, 769422.162309
   0.000528, 856008.640863
   0.000556, 947108.374281
   0.000583, 1042706.127590
   0.000611, 1142222.646162
   0.000639, 1246084.577393
   0.000667, 1354344.437915
   0.000694, 1466987.374107
   0.000722, 1583998.532346
   0.000750, 1705363.059013
   0.000778, 1831066.100483
   0.000806, 1961092.803137
   0.000833, 2095428.313353
   0.000861, 2234057.777508
   0.000889, 2376141.744757
   0.000917, 2522336.264316
   0.000944, 2672726.832511
   0.000972, 2827298.982563
   0.001000, 2986038.247693
   0.001028, 3148930.161125
   0.001056, 3315960.256078
   0.001083, 3487114.065776
   0.001111, 3662377.123439
   0.001139, 3841734.962290
   0.001167, 4024088.284133
   0.001194, 4210322.414648
   0.001222, 4400555.801355
   0.001250, 4594774.368684
   0.001278, 4792964.041064
   0.001306, 4995110.742923
   0.001333, 5201200.398693
   0.001361, 5411218.932801
   0.001389, 5625152.269678
   0.001417, 5842986.333754
   0.001444, 6061106.608760
   0.001472, 6282426.303782
   0.001500, 6507363.338593
   0.001528, 6735899.053973
   0.001556, 6968014.790703
   0.001583, 7203691.889560
   0.001611, 7442911.691326
   0.001639, 7685655.536779
   0.001667, 7931904.766700
   0.001694, 8181640.721868
   0.001722, 8432015.296210
   0.001750, 8685379.145058
   0.001778, 8942060.133982
   0.001806, 9202039.105707
   0.001833, 9465296.902954
   0.001861, 9731814.368449
   0.001889, 10001572.344915
   0.001917, 10274551.675075
   0.001944, 10550733.201652
   0.001972, 10830097.767371
   0.002000, 11110279.816472
   0.002028, 11393262.101796
   0.002056, 11679316.151494
   0.002083, 11968423.579663
   0.002111, 12260566.000396
   0.002139, 12555725.027787
   0.002167, 12853882.275931
   0.002194, 13155019.358923
   0.002222, 13459117.890856
   0.002250, 13766159.485824
   0.002278, 14073540.340552
   0.002306, 14383457.463054
   0.002333, 14696213.236120
   0.002361, 15011790.031021
   0.002389, 15330170.219028
   0.002417, 15651336.171411
   0.002444, 15975270.259442
   0.002472, 16301954.854391
   0.002500, 16631372.327529
   0.002528, 16963505.050127
   0.002556, 17295534.484839
   0.002583, 17629851.221133
   0.002611, 17966785.539385
   0.002639, 18306320.552680
   0.002667, 18648439.374103
   0.002694, 18993125.116738
   0.002722, 19340360.893671
   0.002750, 19690129.817987
   0.002778, 20042415.002771
   0.002806, 20397199.561107
   0.002833, 20751473.823728
   0.002861, 21107801.187316
   0.002889, 21466536.859305
   0.002917, 21827664.678198
   0.002944, 22191168.482499
   0.002972, 22557032.110711
   0.003000, 22925239.401336
   0.003028, 23295774.192878
   0.003056, 23668620.323840
   0.003083, 24043761.632725
   0.003111, 24404626.415720
   0.003139, 24765182.558303
   0.003167, 25127446.225030
   0.003194, 25491395.905618
   0.003222, 25857010.089784
   0.003250, 26224267.267245
   0.003278, 26593145.927716
   0.003306, 26963624.560916
   0.003333, 27335681.656560
   0.003361, 27709295.704365
   0.003389, 28079906.905002
   0.003417, 28451423.814446
   0.003444, 28824390.059196
   0.003472, 29198785.096524
   0.003500, 29574588.383699
   0.003528, 29951779.377994
   0.003556, 30330337.536680
   0.003583, 30710242.317028
   0.003611, 31091473.176308
   0.003639, 31474009.571793
   0.003667, 31854023.449444
   0.003694, 32234815.794718
   0.003722, 32616842.013039
   0.003750, 33000082.772763
   0.003778, 33384518.742246
   0.003806, 33770130.589842
   0.003833, 34156898.983907
   0.003861, 34544804.592796
   0.003889, 34933828.084866
   0.003917, 35323950.128472
   0.003944, 35711371.005202
   0.003972, 36099375.168337
   0.004000, 36488416.145537
   0.004028, 36878475.759811
   0.004056, 37269535.834170
   0.004083, 37661578.191624
   0.004111, 38054584.655183
   0.004139, 38448537.047857
   0.004167, 38843417.192656
   0.004194, 39239206.912590
   0.004222, 39632164.807626
   0.004250, 40025531.950296
   0.004278, 40419756.154857
   0.004306, 40814820.343647
   0.004333, 41210707.439003
   0.004361, 41607400.363262
   0.004389, 42004882.038762
   0.004417, 42403135.387840
   0.004444, 42802143.332833
   0.004472, 43201888.796078
   0.004500, 43598715.574359
   0.004528, 43995797.244376
   0.004556, 44393572.461201
   0.004583, 44792025.192423
   0.004611, 45191139.405634
   0.004639, 45590899.068423
   0.004667, 45991288.148379
   0.004694, 46392290.613092
   0.004722, 46793890.430153
   0.004750, 47196071.567151
   0.004778, 47595356.694662
   0.004806, 47994770.877132
   0.004833, 48394731.929040
   0.004861, 48795224.822924
   0.004889, 49196234.531319
   0.004917, 49597746.026762
   0.004944, 49999744.281788
   0.004972, 50402214.268933
   0.005000, 50805140.960735
   0.005028, 51208509.329728
   0.005056, 51611040.068470
   0.005083, 52013868.319712
   0.005111, 52417140.461814
   0.005139, 52820842.482818
   0.005167, 53224960.370770
   0.005194, 53629480.113714
   0.005211, 53866377.089328
   0.005238, 54269632.986417
   0.005266, 54673262.643926
   0.005294, 55077252.492712
   0.005322, 55479704.304798
   0.005350, 55880412.311606
   0.005377, 56281458.282579
   0.005405, 56682829.570936
   0.005433, 57084513.529895
   0.005461, 57486497.512674
   0.005488, 57888768.872492
   0.005516, 58291314.962568
   0.005544, 58694123.136121
   0.005572, 59097180.746367
   0.005600, 59497388.393952
   0.005627, 59894423.073100
   0.005655, 60291705.498734
   0.005683, 60689224.499281
   0.005711, 61086968.903167
   0.005738, 61484927.538822
   0.005766, 61883089.234670
   0.005794, 62281442.819140
   0.005822, 62679977.120659
   0.005850, 63078680.967654
   0.005877, 63474168.721250
   0.005905, 63866093.029879
   0.005933, 64258197.161707
   0.005961, 64650471.494415
   0.005988, 65042906.405680
   0.006016, 65435492.273184
   0.006044, 65828219.474606
   0.006072, 66221078.387624
   0.006100, 66614059.389918
   0.006127, 67007152.859169
   0.006142, 67213891.785115
   0.006170, 67573301.097809
   0.006198, 67932931.770800
   0.006225, 68292780.069667
   0.006253, 68652842.259989
   0.006281, 69013114.607346
   0.006309, 69373593.377317
   0.006336, 69734274.835482
   0.006364, 70095155.247419
   0.006392, 70456230.878709
   0.006420, 70817497.994929
   0.006448, 71151977.541303
   0.006475, 71486620.544942
   0.006503, 71821425.998141
   0.006531, 72156392.893195
   0.006559, 72491520.222399
   0.006586, 72812132.062752
   0.006614, 73132838.194963
   0.006642, 73453638.362919
   0.006670, 73774532.310507
   0.006698, 74095519.781614
   0.006725, 74400920.888172
   0.006753, 74706306.226648
   0.006781, 75011675.796923
   0.006809, 75317029.598876
   0.006836, 75622367.632390
   0.006836,    0.000000
   0.026757, 202515772.927276
   0.047086, 409595790.542863
   0.068071, 616182153.928247
   0.090566, 812828929.700740
   0.115349, 1017392395.264740
   0.142786, 1234357647.029008
   0.173432, 1463354056.555666
   0.208269, 1707844405.713891
   0.249702, 1959091874.640031
   0.249702,    0.000000
   0.263354, 101903731.867630
   0.277005, 203762004.132926
   0.290657, 305574827.876187
   0.304309, 407342214.177769
   0.317960, 509064174.118082
   0.331612, 610740718.777587
   0.345264, 712371859.236798
   0.358916, 813957606.576276
   0.372567, 915497971.876633
   0.386219, 1016992966.218526
   0.399871, 1118442600.682657
   0.413522, 1219846886.349772
   0.427174, 1321205834.300656
   0.440826, 1422519455.616141
   0.454478, 1523787761.377091
   0.468129, 1625010762.664413
   0.481781, 1726188470.559045
   0.495433, 1827320896.141964
   0.509085, 1928408050.494176
   0.522736, 2029449944.696723
   0.536388, 2130446589.830672
   0.550040, 2231397996.977121
   0.563691, 2332304177.217198
   0.577343, 2433165141.632051
   0.590995, 2533980901.302855
   0.604647, 2634751467.310805
   0.618298, 2735476850.737123
   0.631950, 2836157062.663041
   0.645602, 2936792114.169821
   0.645602,    0.000000
   0.664934, 67998428.963637
   0.684313, 127195142.900254
   0.703668, 176776443.189726
   0.722937, 216134881.719136
   0.742083, 245369136.503394
   0.761033, 263038867.774499
   0.779720, 268350236.833324
   0.798344, 273280608.226471
   0.816842, 268133994.762618
   0.816842,    0.000000
   0.826499, 98187454.709047
   0.836249, 197430557.405909
   0.846091, 297826267.898667
   0.856070, 397770512.083544
   0.866366, 493402424.032063
   0.877135, 589963990.513741
   0.888427, 687678172.145513
   0.900279, 787872571.537235
   0.912724, 890582046.525434
   0.912724,    0.000000
   0.943594, 116594048.588356
   0.974477, 232933549.769204
   1.005373, 349018727.502847
   1.036283, 464849806.076173
   1.067207, 580427010.101186
   1.098144, 695750564.513548
   1.129095, 810820694.571106
   1.160059, 925637625.852438
   1.191037, 1040201584.255383
   1.191037,    0.000000
   1.201810, 30229043.386870
   1.212414, 55714159.440119
   1.223061, 80490288.327638
   1.233751, 103542252.481701
   1.244489, 124969674.977224
   1.255271, 144671898.760814
   1.266093, 162686587.287960
   1.276950, 178794211.371932
   1.287824, 192553572.669792
   1.287824,    0.000000
   1.371157, 311145083.507475
   1.454491, 620571512.756501
   1.537824, 928306013.169712
   1.621157, 1234420500.304116
   1.704491, 1538884133.605824
   1.787824, 1841702638.138588
   1.871157, 2142881727.074807
   1.954491, 2442427101.684553
   2.037824, 2740344451.324814
   2.037824,    0.000000
   2.037852, 55746.986431
   2.037879, 111494.620383
   2.037907, 167242.901856
   2.037935, 222991.671444
   2.037963, 278740.970010
   2.037991, 334490.820857
   2.038018, 390241.223985
   2.038046, 445992.179396
   2.038074, 501743.687088
   2.038102, 557495.747062
   2.038129, 613248.359318
   2.038157, 669001.523855
   2.038185, 724755.240674
   2.038213, 780509.288548
   2.038241, 836263.810894
   2.038268, 892018.847758
   2.038296, 947774.399139
   2.038324, 1003530.465038
   2.038352, 1059287.045453
   2.038379, 1115044.140386
   2.038407, 1170801.749836
   2.038435, 1226559.873803
   2.038463, 1282318.512287
   2.038491, 1338077.626651
   2.038518, 1393837.244466
   2.038546, 1449597.372951
   2.038574, 1505358.012105
   2.038602, 1561119.161930
   2.038629, 1616880.822424
   2.038657, 1672642.993587
   2.038685, 1728405.675421
   2.038713, 1784168.867924
   2.038741, 1839932.571097
   2.038768, 1895694.127119
   2.038796, 1951455.504142
   2.038824, 2007217.205016
   2.038852, 2062979.229742
   2.038879, 2118741.578320
   2.038907, 2174504.250749
   2.038935, 2230267.247029
   2.038963, 2286030.567161
   2.038991, 2341794.211145
   2.039018, 2397558.178980
   2.039046, 2453325.461664
   2.039074, 2509093.800441
   2.039102, 2564862.625525
   2.039129, 2620631.936917
   2.039157, 2676401.734616
   2.039185, 2732172.018623
   2.039213, 2787942.788937
   2.039241, 2843714.045559
   2.039268, 2899485.788489
   2.039296, 2955258.017726
   2.039324, 3011029.264261
   2.039352, 3066800.651038
   2.039379, 3122572.459109
   2.039407, 3178344.688474
   2.039435, 3234117.339133
   2.039463, 3289890.411087
   2.039491, 3345663.904334
   2.039518, 3401437.818876
   2.039546, 3457212.154711
   2.039574, 3512986.911841
   2.039602, 3568762.347096
   2.039629, 3624538.262517
   2.039657, 3680314.608822
   2.039685, 3736091.386012
   2.039713, 3791868.594087
   2.039741, 3847646.233046
   2.039768, 3903424.302890
   2.039796, 3959202.803619
   2.039824, 4014981.735231
   2.039852, 4070761.097729
   2.039879, 4126543.555796
   2.039907, 4182327.043213
   2.039935, 4238111.047571
   2.039963, 4293895.568871
   2.039991, 4349680.607112
   2.040018, 4405466.162295
   2.040046, 4461252.234420
   2.040074, 4517038.823486
   2.040102, 4572825.929494
   2.040129, 4628613.552444
   2.040157, 4684398.836530
   2.040185, 4740184.006252
   2.040213, 4795969.611667
   2.040241, 4851755.652773
   2.040268, 4907542.129571
   2.040296, 4963329.042062
   2.040324, 5019116.390244
   2.040352, 5074904.174118
   2.040379, 5130692.393684
   2.040407, 5186481.048942
   2.040435, 5242270.036262
   2.040463, 5298059.436652
   2.040491, 5353849.270100
   2.040518, 5409639.536606
   2.040546, 5465430.236168
   2.040574, 5521221.368788
   2.040602, 5577012.934465
   2.040629, 5632804.933199
   2.040657, 5688597.364990
   2.040685, 5744390.229839
   2.040713, 5800175.658081
   2.040741, 5855959.819258
   2.040768, 5911744.232651
   2.040796, 5967528.898261
   2.040824, 6023313.816088
   2.040852, 6079098.986132
   2.040879, 6134884.408393
   2.040907, 6190670.082870
   2.040935, 6246456.009565
   2.040963, 6302242.188476
   2.040991, 6358027.069361
   2.041018, 6413811.870426
   2.041046, 6469596.891209
   2.041074, 6525382.131710
   2.041102, 6581167.591929
   2.041129, 6636953.271866
   2.041157, 6692739.171521
   2.041185, 6748525.290894
   2.041213, 6804311.629985
   2.041241, 6860098.188795
   2.041268, 6915884.559120
   2.041296, 6971671.062368
   2.041324, 7027457.777466
   2.041352, 7083244.704415
   2.041379, 7139031.843214
   2.041407, 7194819.193865
   2.041435, 7250606.756366
   2.041463, 7306394.530718
   2.041491, 7362182.516920
   2.041518, 7417970.714974
   2.041546, 7473763.803235
   2.041574, 7529558.091931
   2.041602, 7585352.675915
   2.041629, 7641147.555187
   2.041657, 7696942.729747
   2.041685, 7752738.199596
   2.041713, 7808533.964733
   2.041741, 7864330.025158
   2.041768, 7920126.380872
   2.041796, 7975923.031873
   2.041824, 8031714.993575
   2.041852, 8087506.202941
   2.041879, 8143297.624870
   2.041907, 8199089.259362
   2.041935, 8254881.106416
   2.041963, 8310673.166033
   2.041991, 8366465.438213
   2.042018, 8422257.922956
   2.042046, 8478050.620261
   2.042074, 8533843.530130
   2.042102, 8589637.060458
   2.042129, 8645430.888675
   2.042157, 8701224.935784
   2.042185, 8757019.201787
   2.042213, 8812813.686682
   2.042241, 8868608.390469
   2.042268, 8924403.313150
   2.042296, 8980198.454723
   2.042324, 9035993.815189
   2.042352, 9091789.394548
   2.042379, 9147591.836394
   2.042407, 9203395.881086
   2.042435, 9259200.241483
   2.042463, 9315004.917585
   2.042491, 9370809.909392
   2.042518, 9426615.216905
   2.042546, 9482420.840123
   2.042574, 9538226.779047
   2.042602, 9594033.033676
   2.042629, 9649839.604010
   2.042657, 9705641.306675
   2.042685, 9761442.249265
   2.042713, 9817243.436367
   2.042741, 9873044.867982
   2.042768, 9928846.544109
