Ground distance, CL
   0.000000,    0.801000
   2.424499,    0.801000
   5.462439,    0.801000
  12.335103,    0.801000
  20.303261,    0.801000
  32.061821,    0.801000
  44.903214,    0.801000
  61.489474,    0.801000
  79.145559,    0.801000
 100.499837,    0.801000
 122.910607,    0.801000
 148.971565,    0.801000
 176.075300,    0.801000
 206.772706,    0.801000
 238.496744,    0.801000
 273.747500,    0.801000
 310.005761,    0.801000
 349.723209,    0.801000
 390.428869,    0.801000
 434.526052,    0.801000
 479.592116,    0.801000
 527.981991,    0.801000
 577.321403,    0.801000
 629.916947,    0.801000
 683.442695,    0.801000
 740.151275,    0.801000
 797.769120,    0.801000
 858.483816,    0.801000
 920.083213,    0.801000
 984.692662,    0.801000
1050.162017,    0.801000
1118.555985,    0.801000
1187.785451,    0.801000
1259.855508,    0.801000
1332.737058,    0.801000
1408.376635,    0.801000
1484.804119,    0.801000
1563.908567,    0.801000
1643.777764,    0.801000
1726.244472,    0.801000
1809.453231,    0.801000
1895.182241,    0.801000
1981.631231,    0.801000
2070.525058,    0.801000
2160.117321,    0.801000
2200.785492,    0.801000
2293.597362,    0.824217
2387.036603,    0.877968
2482.607633,    1.035473
2578.807551,    1.191840
2677.144412,    1.344347
2776.064787,    1.491306
2876.967921,    1.619412
2954.927915,    1.718389
3057.582229,    1.898825
3077.370249,    1.933607
3180.626527,    1.933607
3284.089679,    1.933607
3385.321238,    1.933607
3446.657518,    1.495587
3550.017261,    1.438764
3653.377238,    1.412376
3756.736929,    1.399006
3860.096069,    1.393729
3963.455067,    1.392205
4066.814110,    1.391752
4121.766692,    1.391512
4225.125586,    1.392571
4328.484506,    1.393389
4431.843642,    1.394000
4535.203003,    1.394525
4638.562496,    1.394998
4741.922637,    1.394808
4845.283035,    1.394355
4948.643801,    1.394920
5052.004713,    1.395887
5155.365593,    1.396443
5258.726466,    1.396923
5362.086909,    1.397377
5465.447335,    1.397829
5568.807502,    1.398717
5672.167659,    1.399622
5775.528320,    1.400092
5878.889000,    1.400544
5927.296316,    1.401467
6030.656933,    1.400819
6134.017676,    1.401107
6237.378501,    1.402012
6340.739298,    1.402645
6444.100076,    1.403097
6547.460758,    1.403822
6650.821376,    1.404727
6754.182339,    1.405360
6857.543529,    1.405812
6960.904697,    1.406290
7064.265849,    1.406786
7167.626668,    1.407248
7270.987391,    1.407700
7374.347783,    1.408153
7477.708079,    1.408605
7581.068188,    1.409409
7684.428242,    1.410314
7787.788718,    1.410868
7891.149317,    1.411320
7994.509911,    1.411806
8097.870504,    1.412301
8201.230779,    1.412755
8304.591036,    1.413208
8407.951045,    1.413660
8511.311039,    1.414113
8614.671018,    1.414994
8718.030997,    1.415899
8821.390781,    1.416782
8924.750595,    1.416175
9028.110761,    1.417080
9131.470897,    1.417872
9234.830944,    1.418326
9338.190841,    1.418780
9441.550311,    1.419233
9544.909687,    1.419803
9648.268795,    1.420708
9751.628027,    1.421495
9854.987611,    1.421948
9958.347195,    1.422411
10061.706778,    1.422905
10165.066260,    1.423419
10268.425607,    1.423958
10294.126794,    1.424092
10397.486203,    1.367036
10500.845660,    1.334670
10604.205063,    1.325561
10707.564467,    1.320202
10810.923873,    1.320676
10914.283176,    1.321574
11017.642367,    1.322931
11121.001251,    1.344547
11224.359801,    1.388091
11327.718152,    1.416253
11431.076352,    1.432721
11534.434758,    1.441256
11637.793278,    1.445418
11741.151948,    1.446805
11844.510605,    1.447737
11947.869183,    1.448190
12051.227660,    1.448642
12154.585841,    1.449095
12257.944024,    1.449857
12361.302244,    1.449533
12464.660361,    1.449985
12568.018387,    1.450438
12671.376091,    1.450890
12774.733770,    1.451690
12878.091433,    1.451281
12981.448963,    1.451734
13084.806456,    1.452186
13188.163567,    1.452639
13291.520676,    1.453207
13394.877791,    1.453104
13498.234741,    1.453556
13601.591687,    1.454206
13704.948590,    1.454093
13808.305400,    1.454546
13911.662151,    1.455751
14015.018598,    1.455119
14118.374938,    1.455572
14221.731097,    1.456024
14325.087118,    1.456477
14428.442904,    1.456929
14531.798512,    1.457382
14635.154070,    1.458327
14738.509600,    1.457772
14841.865026,    1.458224
14945.220269,    1.458677
15048.575270,    1.459129
15151.930267,    1.460173
15255.285215,    1.459604
15358.640052,    1.460056
15461.994871,    1.461057
15565.349628,    1.460592
15668.704332,    1.461045
15772.058862,    1.462025
15875.413308,    1.461459
15978.767827,    1.462364
16082.122398,    1.463471
16185.477173,    1.463113
16288.831663,    1.463416
16392.186119,    1.463868
16495.540362,    1.464657
16598.894736,    1.463990
16702.249197,    1.464442
16805.603636,    1.464895
16908.957974,    1.465347
17012.312253,    1.465800
17115.666247,    1.466252
17219.020215,    1.467002
17322.374108,    1.466679
17425.727867,    1.467131
17529.081585,    1.467584
17632.434982,    1.468036
17735.788362,    1.468681
17839.141676,    1.468454
17942.494886,    1.468907
18045.848095,    1.469464
18149.201386,    1.469563
18252.554691,    1.470015
18355.907782,    1.470468
18459.260646,    1.470920
18562.613380,    1.471873
18665.966109,    1.471153
18769.318932,    1.471604
18872.671756,    1.472056
18976.024480,    1.472509
19079.377205,    1.472961
19182.729692,    1.473024
19286.082071,    1.473395
19389.434446,    1.473848
19492.786529,    1.474300
19596.138599,    1.474753
19699.490255,    1.475205
19802.841893,    1.475658
19906.193502,    1.475733
20009.545013,    1.476116
20112.896519,    1.476569
20216.247623,    1.477283
20319.598587,    1.478066
20422.949676,    1.478014
20526.300917,    1.477586
20629.652318,    1.478168
20733.003621,    1.478682
20836.354864,    1.479154
20939.705826,    1.479613
21043.056667,    1.480065
21146.407466,    1.480704
21249.758230,    1.480626
21353.108897,    1.480718
21456.459458,    1.480925
21559.810055,    1.482069
21663.161082,    1.482061
21766.512036,    1.482514
21869.862988,    1.483114
21973.213944,    1.482985
22076.564769,    1.483438
22179.915533,    1.483890
22283.265943,    1.484343
22386.616352,    1.485000
22489.966767,    1.484814
22593.317045,    1.485266
22696.667239,    1.485719
22800.017078,    1.486171
22903.366895,    1.486945
23006.716689,    1.486587
23110.066365,    1.487039
23213.416003,    1.487492
23316.765335,    1.487944
23420.114662,    1.488545
23523.463958,    1.488415
23626.813127,    1.488867
23730.162243,    1.489320
23833.511054,    1.489772
23936.859843,    1.490475
24040.208575,    1.490187
24143.557216,    1.490639
24246.905830,    1.491111
24350.254073,    1.491859
24453.602177,    1.492655
24556.950470,    1.492409
24660.298901,    1.492142
24763.647465,    1.492722
24866.996019,    1.493207
24970.344569,    1.493660
25073.692945,    1.494522
25177.041263,    1.493938
25280.389630,    1.494390
25383.737954,    1.494843
25487.086200,    1.495295
25590.434300,    1.495748
25693.782139,    1.496200
25797.129905,    1.497245
25900.477640,    1.496614
26003.825367,    1.497066
26107.173041,    1.497547
26210.520572,    1.498106
26246.719160,    1.498302
