Time, Rate of Climb
   0.000000,    0.000000
   0.500000,    0.000000
   1.000000,    0.000000
   1.500000,    0.000000
   2.000000,    0.000000
   2.500000,    0.000000
   3.000000,    0.000000
   3.500000,    0.000000
   4.000000,    0.000000
   4.500000,    0.000000
   5.000000,    0.000000
   5.500000,    0.000000
   6.000000,    0.000000
   6.500000,    0.000000
   7.000000,    0.000000
   7.500000,    0.000000
   8.000000,    0.000000
   8.500000,    0.000000
   9.000000,    0.000000
   9.500000,    0.000000
  10.000000,    0.000000
  10.500000,    0.000000
  11.000000,    0.000000
  11.500000,    0.000000
  12.000000,    0.000000
  12.500000,    0.000000
  13.000000,    0.000000
  13.500000,    0.000000
  14.000000,    0.000000
  14.500000,    0.000000
  15.000000,    0.000000
  15.500000,    0.000000
  16.000000,    0.000000
  16.500000,    0.000000
  17.000000,    0.000000
  17.500000,    0.000000
  18.000000,    0.000000
  18.500000,    0.000000
  19.000000,    0.000000
  19.500000,    0.000000
  20.000000,    0.000000
  20.500000,    0.000000
  21.000000,    0.000000
  21.500000,    0.000000
  22.000000,    0.000000
  22.224789,    0.000000
  22.724789,    0.000000
  23.224789,    0.000000
  23.724789,    0.000000
  24.224789,    0.000000
  24.724789,    0.000000
  25.224789,    0.000000
  25.724789,    0.000000
  26.111100,    0.000000
  26.611100,  363.711547
  26.707482,  433.821914
  27.207482,  814.980682
  27.707482, 1199.532777
  28.196666, 1575.822944
  28.493379, 1632.649642
  28.993379, 1683.866279
  29.493379, 1707.512341
  29.993379, 1720.363033
  30.493379, 1724.344954
  30.993379, 1725.331509
  31.493379, 1725.707445
  31.759212, 1725.907318
  32.259212, 1726.737575
  32.759212, 1726.113898
  33.259212, 1725.793885
  33.759212, 1725.470470
  34.259212, 1725.145052
  34.759212, 1723.970719
  35.259212, 1722.460055
  35.759212, 1722.452216
  36.259212, 1723.039782
  36.759212, 1723.775521
  37.259212, 1724.538504
  37.759212, 1724.364347
  38.259212, 1724.152369
  38.759212, 1723.805441
  39.259212, 1723.453066
  39.759212, 1723.271203
  40.259212, 1723.096223
  40.493379, 1722.912923
  40.993379, 1722.872254
  41.493379, 1722.112086
  41.993379, 1720.877994
  42.493379, 1720.823660
  42.993379, 1721.546417
  43.493379, 1721.629257
  43.993379, 1721.290592
  44.493379, 1721.057430
  44.993379, 1720.893762
  45.493379, 1720.755942
  45.993379, 1720.635148
  46.493379, 1720.557476
  46.993379, 1720.492304
  47.493379, 1720.131756
  47.993379, 1719.685591
  48.493379, 1719.308576
  48.993379, 1718.951605
  49.493379, 1718.727495
  49.993379, 1718.541895
  50.493379, 1718.387906
  50.993379, 1718.243078
  51.493379, 1718.149742
  51.993379, 1718.059307
  52.493379, 1717.609905
  52.993379, 1717.140289
  53.493379, 1716.756192
  53.993379, 1716.376912
  54.493379, 1717.590249
  54.993379, 1715.884074
  55.493379, 1714.795009
  55.993379, 1714.177646
  56.493379, 1714.956737
  56.993379, 1715.474140
  57.493379, 1715.251027
  57.993379, 1714.988707
  58.493379, 1714.615440
  58.993379, 1714.284998
  59.493379, 1714.075737
  59.993379, 1713.875771
  60.493379, 1713.702109
  60.993379, 1713.591748
  61.493379, 1713.565101
  61.617708, 1713.558475
  62.117708, 1680.971806
  62.617708, 1626.447032
  63.117708, 1554.226301
  63.617708, 1479.511943
  64.117708, 1400.921462
  64.617708, 1321.148989
  65.117708, 1240.097059
  65.617708, 1167.384440
  66.117708, 1103.698778
  66.617708, 1074.270933
  67.117708, 1070.884696
  67.617708, 1066.875777
  68.117708, 1062.523736
  68.617708, 1061.515210
  69.117708, 1061.014672
  69.617708, 1060.977372
  70.117708, 1060.935033
  70.617708, 1060.877994
  71.117708, 1060.098714
  71.617708, 1059.819852
  72.117708, 1059.875467
  72.617708, 1059.958767
  73.117708, 1060.138383
  73.617708, 1059.827310
  74.117708, 1059.257427
  74.617708, 1059.293231
  75.117708, 1059.339734
  75.617708, 1059.498777
  76.117708, 1059.386856
  76.617708, 1058.645525
  77.117708, 1058.699594
  77.617708, 1058.528147
  78.117708, 1058.324044
  78.617708, 1058.311348
  79.117708, 1058.391259
  79.617708, 1058.154758
  80.117708, 1058.088682
  80.617708, 1058.093108
  81.117708, 1058.150879
  81.617708, 1058.148136
  82.117708, 1058.099605
  82.617708, 1057.151808
  83.117708, 1057.071120
  83.617708, 1057.103811
  84.117708, 1057.188610
  84.617708, 1057.342392
  85.117708, 1056.146866
  85.617708, 1056.461268
  86.117708, 1056.513228
  86.617708, 1055.802718
  87.117708, 1056.107731
  87.617708, 1056.090795
  88.117708, 1056.208698
  88.617708, 1055.724593
  89.117708, 1055.504644
  89.617708, 1055.261460
  90.117708, 1055.182145
  90.617708, 1055.344474
  91.117708, 1055.523608
  91.617708, 1054.946968
  92.117708, 1054.711383
  92.617708, 1054.605094
  93.117708, 1054.520172
  93.617708, 1054.537823
  94.117708, 1054.576231
  94.617708, 1054.714293
  95.117708, 1054.510678
  95.617708, 1053.937540
  96.117708, 1053.944907
  96.617708, 1053.965898
  97.117708, 1054.092562
  97.617708, 1053.995292
  98.117708, 1053.291669
  98.617708, 1053.283903
  99.117708, 1053.143327
  99.617708, 1052.840458
 100.117708, 1052.828329
 100.617708, 1052.873031
