Time, Vertical Forces
   0.000000,    0.000001
   0.500000,   31.065509
   1.000000,   69.983740
   1.500000,  157.200583
   2.000000,  258.215257
   2.500000,  405.816528
   3.000000,  566.726545
   3.500000,  772.472130
   4.000000,  991.026231
   4.500000, 1252.632455
   5.000000, 1526.537703
   5.500000, 1841.572150
   6.000000, 2168.356285
   6.500000, 2533.183185
   7.000000, 2908.878049
   7.500000, 3320.021889
   8.000000, 3741.292705
   8.500000, 4195.641761
   9.000000, 4659.440526
   9.500000, 5153.994954
  10.000000, 5657.335583
  10.500000, 6189.162235
  11.000000, 6729.126704
  11.500000, 7295.309108
  12.000000, 7868.981388
  12.500000, 8464.642945
  13.000000, 9066.586344
  13.500000, 9686.950364
  14.000000, 10312.576742
  14.500000, 10954.190869
  15.000000, 11600.372337
  15.500000, 12260.246347
  16.000000, 12924.032008
  16.500000, 13599.350275
  17.000000, 14277.963149
  17.500000, 14966.081117
  18.000000, 15656.914477
  18.500000, 16355.354596
  19.000000, 17055.967795
  19.500000, 17762.480049
  20.000000, 18470.677531
  20.500000, 19183.283278
  21.000000, 19897.148367
  21.500000, 20613.901804
  22.000000, 21331.480378
  22.224789, 21654.393132
  22.724789, 23038.568436
  23.224789, 25365.501397
  23.724789, 30895.892121
  24.224789, 36504.919304
  24.724789, 42381.150446
  25.224789, 48169.364451
  25.724789, 53658.499277
  26.111100, 57899.526285
  26.611100, 64976.619668
  26.707482, 66340.826051
  27.207482, 66786.073934
  27.707482, 66756.250605
  28.196666, 66682.949194
  28.493379, 51564.308027
  28.993379, 49585.290854
  29.493379, 48655.801779
  29.993379, 48174.472194
  30.493379, 47972.200297
  30.993379, 47899.592496
  31.493379, 47863.934028
  31.759212, 47844.975600
  32.259212, 47860.970398
  32.759212, 47869.084253
  33.259212, 47870.091073
  33.759212, 47868.141123
  34.259212, 47864.450202
  34.759212, 47838.131859
  35.259212, 47802.848757
  35.759212, 47802.341994
  36.259212, 47815.613270
  36.759212, 47814.387274
  37.259212, 47810.495731
  37.759212, 47805.672044
  38.259212, 47800.810738
  38.759212, 47810.925889
  39.259212, 47821.645455
  39.759212, 47817.912821
  40.259212, 47813.596929
  40.493379, 47835.541676
  40.993379, 47793.080645
  41.493379, 47782.839660
  41.993379, 47793.821612
  42.493379, 47795.260773
  42.993379, 47790.414220
  43.493379, 47794.903261
  43.993379, 47805.541538
  44.493379, 47807.135462
  44.993379, 47802.771985
  45.493379, 47798.889147
  45.993379, 47795.322901
  46.493379, 47790.712473
  46.993379, 47785.799379
  47.493379, 47780.860170
  47.993379, 47775.913391
  48.493379, 47782.940867
  48.993379, 47793.439181
  49.493379, 47792.376806
  49.993379, 47787.963468
  50.493379, 47784.180883
  50.993379, 47780.581127
  51.493379, 47775.748754
  51.993379, 47770.846967
  52.493379, 47765.942567
  52.993379, 47761.038019
  53.493379, 47770.722225
  53.993379, 47781.227998
  54.493379, 47790.493776
  54.993379, 47750.159108
  55.493379, 47760.836273
  55.993379, 47767.543236
  56.493379, 47762.496556
  56.993379, 47757.432370
  57.493379, 47752.318647
  57.993379, 47751.211023
  58.493379, 47761.439691
  58.993379, 47767.814839
  59.493379, 47763.285456
  59.993379, 47758.971300
  60.493379, 47755.266188
  60.993379, 47752.262328
  61.493379, 47750.185870
  61.617708, 47749.669541
  62.117708, 45817.947973
  62.617708, 44714.813246
  63.117708, 44392.342208
  63.617708, 44196.200979
  64.117708, 44196.428352
  64.617708, 44211.610960
  65.117708, 44242.981982
  65.617708, 44951.989813
  66.117708, 46394.511168
  66.617708, 47322.990999
  67.117708, 47860.714239
  67.617708, 48133.377455
  68.117708, 48259.981946
  68.617708, 48293.723114
  69.117708, 48312.227737
  69.617708, 48314.576994
  70.117708, 48316.913255
  70.617708, 48319.211604
  71.117708, 48332.003665
  71.617708, 48308.767470
  72.117708, 48311.077072
  72.617708, 48313.376631
  73.117708, 48315.641249
  73.617708, 48329.579884
  74.117708, 48303.546506
  74.617708, 48305.829346
  75.117708, 48308.109635
  75.617708, 48310.363101
  76.117708, 48316.507382
  76.617708, 48300.735332
  77.117708, 48302.971578
  77.617708, 48311.839009
  78.117708, 48295.661543
  78.617708, 48297.958457
  79.117708, 48325.169768
  79.617708, 48291.562366
  80.117708, 48293.798297
  80.617708, 48296.061876
  81.117708, 48298.346376
  81.617708, 48300.588862
  82.117708, 48302.799559
  82.617708, 48321.631330
  83.117708, 48290.641533
  83.617708, 48292.865584
  84.117708, 48295.080539
  84.617708, 48297.283453
  85.117708, 48319.315332
  85.617708, 48287.916024
  86.117708, 48290.098937
  86.617708, 48310.703646
  87.117708, 48282.739663
  87.617708, 48284.990752
  88.117708, 48304.563384
  88.617708, 48273.452645
  89.117708, 48290.816402
  89.617708, 48314.933806
  90.117708, 48290.684498
  90.617708, 48287.804879
  91.117708, 48289.815589
  91.617708, 48303.468923
  92.117708, 48269.081588
  92.617708, 48271.478985
  93.117708, 48273.841148
  93.617708, 48276.034165
  94.117708, 48278.218333
  94.617708, 48280.360022
  95.117708, 48292.388682
  95.617708, 48269.329426
  96.117708, 48271.491579
  96.617708, 48273.649482
  97.117708, 48275.774421
  97.617708, 48284.293111
  98.117708, 48264.497476
  98.617708, 48266.674602
  99.117708, 48272.317829
  99.617708, 48263.274823
 100.117708, 48265.530778
 100.617708, 48267.635291
 101.117708, 48269.580946
 101.617708, 48288.264022
 102.117708, 48252.315337
 102.617708, 48254.589982
 103.117708, 48256.924585
 103.617708, 48259.082903
 104.117708, 48261.241003
 104.617708, 48250.693305
 105.117708, 48250.248661
 105.617708, 48252.463159
 106.117708, 48254.523358
 106.617708, 48256.576836
 107.117708, 48258.626137
 107.617708, 48260.675256
 108.117708, 48250.900758
 108.617708, 48250.754816
 109.117708, 48252.883805
 109.617708, 48263.243960
 110.117708, 48276.317333
 110.617708, 48262.307095
 111.117708, 48236.018066
 111.617708, 48242.562739
 112.117708, 48246.742675
 112.617708, 48249.444208
 113.117708, 48251.680413
 113.617708, 48253.715060
 114.117708, 48262.140312
 114.617708, 48246.983079
 115.117708, 48237.284421
 115.617708, 48231.581374
 116.117708, 48256.503293
 116.617708, 48244.081358
 117.117708, 48246.108204
 117.617708, 48253.007348
 118.117708, 48236.526837
 118.617708, 48238.548964
 119.117708, 48240.567923
 119.617708, 48242.569013
 120.117708, 48251.310192
 120.617708, 48232.949293
 121.117708, 48234.946834
 121.617708, 48236.939839
