alpha body, Static Stability Margin
 -10.000000,   -0.224771
  -9.090909,   -0.227673
  -8.181818,   -0.233265
  -7.272727,   -0.241147
  -6.363636,   -0.243123
  -5.454545,   -0.244635
  -4.545455,   -0.254036
  -3.636364,   -0.263173
  -2.727273,   -0.240431
  -1.818182,   -0.279593
  -0.909091,   -0.349940
  -0.000000,   -0.357641
   0.909091,   -0.364783
   1.818182,   -0.371460
   2.727273,   -0.378140
   3.636364,   -0.384249
   4.545455,   -0.389259
   5.454545,   -0.393597
   6.363636,   -0.397401
   7.272727,   -0.400582
   8.181818,   -0.402936
