alpha body, CM
  -4.000000,    0.672100
  -3.517241,    0.676496
  -3.034483,    0.680769
  -2.551724,    0.684920
  -2.068966,    0.688941
  -1.586207,    0.692826
  -1.103448,    0.696585
  -0.620690,    0.700218
  -0.137931,    0.703722
   0.344828,    0.727125
   0.827586,    0.725281
   1.310345,    0.723302
   1.793103,    0.721183
   2.275862,    0.718922
   2.758621,    0.716514
   3.241379,    0.713937
   3.724138,    0.711196
   4.206897,    0.708266
   4.689655,    0.705176
   5.172414,    0.701922
   5.655172,    0.698477
   6.137931,    0.694858
   6.620690,    0.691062
   7.103448,    0.687085
   7.586207,    0.682906
   8.068966,    0.676572
   8.551724,    0.658863
   9.034483,    0.641137
   9.517241,    0.623393
  10.000000,    0.605561
