eta, gamma
   0.000000,  296.210281
   0.020408,  296.094065
   0.040816,  295.680481
   0.061224,  294.887487
   0.081633,  293.684981
   0.102041,  292.057721
   0.122449,  289.997546
   0.142857,  287.500162
   0.163265,  284.563523
   0.183673,  281.186991
   0.204082,  277.370989
   0.224490,  273.117109
   0.244898,  268.428774
   0.265306,  263.312775
   0.285714,  257.782371
   0.306122,  251.863803
   0.326531,  245.614326
   0.346939,  239.164435
   0.367347,  232.640698
   0.387755,  226.003595
   0.408163,  219.241650
   0.428571,  212.364029
   0.448980,  205.384837
   0.469388,  198.319705
   0.489796,  191.184542
   0.510204,  183.994611
   0.530612,  176.765485
   0.551020,  169.512203
   0.571429,  162.248632
   0.591837,  154.987978
   0.612245,  147.742782
   0.632653,  140.524912
   0.653061,  133.345541
   0.673469,  126.215108
   0.693878,  119.143242
   0.714286,  112.138649
   0.734694,  105.208917
   0.755102,   98.360233
   0.775510,   91.596930
   0.795918,   84.920793
   0.816327,   78.329952
   0.836735,   71.817101
   0.857143,   65.366541
   0.877551,   58.949094
   0.897959,   52.512954
   0.918367,   45.966217
   0.938776,   39.140622
   0.959184,   31.705145
   0.979592,   22.883020
   1.000000,    0.000000
