Speed, Forces
 110.052268, 51399.622704
 111.352812, 50537.220436
 112.653356, 49711.999848
 113.953900, 48923.901565
 115.254445, 48170.590934
 116.554989, 47450.204161
 117.855533, 46760.799083
 119.156077, 46100.355169
 120.456621, 45466.773516
 121.757165, 44859.494390
 123.057709, 44287.786482
 124.358253, 43738.194332
 125.658797, 43208.344750
 126.959341, 42706.484499
 128.259886, 42230.481562
 129.560430, 41768.795492
 130.860974, 41335.272284
 132.161518, 40921.282736
 133.462062, 40519.855740
 134.762606, 40150.151622
 136.063150, 39785.424104
 137.363694, 39451.992391
 138.664238, 39124.303014
 139.964782, 38823.081809
 141.265326, 38528.379468
 142.565871, 38259.383164
 143.866415, 37993.381648
 145.166959, 37756.546271
 146.467503, 37517.579550
 147.768047, 37309.907469
 149.068591, 37103.280064
 150.369135, 36914.489619
 151.669679, 36739.967756
 152.970223, 36565.002109
 154.270767, 36422.273644
 155.571311, 36278.336848
 156.871856, 36144.515272
 158.172400, 36032.262910
 159.472944, 35919.083763
 160.773488, 35819.646835
 162.074032, 35737.938667
 163.374576, 35655.572200
 164.675120, 35583.290282
 165.975664, 35532.076847
 167.276208, 35480.460537
 168.576752, 35428.441353
 169.877296, 35406.748060
 171.177841, 35385.701830
 172.478385, 35364.495090
 173.778929, 35353.317598
 175.079473, 35362.543818
 176.380017, 35371.838829
 177.680561, 35381.202631
 178.981105, 35401.528917
 180.281649, 35440.897435
 181.582193, 35480.550983
 182.882737, 35520.489563
 184.183281, 35561.390448
 185.483826, 35630.774884
 186.784370, 35700.647530
 188.084914, 35771.008385
 189.385458, 35841.857450
 190.686002, 35919.888240
 191.986546, 36019.683804
 193.287090, 36120.157694
 194.587634, 36221.309911
 195.888178, 36323.140455
 197.188722, 36425.649326
 198.489266, 36554.082183
 199.789811, 36685.058513
 201.090355, 36816.890226
 202.390899, 36949.577321
 203.691443, 37083.119799
 204.991987, 37217.837308
 206.292531, 37379.021351
 207.593075, 37541.224770
 208.893619, 37704.447565
 210.194163, 37868.689738
 211.494707, 38033.951288
 212.795252, 38200.232214
 214.095796, 38375.829760
 215.396340, 38569.071484
 216.696884, 38763.483517
 217.997428, 38959.065860
 219.297972, 39155.818512
 220.598516, 39353.741474
 221.899060, 39552.834746
 223.199604, 39753.098327
 224.500148, 39971.830603
 225.800692, 40198.303102
 227.101237, 40426.083782
 228.401781, 40655.172642
 229.702325, 40885.569684
 231.002869, 41117.274906
 232.303413, 41350.288309
 233.603957, 41584.609893
 234.904501, 41820.239658
 236.205045, 42078.831639
 237.505589, 42339.808145
 238.806133, 42602.217642
