Speed (TAS), Efficiency
  93.723504,   12.894695
  95.281755,   13.202155
  96.840005,   13.506540
  98.398255,   13.806235
  99.956506,   14.097845
 101.514756,   14.383851
 103.073007,   14.663480
 104.631257,   14.936054
 106.189507,   15.201004
 107.747758,   15.457888
 109.306008,   15.706411
 110.864258,   15.946441
 112.422509,   16.178020
 113.980759,   16.401375
 115.539009,   16.613826
 117.097260,   16.814502
 118.655510,   17.007103
 120.213760,   17.192566
 121.772011,   17.363209
 123.330261,   17.524446
 124.888511,   17.680528
 126.446762,   17.817906
 128.005012,   17.950458
 129.563262,   18.070788
 131.121513,   18.180417
 132.679763,   18.281943
 134.238013,   18.370008
 135.796264,   18.451295
 137.354514,   18.519890
 138.912764,   18.579858
 140.471015,   18.631759
 142.029265,   18.669696
 143.587515,   18.708209
 145.145766,   18.723849
 146.704016,   18.739600
 148.262266,   18.746212
 149.820517,   18.739310
 151.378767,   18.732340
 152.937017,   18.712262
 154.495268,   18.682905
 156.053518,   18.653345
 157.611768,   18.612928
 159.170019,   18.561726
 160.728269,   18.510305
 162.286519,   18.456613
 163.844770,   18.384681
 165.403020,   18.312627
 166.961270,   18.240462
 168.519521,   18.161925
 170.077771,   18.070835
 171.636021,   17.979828
 173.194272,   17.888916
 174.752522,   17.795995
 176.310772,   17.688048
 177.869023,   17.580462
 179.427273,   17.473247
 180.985523,   17.366414
 182.543774,   17.254086
 184.102024,   17.132538
 185.660274,   17.011679
 187.218525,   16.891516
 188.776775,   16.772055
 190.335025,   16.653303
 191.893276,   16.521898
 193.451526,   16.391079
 195.009776,   16.261282
 196.568027,   16.132507
 198.126277,   16.004756
 199.684528,   15.878026
 201.242778,   15.743572
 202.801028,   15.607243
 204.359279,   15.472230
 205.917529,   15.338526
 207.475779,   15.206124
 209.034030,   15.075015
 210.592280,   14.945192
 212.150530,   14.812290
 213.708781,   14.675260
 215.267031,   14.539766
 216.825281,   14.405795
 218.383532,   14.273329
 219.941782,   14.142355
 221.500032,   14.012857
 223.058283,   13.884819
 224.616533,   13.758227
 226.174783,   13.627232
 227.733034,   13.495767
 229.291284,   13.365937
 230.849534,   13.237722
 232.407785,   13.111099
 233.966035,   12.986048
 235.524285,   12.862548
 237.082536,   12.740578
 238.640786,   12.620117
 240.199036,   12.501147
 241.757287,   12.382963
 243.315537,   12.260938
 244.873787,   12.140533
 246.432038,   12.021723
 247.990288,   11.904485
